CERT,Bank,Alameda_branches,Alameda_deposits_$K,Cities
3511,"Wells Fargo Bank, National Association",35,14789590,Alameda; Berkeley; Castro Valley; Dublin; Emeryville; Fremont; Hayward; Livermore; Newark; Oakland; Piedmont; Pleasanton; San Leandro; San Lorenzo; Union City
628,"JPMorgan Chase Bank, National Association",40,13701235,Alameda; Berkeley; Berkley; Castro Valley; Dublin; Emeryville; Fremont; Hayward; Livermore; Newark; Oakland; Pleasanton; San Leandro; Union City
3510,"Bank of America, National Association",29,12690919,Alameda; Albany; Berkeley; Castro Valley; Dublin; Emeryville; Fremont; Hayward; Livermore; Newark; Oakland; Piedmont; Pleasanton; San Leandro; Union City
7213,"Citibank, National Association",19,4950000,Alameda; Albany; Berkeley; Castro Valley; Dublin; Fremont; Hayward; Newark; Oakland; Piedmont; San Lorenzo; Union City
19222,Fremont Bank,14,3737939,Castro Valley; Dublin; Fremont; Hayward; Livermore; Newark; Oakland; Pleasanton; San Leandro; Union City
6548,U.S. Bank National Association,18,2897281,Alameda; Berkeley; Castro Valley; Dublin; Fremont; Hayward; Livermore; Oakland; Pleasanton; San Leandro; Union City
31628,East West Bank,5,2497581,Fremont; Newark; Oakland; Pleasanton
16571,BMO Bank National Association,20,2230047,Berkeley; Castro Valley; Dublin; Emeryville; Fremont; Hayward; Livermore; Newark; Oakland; Pleasanton; San Leandro; San Lorenzo; Union City
57512,Western Alliance Bank,1,1546797,Oakland
6384,"PNC Bank, National Association",2,923963,Fremont; Livermore
58490,Beneficial State Bank,1,852846,Oakland
18503,Cathay Bank,4,822213,Dublin; Fremont; Oakland; Union City
1768,Mechanics Bank,4,670459,Albany; Berkeley; Oakland
57903,Poppy Bank,3,469489,Alameda; Fremont; Pleasanton
33905,Heritage Bank of Commerce,4,432672,Fremont; Livermore; Oakland; Pleasanton
57716,United Business Bank,4,413924,Castro Valley; Livermore; Oakland; Pleasanton
32779,Bank of Marin,3,350804,Alameda; Oakland
57417,Commercial Bank of California,1,349763,Oakland
2270,"Zions Bancorporation, N.A.",3,327942,Albany; Fremont; Oakland
57890,"HSBC Bank USA, National Association",1,312189,Fremont
983,Comerica Bank,5,221209,Alameda; Fremont; Hayward; Pleasanton; San Leandro
33103,"Gateway Bank, F.S.B.",1,215704,Oakland
23998,State Bank of India (California),1,202855,Fremont
17281,City National Bank,2,188393,Oakland; Pleasanton
20387,Bank of the Orient,1,145379,Oakland
23864,Summit Bank,2,141643,Emeryville; Oakland
24170,Hanmi Bank,1,140508,Dublin
25869,Metropolitan Bank,2,130583,Oakland
24387,"Industrial and Commercial Bank of China USA, National Association",1,92564,Oakland
34775,"EverBank, National Association",2,61987,Fremont; Oakland
23242,California Pacific Bank,2,56204,Fremont; Hayward
3430,Westamerica Bank,1,47607,Pleasanton
34496,First Commercial Bank (USA),1,46106,Fremont
26223,"Golden Bank, National Association",1,43641,Fremont
1331,Farmers & Merchants Bank of Central California,1,41413,Oakland
31406,First Federal Savings and Loan Association of San Rafael,1,40357,Oakland
58647,First Foundation Bank,1,22150,Oakland
