Charter,Credit_Union,Assets_$,Alameda_cities
61650,THE GOLDEN 1,21737187207,Oakland
68579,PATELCO,9616999527,Berkeley; Castro Valley; Dublin; Fremont; Hayward; Livermore; Oakland; San Leandro
15732,COMMUNITYAMERICA,8983073793,Oakland
68448,CITIZENS EQUITY FIRST,8605589543,Fremont
68383,TECHNOLOGY,4655193719,Dublin; Fremont
5851,SUNWARD,4547056533,Livermore
566,NUVISION,3935777489,Berkeley; Hayward; Pleasanton
66343,PROVIDENT,3625344175,Alameda; Dublin; Fremont; Hayward; Oakland
24802,SELF-HELP,2405735320,Oakland
65299,KEYPOINT,1701238067,Dublin
24235,OPERATING ENGINEERS LOCAL UNION #3,1650775391,Livermore; Pleasanton; San Leandro
68413,PACIFIC SERVICE,1345714932,Livermore
63958,1ST UNITED,1253076745,Alameda; Castro Valley; Fremont; Hayward; Livermore; Oakland; Pleasanton; San Leandro
60801,BLUPEAK,1128146621,Berkeley
60968,THE POLICE,1054903235,Pleasanton
64482,UNCLE,738042834,LIVERMORE; PLEASANTON
24916,I.L.W.U.,601926772,Oakland
12814,SEA WEST COAST GUARD,381796588,Alameda; Oakland
64835,F3,239382940,OAKLAND
14934,SMW 104,116775572,Livermore
68316,BAY CITIES,78847916,Hayward
61085,UTILITY DISTRICT,34117548,OAKLAND; Oakland
