Bank,ICBA_member,In_FDIC_census,Oakland_Alameda_locations,Biz_card?,Underwriter,TIB_requirement,Doc_requirement,NoDoc_NoSeason_probability,Bureau,Chex_EWS,Card_link,Source_links,Notes
Beneficial State Bank,VERIFIED (directory.icba.org/6513; profile currently unpublished; featured as member on icba.org articles),Y (CERT 58490),Oakland HQ 2101 Webster St Ste 140 94612,Yes (2 business cards; program rolling out 2026),SELF (page states "This is a card issued by Beneficial State Bank"; no cardaccount.net/myaccountaccess portal referenced),unknown (program new; "contact your relationship manager"),unknown (likely relationship/personal-credit + PG; no published tax-return demand),MED (self-issuer + CDFI mission lends to new/underserved businesses; but program new & RM-gated so terms unconfirmed),unknown (likely personal FICO + PG),unknown,https://www.beneficialstatebank.com/business-banking/credit-cards,https://directory.icba.org/6513/Beneficial-State-Bank | https://www.supermoney.com/reviews/business-credit-cards/beneficial-state-bank-business-credit-card | https://www.icba.org/w/beneficial-state-bank-s-financial-activism,THE PRIZE: only confirmed SELF-ISSUER among Oakland ICBA members. CDFI (ex One PacificCoast Bank). CA/OR/WA only. Card page 403s to bots; issuer self-disclosure captured via SuperMoney 05/14/2026. Verify TIB/doc by phone.
Fremont Bank,inferred NON-member (NOT found in ICBA directory; independent mutual bank),Y (CERT 19222),Fremont HQ 39150 Fremont Blvd 94538; branches Oakland + 10 Alameda Co cities,Yes (Business Platinum/Rewards/Low-Rate/World Elite Mastercard),SELF (in-house Mastercard program; portal fremontbank.myapexcard.com = CoreCard/Apex private-label processor; NOT TCM cardaccount.net nor Elan myaccountaccess),unknown ("subject to credit approval"),unknown (not published; large bank standard biz-card underwriting),MED (true self-issuer with own rail; ~$7B bank; biz Mastercards typically personal-FICO+PG underwritten, often no tax returns for small lines; TIB not published),unknown (likely personal FICO + PG),unknown,https://www.fremontbank.com/business/credit,https://fremontbank.myapexcard.com/ | https://www.fremontbank.com/business/credit/platinum-credit-card,SELF-ISSUER but NOT ICBA. Biggest Alameda-County-headquartered community bank. Strongest physical footprint. Card via myapexcard (self/private-label), not an agent rail. Verify TIB/doc by phone.
Summit Bank,VERIFIED (directory.icba.org/7427),Y (CERT 23864),Oakland HQ + Emeryville branch,Yes (Standard + Preferred Points Visa),TCM (card portal www.cardaccount.net = TCM Bank N.A. / Fiserv Community Card Connect; ICBA's own agent rail),unknown (TCM small-biz standard),unknown (TCM small-biz cards typically personal-credit + PG; often no tax returns),LOW-for-self-issue (NOT a self-issuer); card itself MED no-doc via TCM but bank being acquired,personal FICO (TCM SBSS/consumer-credit underwriting),unknown,https://www.summitbanking.com/business/loans/credit-cards/,https://directory.icba.org/7427/Summit-Bank | https://www.tcmbank.com/community-bank-solutions/credit-card-program | https://www.bankingdive.com/news/san-francisco-federal-credit-union-buy-in-state-summit-bank/753835/,NO-GO for self-issue (rides TCM). ALSO being ACQUIRED by San Francisco FCU (all-cash, closing Q1 2026) - franchise winding down. Founder won ICBA Community Banker of the Year.
United Business Bank (BayCom),VERIFIED (directory.icba.org/13445),Y (CERT 57716),Oakland + Castro Valley/Livermore/Pleasanton,Yes,Elan (creditor/issuer = Elan Financial Services; portal card.myaccountaccess.com),unknown (Elan small-biz standard),unknown (Elan biz cards = personal-FICO + PG; typically no tax returns for small lines),NONE-for-self-issue (rides Elan/US Bank),personal FICO,unknown,https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,https://directory.icba.org/13445/United-Business-Bank,NO-GO for self-issue. Elan agent rail.
Mechanics Bank,VERIFIED (directory.icba.org/5206),Y (CERT 1768),Oakland/Albany/Berkeley,Yes,Elan (creditor/issuer = Elan Financial Services; portal www.myaccountaccess.com; support 1-866-552-8855),unknown,unknown (Elan biz card; no tax returns typical),NONE-for-self-issue (rides Elan),personal FICO,unknown,https://www.mymechanics.com/business/loans-credit/business-credit-cards/,https://directory.icba.org/5206/Mechanics-Bank | https://card.myaccountaccess.com/,NO-GO for self-issue. Elan agent rail.
Poppy Bank,VERIFIED (directory.icba.org/116118 & 17131 & 17259),Y (CERT 57903),Alameda/Fremont/Pleasanton,Yes,Elan (creditor/issuer = Elan Financial Services),unknown,unknown (Elan biz card; no tax returns typical),NONE-for-self-issue (rides Elan),personal FICO,unknown,https://www.poppy.bank/,https://directory.icba.org/116118/Poppy-Bank,NO-GO for self-issue. Elan agent rail.
Bank of Marin,inferred NON-member (NOT found in ICBA directory),Y (CERT 32779),Alameda/Oakland,Yes (low-rate/cash-back/flexible-rewards Visa biz),Elan (creditor/issuer = Elan Financial Services; portal card.myaccountaccess.com),unknown,unknown (Elan biz card; no tax returns typical),NONE-for-self-issue (rides Elan),personal FICO,unknown,https://www.bankofmarin.com/products-and-services/credit-cards/,https://www.bankofmarin.com/products-and-services/credit-cards/ | https://card.myaccountaccess.com/,NO-GO for self-issue. Elan agent rail. ICBA membership not confirmed in directory.
Heritage Bank of Commerce,VERIFIED historically (member as independent bank),Y (CERT 33905) - now defunct/merged,Fremont/Livermore/Oakland/Pleasanton (former),n/a,n/a (ACQUIRED),n/a,n/a,NONE,n/a,n/a,n/a,https://www.cbbank.com/ (banner: "Welcome Heritage Bank of Commerce customers"),NAME-TWIN/STATUS: ACQUIRED by Citizens Business Bank (CBB). heritagebankofcommerce.bank now 301-redirects to cbbank.com. Still in FDIC census snapshot but franchise gone. (Many "Heritage Bank" web hits are unrelated out-of-state twins using TCM.)
Metropolitan Bank (Oakland),VERIFIED (directory.icba.org/10641),Y (CERT 25869),Oakland 250 E 18th St 94606 + 1 branch,Yes (reported credit cards; CC svc 800-883-0131),other/unknown (issuer unconfirmed; tiny ~$130M bank - almost certainly an agent rail TCM or Elan, not self-issue),unknown,unknown,LOW (likely agent-issued; not self),unknown,unknown,(none public - contact bank),https://directory.icba.org/10641/Metropolitan-Bank,NAME-TWIN MINEFIELD: distinct from Metropolitan Commercial Bank (NY/mcbankny.com), Metro Credit Union, Metrobank. Oakland entity is the small ICBA member. Issuer needs phone confirm.
Bank of the Orient,VERIFIED (directory.icba.org/117444),Y (CERT 20387),Oakland 388 9th St 94607 (SF HQ),No business credit card (debit cards only),n/a,n/a,n/a,NONE,n/a,n/a,n/a (no card product),https://directory.icba.org/117444/Bank-of-the-Orient | https://www.bankorient.com/en-us/,No credit card product - business offerings are checking/savings/term loans/LOC/SBA + debit only. NAME-TWIN: not Oriental Bank (PR) / Oriental Bank of Commerce (India).
