Bank,Branch,Address,City,Zip,Alameda_deposits_$K
Farmers & Merchants Bank of Central California,Montclair Branch,6182 Antioch St,Oakland,94611,41413
Mechanics Bank,Albany Branch,801 San Pablo Ave,Albany,94706,670459
Mechanics Bank,Berkeley Office,2301 Shattuck Ave,Berkeley,94704,670459
Mechanics Bank,North Berkeley Branch,1801 Solano Ave,Berkeley,94707,670459
Mechanics Bank,Oakland Branch,"1999 Harrison St, Ste 100",Oakland,94612,670459
Cathay Bank,Fremont Mission Branch,46750 Mission Blvd,Fremont,94539,822213
Cathay Bank,Union City Branch,1701 Decoto Rd,Union City,94587,822213
Cathay Bank,Dublin Branch,7190 Regional St,Dublin,94568,822213
Cathay Bank,Oakland Branch,710 Webster St,Oakland,94607,822213
Metropolitan Bank,Metropolitan Bank,250 E 18th St,Oakland,94606,130583
Metropolitan Bank,Oakland Chinatown Branch,381 8th St,Oakland,94607,130583
East West Bank,Newark Branch,"35233 Newark Blvd, Ste E",Newark,94560,2497581
East West Bank,Fremont - Paseo Branch,"34420 Fremont Blvd, Ste F",Fremont,94555,2497581
East West Bank,Oakland Webster Branch,900 Webster St,Oakland,94607,2497581
East West Bank,Fremont Mission Blvd. Branch,46615 Mission Blvd,Fremont,94539,2497581
East West Bank,Pleasanton Branch,"4299 Rosewood Dr, Ste 108",Pleasanton,94588,2497581
Bank of Marin,Alameda South Shore Branch,2208 S Shore Ctr,Alameda,94501,350804
Bank of Marin,Alameda Marina Village Branch,805 Marina Village Pkwy,Alameda,94501,350804
Bank of Marin,Oakland Branch,"180 Grand Ave, Ste 1545",Oakland,94612,350804
Heritage Bank of Commerce,Pleasanton Office,300 Main St,Pleasanton,94566,432672
Heritage Bank of Commerce,Livermore Branch,1987 1st St,Livermore,94550,432672
Heritage Bank of Commerce,Oakland Branch,"1111 Broadway, Ste 1650",Oakland,94607,432672
Heritage Bank of Commerce,Fremont Branch,3137 Stevenson Blvd,Fremont,94538,432672
Westamerica Bank,Pleasanton Branch,"5700 Stoneridge Mall Rd, Ste 110",Pleasanton,94588,47607
"EverBank, National Association",Fremont Branch,38990 Paseo Padre Pkwy,Fremont,94538,61987
"EverBank, National Association",Oakland Branch,735 Webster St,Oakland,94607,61987
Poppy Bank,Pleasanton Branch,"5870 Stoneridge Mall Rd, Ste 100",Pleasanton,94588,469489
Poppy Bank,Fremont Branch,39152 Paseo Padre Pkwy,Fremont,94538,469489
Poppy Bank,Alameda Branch,2531 Blanding Ave,Alameda,94501,469489
First Foundation Bank,Oakland Office,323 20th St,Oakland,94612,22150
