Bank,Nearest_Alameda_branch_address,Distance_from_Alameda_mi,Branch_phone,Business_RM_phone,Total_deposits_$,BizCard_link,Elan_confirmed(Y/N+evidence),Status_flag,Source_links
Poppy Bank,"Alameda Branch, 2531 Blanding Ave, Alameda, CA 94501 (inside Nob Hill Foods)",0.5 (in-city; straight-line from Alameda city center),(510) 865-9040,"(888) 636-9994 (business banking / commercial lending line) - no direct RM published, ask at branch","$6.02B ($6,015,080K total-bank deposits; FDIC CERT 57903, latest call report)",https://www.poppy.bank/business-checking-accounts/ (Business Credit Cards section),"Y - page states 'creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa/Mastercard'",In-city Alameda branch (closest of all 11),FDIC banks.data.fdic.gov CERT 57903; poppy.bank/location/alameda-branch/; poppy.bank/contact-us/ (accessed 2026-07-01)
Bank of Marin,"Alameda (South Shore) Branch, 2208 S Shore Center, Alameda, CA 94501",0.8 (in-city; straight-line),(510) 748-8400,(510) 748-8803 - Oakland Commercial Banking Office; named RM Wim Kees van Hout (wim-keesvanhout@bankofmarin.com),"$3.46B ($3,458,796K total-bank deposits; FDIC CERT 32779, latest call report)",https://www.bankofmarin.com/products-and-services/credit-cards/,Y - card page states cards 'issued by Elan Financial Services pursuant to licenses from Visa/Mastercard',"In-city Alameda branch; only bank with a named, published commercial RM",FDIC CERT 32779; bankofmarin.com/branches/alameda-south-shore/; bankofmarin.com/commercial_location/oakland/ (accessed 2026-07-01)
Metropolitan Bank,"Main Office, 250 E 18th St, 3rd Floor, Oakland, CA 94606","2.5 (Oakland, across estuary; ~3-4 mi driving)",(510) 834-1933,"(510) 834-1933 (main line - small CDFI community bank; no direct RM published, ask at branch)","$196.2M ($196,224K total-bank deposits; FDIC CERT 25869, latest call report)",https://mbonlineportal.com/business/business-credit-cards/,Y (with CONFLICT) - mbonlineportal.com storefront states issuer is Elan Financial Services,RAIL CONFLICT: mbonlineportal.com = Elan storefront (says issuer=Elan) vs mycommunitycc = TCM/TransCard rail. Kept - verify active rail before use,FDIC CERT 25869; mbonlineportal.com/business/business-credit-cards/; met.bank/locations/ (accessed 2026-07-01)
"EverBank, National Association","Oakland Financial Center, 735 Webster St, Oakland, CA 94607","2.8 (Oakland, across estuary; ~3-4 mi driving)",510.834.3830,"(888) 882-2021 (business/commercial banking line) - no direct RM published, ask at branch","$37.69B ($37,687,611K total-bank deposits; FDIC CERT 34775, latest call report)",https://www.everbank.com/support/personal/card-help/manage-credit-card (Elan card mgmt); products via everbank.com/business,"Y - EverBank states 'issuer and creditor of EverBank credit cards is Elan Financial Services'; card mgmt on Elan platform, support 1-800-558-3424",Highest deposits of the 2.8-mi tie (ranked above Cathay per deposits-desc tiebreak),FDIC CERT 34775; everbank.com/locations/oakland; everbank.com/support/personal/card-help/manage-credit-card (accessed 2026-07-01)
Cathay Bank,"Oakland Branch, 710 Webster St, Oakland, CA 94607","2.8 (Oakland, across estuary; ~3-4 mi driving)",(510) 208-3700,"800-922-8429 (business customer service, M-F 6a-6p PT; routes to relationship banker)","$20.70B ($20,697,975K total-bank deposits; FDIC CERT 18503, latest call report)",https://www.cathaybank.com/business/credit-cards,Y - business credit card page states creditor and issuer is Elan Financial Services,-,FDIC CERT 18503; cathaybank.com/location/oakland; cathaybank.com/business/credit-cards; cathaybank.com/contact-us (accessed 2026-07-01)
East West Bank,"Oakland Webster Branch, 900 Webster St, Oakland, CA 94607","2.9 (Oakland, across estuary; ~3-4 mi driving)",(510) 451-5600,"888-761-3967 (Business & Commercial Banking, M-F 6a-7p PT); BusinessExpress 833-468-8356","$69.09B ($69,086,073K total-bank deposits; FDIC CERT 31628, latest call report) - largest bank in list",https://www.eastwestbank.com/en/small-mid-size-businesses/corporate-card (East West 'One Card'),"Y - 'creditor and issuer of the East West Bank One Card is Elan Financial Services, pursuant to a license from Visa'",Largest institution by deposits in the set,FDIC CERT 31628; eastwestbank.com/content/ewb-dotcom/en/branches/604.html; eastwestbank.com/en/small-mid-size-businesses/corporate-card; eastwestbank.com/en/contact-us (accessed 2026-07-01)
Heritage Bank of Commerce (now Citizens Business Bank),"Oakland Business Financial Center, 1111 Broadway, Ste 1650, Oakland, CA 94607","3.1 (Oakland, across estuary; ~3-4 mi driving)",(510) 869-7000,510.869.7000 (Oakland Business Financial Center - commercial bank; branch line IS the business line),"$4.82B ($4,821,348K; FDIC CERT 33905 last-reported before merger - now consolidated into Citizens Business Bank, CERT 21716)",https://www.cbbank.com/business-cards/ (successor CBB; HBoC program migrated),Y - CBB business-cards page states 'creditor and issuer is Elan Financial Services pursuant to a license from Mastercard'; HBoC was Elan rail,ACQUIRED by Citizens Business Bank (merger completed ~2026-04-17; FDIC CERT 33905 now inactive). Still Elan rail. Branch rebranded CBB,FDIC CERT 33905 / 21716; cbbank.com/locations/oakland-business-financial-center/; cbbank.com/business-cards/; heritagebankofcommerce.bank (redirects to CBB) (accessed 2026-07-01)
Mechanics Bank,"Oakland Branch, 1999 Harrison St, Ste 100, Oakland, CA 94612","3.2 (Oakland, across estuary; ~4 mi driving)",(510) 251-6100,"800-797-6324 (business & commercial banking, M-F 8a-6p PT); Treasury Ops 800-272-1876 - no direct RM published","$18.25B ($18,251,541K total-bank deposits; FDIC CERT 1768, latest call report)",https://www.mymechanics.com/business/loans-credit/business-credit-cards/,Y - creditor/issuer is Elan Financial Services; accounts serviced via myaccountaccess.com; card help 1-866-552-8855,Higher deposits of the 3.2-mi tie (ranked above First Foundation),FDIC CERT 1768; mymechanics.com/business/loans-credit/business-credit-cards/; mechanicsbank.com/contact-us/ (accessed 2026-07-01)
First Foundation Bank,"Oakland Office, 323 20th St, Oakland, CA 94612","3.2 (Oakland, across estuary; ~4 mi driving)",(510) 250-8130,"(510) 250-8130 (Oakland office) - business banking via firstfoundationinc.com/business-banking; no direct RM published, ask at branch","$8.78B ($8,783,466K total-bank deposits; FDIC CERT 58647, last-reported - see flag)",https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards,Y - 'creditor and issuer of Visa and American Express cards is Elan Financial Services'; card login on Elan platform,"FDIC CERT 58647 shows ACTIVE=0 - charter/ownership change in progress (references to Sunflower Bank, N.A. dba First Foundation Bank); deposits are last-reported. Verify current entity",FDIC CERT 58647; firstfoundationinc.com/find-location/oakland-office; firstfoundationinc.com/business-banking/business-lending/business-credit-cards (accessed 2026-07-01)
Farmers & Merchants Bank of Central California,"Montclair Village Branch, 6182 Antioch St, Oakland, CA 94611",4.6 (Oakland hills; ~6-7 mi driving),(510) 902-5870,No direct business/RM line published - ask at Montclair branch (510) 902-5870 or via fmbonline.com/about/contact-us.html,"$5.12B ($5,120,775K total-bank deposits; FDIC CERT 1331, latest call report)",https://cdwest.fmb.com/business/business-credit-card (Elan co-branded storefront; linked from fmbonline.com),"Y - Lodi HQ (F&M of Central California, fmbonline.com/fmb.com); business card storefront states creditor/issuer is Elan Financial Services",Elan CONFIRMED (Lodi HQ). Nearest branch is Oakland-hills Montclair (deposit subtotal $41.4M was for that branch only),FDIC CERT 1331; fmbonline.com; cdwest.fmb.com/business/business-credit-card; bankbranchlocator.com Montclair Village (accessed 2026-07-01)
Westamerica Bank,"Pleasanton Branch, 5700 Stoneridge Mall Rd, Ste 110, Pleasanton, CA 94588",17.8 (Pleasanton/Tri-Valley; ~22-25 mi driving via I-580),(925) 734-1510,No direct business/RM line published - ask at Pleasanton branch (925) 734-1510 or westamerica.com/about/contact/,"$4.79B ($4,788,155K total-bank deposits; FDIC CERT 3430, latest call report)",https://www.westamerica.com/credit-card-application/ (Elan storefront: creditcardlearnmore.com/11t3/business-cash-preferred),Y - card application routes to Elan storefront 'creditcardlearnmore.com/11t3' (11t3 = Westamerica Elan business suite),Farthest branch in set (no Alameda/inner-Oakland location - nearest is Pleasanton),FDIC CERT 3430; westamerica.com/about/locations/; westamerica.com/credit-card-application/; creditcardlearnmore.com/11t3 (accessed 2026-07-01)
First Federal S&L of San Rafael,"NO Alameda County branch. Nearest: 2521 San Bruno Ave, San Francisco, CA 94134 (also 2298 Lombard St SF; HQ 1030 3rd St, San Rafael)",9.2 to SF branch (straight-line; ~13 mi driving via Bay Bridge); San Rafael HQ ~21 mi. NOT in Alameda County,See ffsavings.com/contact-us/ (SF / San Rafael branches),n/a - small thrift; no published business RM line,"$176.4M ($176,372K total-bank deposits; FDIC CERT 31406, latest call report)",ffsavings.com (Elan-issued cards per search; primarily consumer thrift - limited business card offering),Likely Y - search indicates cards issued by Elan Financial Services (Visa/Mastercard); not a dedicated business-card program,MARIN/SF ONLY - no Alameda County branch. Included per instruction but not Alameda-reachable via a county branch; excluded from primary ranking,FDIC CERT 31406; ffsavings.com/contact-us/; Census geocoder distances (accessed 2026-07-01)
