Bank,Branch_address,City,Zip,Branch_deposits_$K,Distance_mi,Branch_phone,Branch_hours,Bank_website,BizCard_page_URL,Elan_application_link,Business_RM_phone,Rail_current(Elan/TCM/SELF/MIXED+evidence),Notes,Source_links
East West Bank,900 Webster St,Oakland,94607,980583,2.9,(510) 451-5600,Mon-Fri 9:00am-5:00pm; Sat 9:00am-2:00pm; Sun closed,https://www.eastwestbank.com,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments#corporate-card,,"888-761-3967 (Business Banking, M-F 6:00am-7:00pm PT)","MIXED | Elan for commercial One Card: ""The creditor and issuer of the East West Bank One Card is Elan Financial Services, pursuant to a license from Visa(R) U.S.A."" (eastwestbank.com small-mid-size-businesses/disbursements-and-payments, verified 2026-07-26). But East West self-issues its consumer Secured Visa Classic (eastwestbank.com/en/personal-banking/credit-cards carries no Elan disclosure) and holds $4.63M of its own card loans. No public Elan apply link found - One Card is sold via relationship manager.","Locator name 'Oakland - Webster', branch/retail no. 604; ATM on site; fax (510) 465-9530. Phone from East West Bank's own /api/velo/branchLocator feed. | Branch name in source CSV: Oakland Webster Branch. Evidence date-stamped 2026-07-26.",https://www.eastwestbank.com/en/branch-locator (JSON API /api/velo/branchLocator); https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments; https://www.eastwestbank.com/en/personal-banking/credit-cards
Poppy Bank,2531 Blanding Ave,Alameda,94501,216259,0.5,(510) 865-9040,Mon-Fri 10:00am-6:00pm; Sat 10:00am-4:00pm; Sun closed,https://www.poppy.bank,https://www.poppy.bank/business-checking-accounts/#business_credit_cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=07362&ecid=OTHE_25940#business,(888) 636-9994 (toll-free); Santa Rosa corporate (707) 636-9000,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" - poppy.bank/business-checking-accounts/#business_credit_cards, verified 2026-07-26; apply link resolves to creditcardlearnmore.com (Elan) location code 07362.","IN-STORE branch inside Nob Hill Foods. Branch manager Kari Thompson, VP. Closest Elan branch to Alameda (0.5 mi). | Branch name in source CSV: Alameda Branch. Evidence date-stamped 2026-07-26.",https://www.poppy.bank/locations/; https://www.poppy.bank/business-checking-accounts/#business_credit_cards
Bank of Marin,2208 S Shore Ctr,Alameda,94501,161233,1.4,(510) 748-8400,Mon-Thu 9:00am-5:00pm PT; Fri 10:00am-6:00pm PT,https://www.bankofmarin.com,https://www.bankofmarin.com/products/business-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12155&ecid=OTHE_25940#business,(866) 626-6004 (client support); Oakland commercial banking by appointment (510) 748-8803,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc. and Mastercard."" - bankofmarin.com/products/business-cards, verified 2026-07-26; apply link = creditcardlearnmore.com location code 12155; servicing at myaccountaccess.com?theme=elan2.",Branch manager Lorna Goforth. Bank of Marin's largest Alameda-island branch. | Branch name in source CSV: Alameda South Shore Branch. Evidence date-stamped 2026-07-26.,https://www.bankofmarin.com/locations/; https://www.bankofmarin.com/products/business-cards
Cathay Bank,710 Webster St,Oakland,94607,140691,2.8,510-208-3700,Mon-Fri 9:00am-5:00pm; Sat 10:00am-2:00pm; Sun closed,https://www.cathaybank.com,https://www.cathaybank.com/business/credit-cards,https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940&offertype=0#business,800-922-8429 opt.3 Business Banking (M-F 6:00am-6:00pm PT); from overseas 626-582-7380,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" - cathaybank.com/business/credit-cards, verified 2026-07-26; apply link = mycardapply.com (Elan) location code 36055. Servicing has moved to the Fiserv Credit Choice portal creditchoice.creditcardservices.com, which is the U.S. Bank/Elan-integrated agent platform - rail unchanged.",Branch manager Andrina Guan. ATM + safe deposit. | Branch name in source CSV: Oakland Branch. Evidence date-stamped 2026-07-26.,https://www.cathaybank.com/location/oakland; /union-city; /dublin; /fremont-mission; https://www.cathaybank.com/business/credit-cards
Mechanics Bank,2301 Shattuck Ave,Berkeley,94704,238973,7.2,510-647-0720,Mon-Fri 9:00am-5:00pm; Sat-Sun closed,https://www.mechanicsbank.com,https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940 (site nav 'Credit Cards' links straight to the Elan page; Mechanics Bank has no on-site card product page),https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940#business,"800-797-6324 Customer Care (M-F 8-6 PT, Sat 9-5 PT); Treasury Management 800-272-1876","Elan | Westamerica-style co-branded Elan page: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc., and Mastercard International Incorporated."" on the Mechanics Bank-branded creditcardlearnmore.com page, location code 10128, verified 2026-07-26; servicing at myaccountaccess.com?theme=elan1&loc=10128.","Locator record 'Berkeley Branch', LocationId 327282766. Phone from Mechanics Bank's own locator feed. Third-party sites list Sat 9-2 - the bank's feed shows no weekend hours. | Branch name in source CSV: Berkeley Office. Evidence date-stamped 2026-07-26.",https://www.mechanicsbank.com/locations/ (wave2 locator API locationapi.wave2.io/api/client/getlocations); https://www.mechanicsbank.com/business-commercial/banking-services/; https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128
Bank of Marin,"180 Grand Ave, Ste 1545",Oakland,94612,131404,3.4,(510) 748-8800,Mon-Thu 9:00am-5:00pm PT; Fri 10:00am-5:00pm PT (closed 1:00-2:00pm for lunch),https://www.bankofmarin.com,https://www.bankofmarin.com/products/business-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12155&ecid=OTHE_25940#business,(866) 626-6004 (client support); Oakland commercial banking by appointment (510) 748-8803,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc. and Mastercard."" - bankofmarin.com/products/business-cards, verified 2026-07-26; apply link = creditcardlearnmore.com location code 12155; servicing at myaccountaccess.com?theme=elan2.",Branch manager Sheetal Datt. Commercial banking office at the same address by appointment: (510) 748-8803 - best RM entry point for Bank of Marin business cards. | Branch name in source CSV: Oakland Branch. Evidence date-stamped 2026-07-26.,https://www.bankofmarin.com/locations/; https://www.bankofmarin.com/products/business-cards
Mechanics Bank,"1999 Harrison St, Ste 100",Oakland,94612,119975,3.2,510-251-6100,Mon-Fri 9:00am-5:00pm; Sat-Sun closed,https://www.mechanicsbank.com,https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940 (site nav 'Credit Cards' links straight to the Elan page; Mechanics Bank has no on-site card product page),https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940#business,"800-797-6324 Customer Care (M-F 8-6 PT, Sat 9-5 PT); Treasury Management 800-272-1876","Elan | Westamerica-style co-branded Elan page: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc., and Mastercard International Incorporated."" on the Mechanics Bank-branded creditcardlearnmore.com page, location code 10128, verified 2026-07-26; servicing at myaccountaccess.com?theme=elan1&loc=10128.",Locator record 'Oakland Branch'. Downtown Oakland - likeliest Mechanics business-banking contact point in the county. | Branch name in source CSV: Oakland Branch. Evidence date-stamped 2026-07-26.,https://www.mechanicsbank.com/locations/ (wave2 locator API locationapi.wave2.io/api/client/getlocations); https://www.mechanicsbank.com/business-commercial/banking-services/; https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128
Metropolitan Bank,381 8th St,Oakland,94607,88950,2.9,510-834-7534,Mon-Thu 9:00am-4:30pm; Fri 9:00am-5:00pm; Sat 10:00am-2:00pm; Sun closed,https://www.met.bank,https://www.met.bank/business-banking/,https://www.mycommunitycc.com/FROlvrV1uR72,510-834-1933 (Oakland head office),"TCM | NOT Elan. The business credit card CTA on met.bank/business-banking/ points to https://www.mycommunitycc.com/FROlvrV1uR72 - mycommunitycc.com is the TCM Bank, N.A. 'Community Card' agent-issuing platform. No Elan Financial Services disclosure appears anywhere on met.bank. Verified 2026-07-26.","Fax 510.834.7539. RELOCATION: branch moves to 360 8th Street, Oakland on or about 2026-08-31; phone stays the same. Rail is TCM, not Elan. | Branch name in source CSV: Oakland Chinatown Branch. Evidence date-stamped 2026-07-26.",https://www.met.bank/locations/; https://www.met.bank/business-banking/
East West Bank,"34420 Fremont Blvd, Ste F",Fremont,94555,496554,17.1,(510) 796-7888,Mon-Fri 9:00am-5:00pm; Sat 9:00am-2:00pm; Sun closed,https://www.eastwestbank.com,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments#corporate-card,,"888-761-3967 (Business Banking, M-F 6:00am-7:00pm PT)","MIXED | Elan for commercial One Card: ""The creditor and issuer of the East West Bank One Card is Elan Financial Services, pursuant to a license from Visa(R) U.S.A."" (eastwestbank.com small-mid-size-businesses/disbursements-and-payments, verified 2026-07-26). But East West self-issues its consumer Secured Visa Classic (eastwestbank.com/en/personal-banking/credit-cards carries no Elan disclosure) and holds $4.63M of its own card loans. No public Elan apply link found - One Card is sold via relationship manager.",Locator name 'Fremont - Paseo'. Phone from East West Bank's own /api/velo/branchLocator feed. | Branch name in source CSV: Fremont - Paseo Branch. Evidence date-stamped 2026-07-26.,https://www.eastwestbank.com/en/branch-locator (JSON API /api/velo/branchLocator); https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments; https://www.eastwestbank.com/en/personal-banking/credit-cards
Mechanics Bank,1801 Solano Ave,Berkeley,94707,166681,9.0,510-559-2626,Mon-Fri 9:00am-5:00pm; Sat-Sun closed,https://www.mechanicsbank.com,https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940 (site nav 'Credit Cards' links straight to the Elan page; Mechanics Bank has no on-site card product page),https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940#business,"800-797-6324 Customer Care (M-F 8-6 PT, Sat 9-5 PT); Treasury Management 800-272-1876","Elan | Westamerica-style co-branded Elan page: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc., and Mastercard International Incorporated."" on the Mechanics Bank-branded creditcardlearnmore.com page, location code 10128, verified 2026-07-26; servicing at myaccountaccess.com?theme=elan1&loc=10128.",Locator record 'North Berkeley Branch'. | Branch name in source CSV: North Berkeley Branch. Evidence date-stamped 2026-07-26.,https://www.mechanicsbank.com/locations/ (wave2 locator API locationapi.wave2.io/api/client/getlocations); https://www.mechanicsbank.com/business-commercial/banking-services/; https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128
