Bank,CERT,Branch,Address,City,Zip,Branch_deposits_$K
East West Bank,31628,Oakland Webster Branch,900 Webster St,Oakland,94607,980583
East West Bank,31628,Fremont Mission Blvd. Branch,46615 Mission Blvd,Fremont,94539,528561
East West Bank,31628,Fremont - Paseo Branch,"34420 Fremont Blvd, Ste F",Fremont,94555,496554
Cathay Bank,18503,Fremont Mission Branch,46750 Mission Blvd,Fremont,94539,396316
East West Bank,31628,Newark Branch,"35233 Newark Blvd, Ste E",Newark,94560,259901
Mechanics Bank,1768,Berkeley Office,2301 Shattuck Ave,Berkeley,94704,238973
East West Bank,31628,Pleasanton Branch,"4299 Rosewood Dr, Ste 108",Pleasanton,94588,231982
Poppy Bank,57903,Alameda Branch,2531 Blanding Ave,Alameda,94501,216259
Heritage Bank of Commerce,33905,Pleasanton Office,300 Main St,Pleasanton,94566,198341
Poppy Bank,57903,Pleasanton Branch,"5870 Stoneridge Mall Rd, Ste 100",Pleasanton,94588,180341
Mechanics Bank,1768,North Berkeley Branch,1801 Solano Ave,Berkeley,94707,166681
Bank of Marin,32779,Alameda South Shore Branch,2208 S Shore Ctr,Alameda,94501,161233
Cathay Bank,18503,Union City Branch,1701 Decoto Rd,Union City,94587,153182
Mechanics Bank,1768,Albany Branch,801 San Pablo Ave,Albany,94706,144830
Cathay Bank,18503,Oakland Branch,710 Webster St,Oakland,94607,140691
Cathay Bank,18503,Dublin Branch,7190 Regional St,Dublin,94568,132024
Bank of Marin,32779,Oakland Branch,"180 Grand Ave, Ste 1545",Oakland,94612,131404
Mechanics Bank,1768,Oakland Branch,"1999 Harrison St, Ste 100",Oakland,94612,119975
Heritage Bank of Commerce,33905,Livermore Branch,1987 1st St,Livermore,94550,108728
Metropolitan Bank,25869,Oakland Chinatown Branch,381 8th St,Oakland,94607,88950
Heritage Bank of Commerce,33905,Fremont Branch,3137 Stevenson Blvd,Fremont,94538,81733
Poppy Bank,57903,Fremont Branch,39152 Paseo Padre Pkwy,Fremont,94538,72889
Bank of Marin,32779,Alameda Marina Village Branch,805 Marina Village Pkwy,Alameda,94501,58167
Westamerica Bank,3430,Pleasanton Branch,"5700 Stoneridge Mall Rd, Ste 110",Pleasanton,94588,47607
Heritage Bank of Commerce,33905,Oakland Branch,"1111 Broadway, Ste 1650",Oakland,94607,43870
Metropolitan Bank,25869,Metropolitan Bank,250 E 18th St,Oakland,94606,41633
Farmers & Merchants Bank of Central California,1331,Montclair Branch,6182 Antioch St,Oakland,94611,41413
"EverBank, National Association",34775,Oakland Branch,735 Webster St,Oakland,94607,37261
"EverBank, National Association",34775,Fremont Branch,38990 Paseo Padre Pkwy,Fremont,94538,24726
First Foundation Bank,58647,Oakland Office,323 20th St,Oakland,94612,22150
