Name,Type,CERT_Charter,Oakland_area_cities
Fremont Bank,Bank,19222,Castro Valley; Dublin; Fremont; Hayward;
East West Bank,Bank,31628,Fremont; Newark; Oakland; Pleasanton
BMO Bank National Association,Bank,16571,Berkeley; Castro Valley; Dublin; Emeryvi
Western Alliance Bank,Bank,57512,Oakland
Beneficial State Bank,Bank,58490,Oakland
Cathay Bank,Bank,18503,Dublin; Fremont; Oakland; Union City
Mechanics Bank,Bank,1768,Albany; Berkeley; Oakland
Poppy Bank,Bank,57903,Alameda; Fremont; Pleasanton
Heritage Bank of Commerce,Bank,33905,Fremont; Livermore; Oakland; Pleasanton
United Business Bank,Bank,57716,Castro Valley; Livermore; Oakland; Pleas
Bank of Marin,Bank,32779,Alameda; Oakland
Commercial Bank of California,Bank,57417,Oakland
"Zions Bancorporation, N.A.",Bank,2270,Albany; Fremont; Oakland
"Gateway Bank, F.S.B.",Bank,33103,Oakland
City National Bank,Bank,17281,Oakland; Pleasanton
Bank of the Orient,Bank,20387,Oakland
Summit Bank,Bank,23864,Emeryville; Oakland
Metropolitan Bank,Bank,25869,Oakland
"Industrial and Commercial Bank of China USA, National Association",Bank,24387,Oakland
"EverBank, National Association",Bank,34775,Fremont; Oakland
Farmers & Merchants Bank of Central California,Bank,1331,Oakland
First Federal Savings and Loan Association of San Rafael,Bank,31406,Oakland
First Foundation Bank,Bank,58647,Oakland
THE GOLDEN 1,CU,61650,Oakland
PATELCO,CU,68579,Berkeley; Castro Valley; Dublin; Fremont
COMMUNITYAMERICA,CU,15732,Oakland
NUVISION,CU,566,Berkeley; Hayward; Pleasanton
PROVIDENT,CU,66343,Alameda; Dublin; Fremont; Hayward; Oakla
SELF-HELP,CU,24802,Oakland
1ST UNITED,CU,63958,Alameda; Castro Valley; Fremont; Hayward
BLUPEAK,CU,60801,Berkeley
I.L.W.U.,CU,24916,Oakland
SEA WEST COAST GUARD,CU,12814,Alameda; Oakland
F3,CU,64835,OAKLAND
UTILITY DISTRICT,CU,61085,OAKLAND; Oakland
