Name,Type,CERT_Charter,Alameda_locations,Size
BMO Bank National Association,Bank,16571,Berkeley; Castro Valley; Dublin; Emeryville; Fremo,2230047K dep
Mechanics Bank,Bank,1768,Albany; Berkeley; Oakland,670459K dep
Bank of Marin,Bank,32779,Alameda; Oakland,350804K dep
State Bank of India (California),Bank,23998,Fremont,202855K dep
Hanmi Bank,Bank,24170,Dublin,140508K dep
California Pacific Bank,Bank,23242,Fremont; Hayward,56204K dep
Farmers & Merchants Bank of Central California,Bank,1331,Oakland,41413K dep
PATELCO,CU,68579,Berkeley; Castro Valley; Dublin; Fremont; Hayward;,9616999527
SUNWARD,CU,5851,Livermore,4547056533
KEYPOINT,CU,65299,Dublin,1701238067
BLUPEAK,CU,60801,Berkeley,1128146621
SEA WEST COAST GUARD,CU,12814,Alameda; Oakland,381796588
UTILITY DISTRICT,CU,61085,OAKLAND; Oakland,34117548
