Rank,Bank,City,State,FDIC_CERT,Assets_$K,Deposits_$K,Website_URL,BizCard_page_URL,BizCard_product_name,mycommunitycc_apply_link,0%_intro,Rail_verdict,Verification_basis,Notes
1,Oak Valley Community Bank,Oakdale,CA,33457,2009991,1781504,https://www.ovcb.com/,https://www.ovcb.com/commerical/loans/credit-cards/,"cRewards Card; Cash Rewards Card; Corporate Card (pay-in-full)",,"low intro APR on balance transfers (not 0% confirmed)",TCM (servicing-only / branch-apply),"cRewards = TCM rewards brand; servicing 800-883-0131 = TCM cardholder line; cRewardsCard.com. NO public mycommunitycc self-serve apply link found (apply via branch/phone). Site blocks automated fetch; based on WebSearch 2026-06-30.","Confirms prior 'servicing-only / no public apply' note: Oak Valley issues a TCM-serviced commercial card but does NOT expose a self-serve mycommunitycc apply rail. Ranked #1 by deposits but NOT a clean self-serve TCM apply like the others."
2,First General Bank,Rowland Heights,CA,58060,1141218,811904,https://www.fgbusa.com/,,,,,NO CARD,"fgbusa.com (redirect from firstgeneralbank.com); site navigation lists Deposits/Loans/Trade Finance/SBA only - no credit card product. Verified 2026-06-30.","No business credit card product offered. Not TCM. Excluded."
3,American Plus Bank,Arcadia,CA,58469,890687,716600,https://bankaplus.com/,http://bankaplus.com/Credit-Cards,"Visa Platinum Cash Rewards; Visa Charge Company Rewards",https://www.mycommunitycc.com/QuUPgYKUKqcw,"low introductory APR on balance transfers (rate/term not stated)",TCM,"'Click here to view and compare all cards' -> mycommunitycc.com/QuUPgYKUKqcw. Verified 2026-06-30.","dba International City Bank. Confirmed TCM via mycommunitycc apply link."
4,Mission Valley Bank,Sun Valley,CA,57101,772560,632141,https://www.missionvalleybank.com/,https://www.missionvalleybank.com/card-services/,"Business Credit Card (rewards / 1% cash back / Company charge variants)",https://www.mycommunitycc.com/A0oVKGkHmrYt,none mentioned,TCM,"On-page disclosure: 'Credit cards are issued by TCM Bank, N.A., is a subsidiary of ICBA Bancard, pursuant to a license from Visa U.S.A., Inc.'; apply -> mycommunitycc.com/A0oVKGkHmrYt. Verified 2026-06-30.","Explicit TCM issuer disclosure + mycommunitycc apply link. Clean TCM."
5,GBC International Bank,Los Angeles,CA,22366,676588,522816,https://www.gbcib.com/,https://www.gbcib.com/ (Business > Loans & Credit > Business Credit Card),"Business Credit Card; Personal Credit Card",https://www.mycommunitycc.com/k7OgnYPt1fSE,none mentioned,TCM,"Business Credit Card nav link -> mycommunitycc.com/k7OgnYPt1fSE. Header confirms 'GBC International Bank, Los Angeles, CA' (name-twin gbcbank.com is a DIFFERENT Indiana bank). Verified 2026-06-30.","CA entity confirmed by city (LA). Clean TCM via mycommunitycc apply link."
6,Mega Bank,San Gabriel,CA,58401,515129,437435,https://www.megabankusa.com/,https://www.megabankusa.com/Other-Services,"Mega Bank Personal/Business Credit Cards (TCM family)",https://www.mycommunitycc.com/vsqcwJmaxwd7,none mentioned,TCM,"On-page: 'Click here to apply for Mega Bank Personal or Business Credit Cards today. (Administered by TCM Bank, N.A.)' -> mycommunitycc.com/vsqcwJmaxwd7. Verified 2026-06-30.","FDIC HQ = San Gabriel (Arcadia is market area); CERT 58401. Name-twins: inactive Mega Bank entities in MO/FL. Clean TCM."
7,Home Bank of California,San Diego,CA,26271,254901,193199,https://www.hbc.bank/,https://www.hbc.bank/business/business-products-services/business-credit-cards/,"Business Credit Cards; Company Rewards Charge Card",https://www.mycommunitycc.com/uJU63OjSlxHb,none mentioned,TCM,"On-page issuer = TCM Bank, N.A.; apply -> mycommunitycc.com/uJU63OjSlxHb. Verified 2026-06-30.","Clean TCM via mycommunitycc apply link. Also a separate Company Rewards Charge Card page."
8,Metropolitan Bank,Oakland,CA,25869,231773,196224,https://www.met.bank/,https://www.met.bank/ (business credit card),"TCM Business Edition / Business Rewards / Business Cash Rewards",https://www.mycommunitycc.com/FROlvrV1uR72,none mentioned,TCM,"Apply -> mycommunitycc.com/FROlvrV1uR72 (prior-verified, re-confirmed 2026-06-30). CERT 25869.","Oakland Chinatown community bank. Name-twins: Metropolitan Commercial Bank NY (CERT 34699) is unrelated. Clean TCM."
9,United Pacific Bank,City of Industry,CA,23805,187114,152984,https://www.upbnet.com/,https://www.upbnet.com/personal/credit-card,"Credit Cards (consumer + business; TCM family)",,"contains '0%' style intro language (JS-rendered; not statically captured)",TCM,"On-page text contains 'TCM Bank' issuer disclosure (curl of /personal/credit-card). Apply link is JS-injected mycommunitycc (not statically captured); multiple WebSearch results confirm 'issued by TCM Bank, N.A.' Verified 2026-06-30.","JS SPA site; mycommunitycc deep-link not captured but TCM rail confirmed by on-page issuer disclosure + search. Clean TCM."
10,Icon Business Bank,Riverside,CA,59314,156656,124737,https://www.iconbusinessbank.com/,https://www.iconbusinessbank.com/products-and-solutions/business-deposit-products,"Credit Cards (TCM family)",https://www.mycommunitycc.com/lSp9OsZX4zOr,none mentioned,TCM,"Business deposit products page links 'Credit Cards' -> mycommunitycc.com/lSp9OsZX4zOr. Verified 2026-06-30.","MDI bank founded 2023 (Riverside/Santa Ana). Despite being new, exposes a TCM mycommunitycc apply link. Clean TCM."
