Name,Type,City,State,Assets,Deposits,ibanknet_URL
WOORI BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,7461409,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_44769
MUFG BK LOS ANGELES BR,Foreign Banking Organization (UFB),Los Angeles,CA,3913711,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_112967
BANK OF CHINA LA BR,Foreign Banking Organization (UFB),Los Angeles,CA,3138633,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1218361
ADYEN NV SAN FRANCISCO BR,Foreign Banking Organization (UFB),San Francisco,CA,2376702,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5616273
E SUN CMRL BK LOS ANGELES BR,Foreign Banking Organization (USB),City Of Industry,CA,2293367,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2929851
BANK OF E ASIA LA BR,Foreign Banking Organization (UFB),Alhambra,CA,1547894,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1858990
LAND BK OF TAIWAN LA BR,Foreign Banking Organization (USB),Los Angeles,CA,1426734,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2614009
FIRST CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,1344900,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1438963
CHANG HWA CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,1340859,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1488771
STATE BK OF INDIA LA BR,Foreign Banking Organization (USB),Los Angeles,CA,1267285,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_116068
BANK SINOPAC LA BR,Foreign Banking Organization (USB),Pasadena,CA,1141570,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2826062
HUA NAN CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,1088880,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1437014
TAIWAN CO-OP BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,961279,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2361077
BANK OF TAIWAN LA BR,Foreign Banking Organization (USB),Los Angeles,CA,916923,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2045809
MEGA INTL CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,913677,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_683663
MEGA INTL CMRL SILICON VALL BR,Foreign Banking Organization (USB),San Jose,CA,835263,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1395374
TAIWAN BUS BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,749822,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2066121
SHANGHAI CMRL BK SF BR,Foreign Banking Organization (USB),San Francisco,CA,614107,,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_748665
