Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
3,"JPMorgan Chase Bank, National Association",Out-of-state bank with CA branches (SOD),Columbus,287153152,YES,SELF,⭐ Yes - 12 mo on purchases (Ink Unlimited & Ink Cash),Ink Unlimited/Cash $0 AF + 0% 12mo; Ink Preferred $95; Ink Premier $195,—,Online,https://creditcards.chase.com/business-credit-cards,SELF-underwritten + 0% intro
6,"Citibank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,72004000,YES,SELF,No,2 biz cards: Citi/AAdvantage Business ($0 intro AF then $99) and Costco Anywhere Visa Business ($0 AF w/ Costco membership); neither advertises 0% intro APR,Not stated on page,Online,https://www.citi.com/credit-cards/compare/business-credit-cards,SELF-underwritten
11,BANC OF CALIFORNIA,Bank,Los Angeles,27440681,YES,Elan,⭐ 0% 20 billing cycles purch+BT (third-party; official site 403 to fetcher),$0 AF; FX fee 2% USD / 3% foreign; ongoing APR not visible live,Not visible,Online (Elan portal),https://bancofcal.com/business-banking/business-credit-cards/,0% intro
17,Western Alliance Bank,Out-of-state bank with CA branches (SOD),Phoenix,17032527,YES,SELF,NO (no intro offer shown live),"Visa Business Plus: revolving, 1pt/$1, low fees, balance transfers, eZBusiness mgmt; APR not published; also commercial ONE Card / Commercial Plus",Not visible live (prior: PG conditional; financials at banker discretion),Online form -> banker callback in 2-3 business days (not instant online decision),https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,SELF-underwritten
25,FARMERS AND MERCHANTS BANK OF LONG BEACH,Bank,Long Beach,8938167,YES,Elan,"⭐ 0% 12 billing cycles (Business Cash Preferred, purch+BT; live Elan portal)",Cash Preferred: 17.24-26.24% var; $0 AF; bonus now $25 first-purchase + $100 annual credit. Also Smart Business Rewards ($0/$95 AF) and Real Rewards (0% 6 cyc),Not visible,Online (Elan portal),https://www.fmb.com/business/business-credit-card,0% intro
29,PATELCO CREDIT UNION,Credit Union,Dublin,8288036,YES,SELF,NO — no 0% intro; intro bonus instead (20k pts/$200 after $1.5K in 3mo),⭐ Mastercard Business Rewards: 10.65-20.15% var APR; $0 AF; 1.5 pts/$1; limit up to $40K; business must be established 2+ years,—,Assisted,https://www.patelco.org/business-banking/business-rewards-card,SELF-underwritten + $20K+ stated limit
34,SAN DIEGO COUNTY CREDIT UNION,Credit Union,San Diego,7569256,YES,SELF,NO,⭐ Low-rate Visa Business; limits $5k-$20k; $25 AF waived w/ $10k+/yr spend,—,Online,https://www.sdccu.com/business/business-credit-card/,SELF-underwritten + $20K+ stated limit
38,PREFERRED BANK,Bank,Los Angeles,6432233,YES,Elan,⭐ 0% 12 billing cycles (Cash Preferred; purchases+BT); 0% 6 cycles (Real Rewards),Cash Preferred: 17.24-26.24% after intro $0 AF 3% gas/EV/cell/office/dining + $100 software credit; Smart Business Rewards $95 AF after yr1; Real Rewards 1.5X $0 AF,not visible live,Online,https://www.preferredbank.com/business/loans-and-credit/credit-cards,0% intro
45,CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Glendale,4866121,YES,SELF,NO 0% intro,Business Platinum 8.25-15.25% / Business Rewards (1% cash back) 9.25-16.25% (site rates dated 2021-10-19; Prime-indexed monthly); $0 AF; 3%/$10 cash adv; 1% FTF,not visible live (prior: PG + financials-on-request covenant),In-person,https://www.ccu.com/business/loans/business-credit-cards,SELF-underwritten
50,TRAVIS CREDIT UNION,Credit Union,Vacaville,4734336,YES,SELF,NO,Business Visa for sole props (1.5% cash back + 30K-pt/$3.5K-90d bonus) + Standard Business Visa for LLC/corp; $0 AF both; variable Prime+margin APR; no 0% intro,—,Phone/branch,https://www.traviscu.org/business/lending/business-visa/,SELF-underwritten
