Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
1,"Bank of America, National Association",Out-of-state bank with CA branches (SOD),Charlotte,422113884,YES,SELF,⭐ YES (intro APR on purchases offered; cycle count rendered dynamically on page — prior: 0% 7-9 cycles),"3 Business Advantage cards (Unlimited Cash 1.5%, Customized Cash 3%, Travel); $0 AF on all; $500/50K bonuses",⭐ Not visible live (prior: PG yes via SSN; no tax returns for cards),Online,https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,SELF-underwritten + 0% intro + low/no-doc language
3,"JPMorgan Chase Bank, National Association",Out-of-state bank with CA branches (SOD),Columbus,287153152,YES,SELF,⭐ Yes - 12 mo on purchases (Ink Unlimited & Ink Cash),Ink Unlimited/Cash $0 AF + 0% 12mo; Ink Preferred $95; Ink Premier $195,—,Online,https://creditcards.chase.com/business-credit-cards,SELF-underwritten + 0% intro
5,CITY NATIONAL BANK,Bank,Los Angeles,81067113,YES,SELF,NO,Visa Commercial Card; commercial-only (no small-biz card); rewards points; AF not shown on page,—,Contact-form/banker,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,SELF-underwritten
8,First-Citizens Bank & Trust Company,Out-of-state bank with CA branches (SOD),Raleigh,49197599,YES,SELF,"⭐ YES — 0% 12mo (Low-Interest Business Visa); 0% 9mo (Rewards & Cash Rewards Business Visa), purchases + BT","Low-Interest: 0% 12mo then 13.49-22.49% var, $0 AF; Rewards/Cash Rewards: 0% 9mo then 15.49-24.49% var; BT fee 3% ($5 min); new-account only (no FCB card in prior 15mo). Site 403s to bots — terms verified via live Google results/snippets of firstcitizens.com product pages",—,In-person,https://www.firstcitizens.com/small-business/credit-financing/credit-cards,SELF-underwritten + 0% intro
11,BANC OF CALIFORNIA,Bank,Los Angeles,27440681,YES,Elan,⭐ 0% 20 billing cycles purch+BT (third-party; official site 403 to fetcher),$0 AF; FX fee 2% USD / 3% foreign; ongoing APR not visible live,Not visible,Online (Elan portal),https://bancofcal.com/business-banking/business-credit-cards/,0% intro
16,MECHANICS BANK,Bank,Walnut Creek,18251541,YES,Elan,⭐ 0% 12 billing cycles (Cash Preferred; purchases+BT); 0% 6 cycles (Real Rewards),Cash Preferred: 17.24-26.24% after intro $0 AF 3% gas/EV/cell/office/dining; Smart Business Rewards $0 intro then $95 AF; Real Rewards 1.5X $0 AF,not visible live,Online,https://www.mymechanics.com/business/loans-credit/business-credit-cards/,0% intro
20,"Zions Bancorporation, N.A.",Out-of-state bank with CA branches (SOD),Salt Lake City,15529542,YES,SELF,⭐ YES,AmaZing Rate: 0% intro 6mo then 13.75% variable; $0 AF; AmaZing Cash 3/2/1% + $500 bonus; AmaZing Rewards 3x/2x/1x + 50K pts; commercial card also offered,—,Online,https://www.calbanktrust.com/business/business-credit-cards/,SELF-underwritten + 0% intro
25,FARMERS AND MERCHANTS BANK OF LONG BEACH,Bank,Long Beach,8938167,YES,Elan,"⭐ 0% 12 billing cycles (Business Cash Preferred, purch+BT; live Elan portal)",Cash Preferred: 17.24-26.24% var; $0 AF; bonus now $25 first-purchase + $100 annual credit. Also Smart Business Rewards ($0/$95 AF) and Real Rewards (0% 6 cyc),Not visible,Online (Elan portal),https://www.fmb.com/business/business-credit-card,0% intro
28,TRI COUNTIES BANK,Bank,Chico,8408678,YES,SELF,NO (no 0% intro on live page),"Visa Business / Business Platinum (1.5% cash back, $0 AF) / Commercial / Purchasing / Fleet; APR N/M",—,Branch/banker,https://www.tcbk.com/business/credit-cards,SELF-underwritten
31,LOGIX FEDERAL CREDIT UNION,Credit Union,Valencia,8192822,YES,SELF,NO (5.99% intro APR 6 months — not 0%),Smart Business Cashback Mastercard: 5.99% intro 6mo -> 17.99%; $0 AF; 1.5 pts/$1 redeemable as cashback,Not visible live (prior: PG inferred),Appointment (schedule with business banking team; no direct online app),https://www.logixbanking.com/business/credit-card,SELF-underwritten
34,SAN DIEGO COUNTY CREDIT UNION,Credit Union,San Diego,7569256,YES,SELF,NO,⭐ Low-rate Visa Business; limits $5k-$20k; $25 AF waived w/ $10k+/yr spend,—,Online,https://www.sdccu.com/business/business-credit-card/,SELF-underwritten + $20K+ stated limit
36,HANMI BANK,Bank,Los Angeles,6801918,YES,Elan,⭐ YES — Business Zero+ 0% up to 18 billing cycles (purch+BT); Business Real Rewards 0% 6 cycles,"4 Elan cards: Zero+, Real Rewards, Cash Preferred, Smart Business Rewards; AF not on page; note: a Google snippet for same URL cites World/World Elite issued by Fifth Third (possible newer commercial program) but live page shows Elan lineup",—,Online,https://www.hanmi.com/business/business-credit-cards/,0% intro
41,KINECTA FEDERAL CREDIT UNION,Credit Union,Manhattan Beach,5720278,YES,SELF,NO (live page: no intro APR offered),"MyPro Business MC: 13.49-18.00% purchases/BT (3% min BT fee); $0 AF; 3% office/fuel/EV, 2% travel/dining, 1% other; up to 20% relationship bonus",—,In-person/phone (book appointment or 800.854.9846; no online app),https://www.kinecta.org/credit-card/mypro,SELF-underwritten
