Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
2,"Wells Fargo Bank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,299560094,YES,SELF,⭐ 0% 12 months (purchases),$0 AF; 2% unlimited cash rewards; 16.74-24.74% var after intro; $500 bonus @ $5K/3mo,Not visible,Online (also branch by appt),https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,SELF-underwritten + 0% intro
4,U.S. Bank National Association,Out-of-state bank with CA branches (SOD),Cincinnati,114337732,YES,SELF,⭐ 0% intro APR purchases+BT 12 billing cycles (Triple Cash & Business Shield),Triple Cash: $0 AF; 3% gas/EV(<=$200)/office supply/cell/restaurants; $100 software credit; BT fee 5% min $5,—,Online,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,SELF-underwritten + 0% intro
6,"Citibank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,72004000,YES,SELF,No,2 biz cards: Citi/AAdvantage Business ($0 intro AF then $99) and Costco Anywhere Visa Business ($0 AF w/ Costco membership); neither advertises 0% intro APR,Not stated on page,Online,https://www.citi.com/credit-cards/compare/business-credit-cards,SELF-underwritten
9,BMO Bank National Association,Out-of-state bank with CA branches (SOD),Chicago,35458327,YES,SELF,⭐ 0% 18 mo purchases+BT (Business Platinum),$0 AF; 12.74-21.74% var after intro; Business Platinum Rewards variant also offered,not visible live,Online,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,SELF-underwritten + 0% intro
14,CATHAY BANK,Bank,El Monte,20697975,YES,Elan,"⭐ YES — intro APR 6 mo (Mastercard Business Platinum, purchases+BT; rate not shown)","MC Business Platinum (low rate, 6-mo intro) + Business Platinum Rewards (1% cash back unlimited); APR/AF on Elan storefront",—,Online,https://www.cathaybank.com/business/credit-cards,0% intro
17,Western Alliance Bank,Out-of-state bank with CA branches (SOD),Phoenix,17032527,YES,SELF,NO (no intro offer shown live),"Visa Business Plus: revolving, 1pt/$1, low fees, balance transfers, eZBusiness mgmt; APR not published; also commercial ONE Card / Commercial Plus",Not visible live (prior: PG conditional; financials at banker discretion),Online form -> banker callback in 2-3 business days (not instant online decision),https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,SELF-underwritten
24,"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",Bank,Ontario,12002449,YES,Elan,Not shown on bank page (prior via Elan offer page: 0% 12 cycles -> 17.24-26.24%),Mastercard Business Card via Elan (rewards/cash back/balance paydown options) + One Card commercial; terms not on bank site,⭐ Not visible live (prior: PG yes; no tax returns <$25K),Online,https://www.cbbank.com/banking/credit-debit-commercial-cards/,low/no-doc language
27,REDWOOD CREDIT UNION,Credit Union,Santa Rosa,8560969,YES,SELF,NO,Business Visa Platinum Preferred (shared line) + Select (per-cardholder limits); $0 AF; 1x pts; no 0% intro; lowest-rate positioning; NorCal-county HQ required,NO — requires current business income statement + business federal tax returns (full-doc),Online,https://www.redwoodcu.org/business/cards/business-visa-platinum/,SELF-underwritten
29,PATELCO CREDIT UNION,Credit Union,Dublin,8288036,YES,SELF,NO — no 0% intro; intro bonus instead (20k pts/$200 after $1.5K in 3mo),⭐ Mastercard Business Rewards: 10.65-20.15% var APR; $0 AF; 1.5 pts/$1; limit up to $40K; business must be established 2+ years,—,Assisted,https://www.patelco.org/business-banking/business-rewards-card,SELF-underwritten + $20K+ stated limit
33,"PNC Bank, National Association",Out-of-state bank with CA branches (SOD),Wilmington,7798464,YES,SELF,⭐ 0% intro APR purchases+BT 13 billing cycles (Visa Business; BT within first 90 days),"⭐ Visa Business: $0 AF, no rewards, then 16.24-26.24% var, BT fee 5%/$5; BusinessOptions: pay-in-full option, limit up to $250K; pnc.com blocked direct fetch (503) - confirmed via Google-indexed pnc.com pages + reviews",—,Online,https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-visa-business-credit-card.html,SELF-underwritten + 0% intro + $20K+ stated limit
35,Umpqua Bank,Out-of-state bank with CA branches (SOD),Roseburg,7124985,YES,Elan,⭐ YES,Business Platinum: 0% intro 18 billing cycles (purch+BT) then ~16.99-25.99%; Business Real Rewards 0% 6 cycles; $0 AF; umpquabank.com card page 403-blocked to bots but Elan offer pages live,—,Online,https://branchoffer.com/11t2/business-platinum2103,0% intro
38,PREFERRED BANK,Bank,Los Angeles,6432233,YES,Elan,⭐ 0% 12 billing cycles (Cash Preferred; purchases+BT); 0% 6 cycles (Real Rewards),Cash Preferred: 17.24-26.24% after intro $0 AF 3% gas/EV/cell/office/dining + $100 software credit; Smart Business Rewards $95 AF after yr1; Real Rewards 1.5X $0 AF,not visible live,Online,https://www.preferredbank.com/business/loans-and-credit/credit-cards,0% intro
43,FREMONT BANK,Bank,Fremont,5269655,YES,SELF,⭐ YES — 0% 6 months purchases+BT (Business Platinum),"Business Platinum: 0% 6mo then 12.49-20.49% var, $0 AF any year, 3%/$10 BT fee; also Platinum Low Rate (Prime+2.99), Platinum Rewards, World Elite; customers only",—,Online,https://www.fremontbank.com/business/credit/platinum-credit-card,SELF-underwritten + 0% intro
47,Enterprise Bank & Trust,Out-of-state bank with CA branches (SOD),Clayton,4811960,YES,SELF,No 0% intro (none mentioned live),Business Rewards $0 AF 1.25x; Business Preferred Rewards $50 AF 1.5x; Commercial Card Solution $0 AF volume credits; all 19.25% (Prime+12.5%),Not visible,Contact banker (phone/email/form; no online app),https://www.enterprisebank.com/business/credit-cards,SELF-underwritten
50,TRAVIS CREDIT UNION,Credit Union,Vacaville,4734336,YES,SELF,NO,Business Visa for sole props (1.5% cash back + 30K-pt/$3.5K-90d bonus) + Standard Business Visa for LLC/corp; $0 AF both; variable Prime+margin APR; no 0% intro,—,Phone/branch,https://www.traviscu.org/business/lending/business-visa/,SELF-underwritten
55,SAFE CREDIT UNION,Credit Union,Folsom,3990691,YES,SELF,⭐ YES — 0% APR first 12 billing cycles on balance transfers (BT promo only; purchases at standard APR),SAFE Visa Business: $0 AF; no BT/cash-advance fees; rewards on business spend; variable APR after promo (range not shown live; prior 13.40-19.40%),Not visible live (prior: explicit PG + financials on request),Appointment (Schedule Appointment button; no online app),https://www.safecu.org/business/grow-your-business/visa-business,SELF-underwritten + 0% intro
59,BANK OF STOCKTON,Bank,Stockton,3754998,YES,Elan,⭐ UNCONFIRMED live (Elan offer page JS-rendered blank; Elan twin banks show 0% 6-12 cyc),Site: 'variety of Visa credit cards for businesses... cash back to no annual fee'; specific terms not on bank page,—,Online,https://www.mycardapply.com/synindex/?ecdma-lc=37171&ecid=OTHE_25940&offertype=0#business,0% intro
61,STANFORD FEDERAL CREDIT UNION,Credit Union,Palo Alto,3709005,YES,SELF,NO (no 0% intro found live),"⭐ Business Rewards Visa: to $50K; 2%/2pts dining+food delivery, 1% else as monthly statement credit; NO AF/BT/CA/FTX fees; reqs: 640 FICO, 2 yrs in business, SFCU biz checking 6 mo; APR 16.00-17.99% var per prior (not re-shown in snippets; sfcu.org 403s direct fetch)",Live: 640 min score + 2yrs in business + 6-mo biz checking prereq (tightens prior no-doc read),Online (members),https://www.sfcu.org/business/business-credit-card,SELF-underwritten + $20K+ stated limit
63,BANK OF MARIN,Bank,Novato,3458796,YES,Elan,⭐ 0% 12 cycles (Cash Preferred) / 6 cycles (Real Rewards) — standard Elan suite; per-card terms behind learnmore link,Low rate/cash back/flexible rewards Elan suite; free employee cards; expense tools; bank page shows no APR/AF detail,not visible live,Online,https://www.bankofmarin.com/products-and-services/credit-cards/,0% intro
66,ROYAL BUSINESS BANK,Bank,Los Angeles,3385924,YES,Elan,⭐ 0% intro 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),Cash Preferred $0 AF; Smart Business Rewards $0 intro then $95 AF; Real Rewards $0 AF,—,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=27904&ecid=OTHE_25940,0% intro
69,PROVIDENT CREDIT UNION,Credit Union,Redwood City,3191602,YES,SELF,NO 0% (prior noted 6-mo reduced intro rate; not visible on live page),"⭐ Business Rewards Visa (1pt/$1 uncapped, to $50K, no employee-card fees) + Business Share Secured Visa (120% pledge, min $600, qualify w/o credit history); APR/AF not on live page",—,Online (member flow: new members open biz savings first; existing via online banking),https://www.providentcu.org/business/business-credit-cards,SELF-underwritten + $20K+ stated limit
72,"Flagstar Bank, National Association",Out-of-state bank with CA branches (SOD),Hicksville,3126219,YES,FNBO,⭐ YES — 0% intro 18 billing cycles (standard Business Edition Visa) / 0% 12 cycles (Absolute Rewards version) on purchases + BTs,3 Business Edition Visa cards incl. secured (Maximum Rewards); $0 AF on all; apply online at card.fnbo.com,Not visible live (prior: PG typical for FNBO),Online,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,0% intro
76,BANK OF THE SIERRA,Bank,Porterville,2932864,YES,Elan,⭐ YES,Business Cash Preferred 0% 12 cycles + 3% cats + $0 AF; Business Real Rewards 0% 6 cycles 1.5x $0 AF; Smart Business Rewards $95 AF (yr1 free) 2x,—,Online,https://www.bankofthesierra.com/business/loans-credit-cards/business-credit-cards/,0% intro
78,EXCHANGE BANK,Bank,Santa Rosa,2837604,YES,Elan,⭐ YES — 0% 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),"Business Cash Preferred: 0% 12 cycles then 17.24-26.24% var, $0 AF; Business Real Rewards: 0% 6 cycles then 17.24-26.24%, $0 AF; Smart Business Rewards: no 0%, 18.24-25.24%, $0 intro AF then $95",—,Online,https://www.exchangebank.com/business/credit-cards,0% intro
80,ORANGE COUNTY'S FEDERAL CREDIT UNION,Credit Union,Santa Ana,2584116,YES,SELF,Not shown (no intro offer found live),"Business Mastercard exists but is low-visibility: NOT listed on live business-services page (only checking/savings/MMA/CDs/vehicle/CRE); confirmed via own FAQ/disclosure PDFs + Business MC payment address PO Box 11777 Santa Ana; Platinum APR ~16.74-18.00%, $0 AF (consumer disclosure)",Not visible live,Branch/phone (no online business-card app found),https://www.orangecountyscu.org/products/credit-cards/,SELF-underwritten
83,Sunwest Bank,Out-of-state bank with CA branches (SOD),Sandy,2421811,YES,SELF,NO,Visionary Corporate Card: 1% cash back (monthly statement credit); no implementation/license fees; expense-mgmt platform with virtual cards; no 0% intro; sunwestbank.com page 403-blocked to bots,—,Email/contact (VisionaryPayments@SunwestBank.com),https://www.visionarycorporatecard.com/,SELF-underwritten
87,OPEN BANK,Bank,Los Angeles,2328101,YES,Elan,Not shown on bank page (Elan offer page would carry current promo; prior N/M),"Elan business card menu: low rate / cash back / flexible rewards; free employee cards, expense tools, zero fraud liability",⭐ Not visible live (prior: PG yes; no tax returns <$25K),Online,https://myopenbank.com/additional-services/,low/no-doc language
91,FIREFIGHTERS FIRST FEDERAL CREDIT UNION,Credit Union,Los Angeles,2221334,YES,SELF,NO (no 0% intro found),"Business Platinum Visa, 1% cashback; business membership required; APR 10.75-18.00% var per prior (not re-shown; domain fetch-blocked, verified via search snippets)",NO — FULL-DOC: current business income statement + business federal tax returns required (live snippet),Email/phone (800-231-1626); business membership prereq,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,SELF-underwritten
95,COAST CENTRAL CREDIT UNION,Credit Union,Eureka,2060772,YES,SELF,No 0% intro (rate-based cards),"Business Visa (limits from $1K, var APR as low as 10.70%) + Signature Visa (from $5K, as low as 9.70%); $0 AF; 1-2 pts rewards; employee cards",Doc requirements not shown on live page (prior: full-doc),Paper PDF app to branch,https://www.coastccu.org/business/business-credit-cards/,SELF-underwritten
