Rank,Institution,Type,City,HQ_State,Deposits,Assets,ibanknet_URL,Bank_website,Source,In_prior_sweep,Notes
1,"Bank of America, National Association",Out-of-state bank with CA branches (SOD),Charlotte,NC,422113884,2672192000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_480228,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 697 CA offices"
2,"Wells Fargo Bank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,SD,299560094,1852239000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_451965,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 788 CA offices"
3,"JPMorgan Chase Bank, National Association",Out-of-state bank with CA branches (SOD),Columbus,OH,287153152,4016571000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_852218,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 871 CA offices"
4,U.S. Bank National Association,Out-of-state bank with CA branches (SOD),Cincinnati,OH,114337732,683379960,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_504713,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 565 CA offices"
5,CITY NATIONAL BANK,Bank,Los Angeles,CA,81067113,99947369,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_63069,,cache 2026-06-10,Y,
6,"Citibank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,SD,72004000,1933622000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_476810,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 273 CA offices"
7,EAST WEST BANK,Bank,Pasadena,CA,69086073,82474471,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_197478,,cache 2026-06-10,Y,
8,First-Citizens Bank & Trust Company,Out-of-state bank with CA branches (SOD),Raleigh,NC,49197599,235521000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_491224,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 54 CA offices"
9,BMO Bank National Association,Out-of-state bank with CA branches (SOD),Chicago,IL,35458327,251964731,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_75633,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 226 CA offices"
10,SCHOOLSFIRST FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,31586618,36737429,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_937898,,cache 2026-06-10,Y,
