Name,Type,City,State,Assets,Deposits,ibanknet_URL
WESCOM CENTRAL CREDIT UNION,Credit Union,Pasadena,CA,6472794,4397749,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_344692
CALTECH EMPLOYEES FEDERAL CREDIT UNION,Credit Union,La Canada,CA,2176332,1611118,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_39082
LOS ANGELES POLICE FEDERAL CREDIT UNION,Credit Union,Van Nuys,CA,1402267,1265776,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_758495
RIZE FEDERAL CREDIT UNION,Credit Union,El Monte,CA,1309314,1060948,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_161086
VALLEY FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,CA,1108042,926404,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_617882
MERCED SCHOOL EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Merced,CA,897525,795116,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_341682
OCEANAIR FEDERAL CREDIT UNION,Credit Union,Oxnard,CA,870760,683443,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_318684
PACIFIC COAST BANKERS' BANK,Bank,Walnut Creek,CA,1084528,559752,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2451240
MOCSE FEDERAL CREDIT UNION,Credit Union,Modesto,CA,430486,396495,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_169381
MATADORS COMMUNITY CREDIT UNION,Credit Union,Northridge,CA,359948,316715,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_391481
DOWNEY FEDERAL CREDIT UNION,Credit Union,Downey,CA,331199,268047,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_952985
CORAZO CREDIT UNION,Credit Union,El Centro,CA,241842,206427,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_222875
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL,Savings Institution (Federal Savings Bank),San Rafael,CA,219992,176372,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_229070
SANTA CRUZ COMMUNITY CREDIT UNION,Credit Union,Santa Cruz,CA,174346,150260,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_162494
MISSION CITY FEDERAL CREDIT UNION,Credit Union,Santa Clara,CA,164299,141029,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_694986
LA LOMA FEDERAL CREDIT UNION,Credit Union,Loma Linda,CA,114333,108257,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_789387
LASSEN COUNTY FEDERAL CREDIT UNION,Credit Union,Susanville,CA,109310,94778,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_256281
MCKESSON & HEALTHCARE PROVIDERS FEDERAL CREDIT UNION,Credit Union,Martinez,CA,93290,80193,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_294386
CALIFORNIA COMMUNITY CREDIT UNION,Credit Union,Sacramento,CA,79918,69035,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_590873
MODESTO'S FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,CA,72168,65540,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_264679
ESCONDIDO FEDERAL CREDIT UNION,Credit Union,Escondido,CA,66214,57125,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_827980
BOPTI FEDERAL CREDIT UNION,Credit Union,San Pedro,CA,64385,48291,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_792387
SILVERADO CREDIT UNION,Credit Union,Angwin,CA,48598,42589,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_592783
CORRECTIONS FEDERAL CREDIT UNION,Credit Union,Soledad,CA,36391,33269,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_770189
GREATER VALLEY CREDIT UNION,Credit Union,Fresno,CA,33435,28339,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_794699
NORTHERN REDWOOD FEDERAL CREDIT UNION,Credit Union,Arcata,CA,24492,22577,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_736886
FONTANA FEDERAL CREDIT UNION,Credit Union,Fontana,CA,17231,15829,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_10782
ESPEECO FEDERAL CREDIT UNION,Credit Union,Bakersfield,CA,12367,11580,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_53882
SAN FRANCISCO LEE FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,10746,5042,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_627582
FOUNTAIN VALLEY CREDIT UNION,Credit Union,Fountain Valley,CA,1965,1509,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_176893
The Bank of New York Mellon,Out-of-state bank with CA branches (SOD),,,,0,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_541101
