Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
"Citibank, National Association","Out-of-state bank with CA branches (SOD)",,72004000,,https://www.citi.com,YES,https://www.citi.com/credit-cards/compare/business-credit-cards,No,"2 biz cards: Citi/AAdvantage Business ($0 intro AF then $99) and Costco Anywhere Visa Business ($0 AF w/ Costco membership); neither advertises 0% intro APR",SELF,"Major national issuer; own-domain citi.com card pages and Apply Now buttons",Online,https://www.citi.com/credit-cards/compare/business-credit-cards,Not stated on page,Not stated on page,"OK - national bank, matches SOD entry","https://www.citi.com/credit-cards/compare/business-credit-cards",2026-06-11
"CREDIT UNION OF SOUTHERN CA, A",Credit Union,Anaheim,3110791,3942854,https://www.cusocal.org,NO,,,"Business banking/savings and CRE lending offered but no business credit card found; personal Visa cards only (Platinum Rewards, Topaz)",,,,,,,"OK - CU SoCal, Anaheim/Whittier CA footprint matches","https://www.cusocal.org/business/; https://www.cusocal.org/cards/compare-credit-cards/",2026-06-11
KEYPOINT CREDIT UNION,Credit Union,San Jose,1403675,1701238,https://kpcu.com,YES,https://kpcu.com/business/lending/business-loans/business-credit-cards,Not stated,"Visa biz card: 15.99%-24.99% variable APR, no annual fee, 1.5% cash back; no 0% intro mentioned",SELF,"Own-domain kpcu.com card page and online application; no third-party servicer named",Online,https://kpcu.com/business/lending/business-loans/business-credit-cards,Not stated on page,"App asks total annual revenue + Tax ID/EIN (sole props may not need TIN)","OK - Bay Area/San Jose CA matches",https://kpcu.com/business/lending/business-loans/business-credit-cards,2026-06-11
SESLOC CREDIT UNION,Credit Union,San Luis Obispo,1124366,1252419,https://www.sesloc.org,YES,https://www.sesloc.org/business-services/business-lending/,Not stated,"SESLOC Visa business credit card with 'competitive rates'; details (APR/fees) not on page",SELF,"Online app via MeridianLink with SESLOC lenderref (app.consumer.meridianlink.com lenderref=Seslocfcu); no card-issuer third party named",Online,"https://app.consumer.meridianlink.com/apply.aspx?lenderref=Seslocfcu91917&list=bl",Not stated on page,Not stated on page,"OK - San Luis Obispo CA matches",https://www.sesloc.org/business-services/business-lending/,2026-06-11
UNIVERSITY CREDIT UNION,Credit Union,Los Angeles,1010441,1187569,https://www.ucu.org,YES,https://www.ucu.org/banking/business/business-credit-cards,Not stated,"Mastercard biz card: 2 pts/$1 no limit, no annual fee, no foreign transaction fee; APR not shown on page; no 0% intro mentioned",SELF,"CURewards redemption platform; own-domain ucu.org Apply Now; no third party named",Online,https://www.ucu.org/banking/business/business-credit-cards,Not stated on page,Not stated on page,"OK - LA/UCLA campus CA matches (distinct from UCU Maine)",https://www.ucu.org/banking/business/business-credit-cards,2026-06-11
CERTIFIED FEDERAL CREDIT UNION,Credit Union,El Monte,720823,919973,https://www.certifiedfed.com,NO,,,"Personal MORE Rewards VISA only; no business banking or business credit card on site",,,,,,,"OK - El Monte CA matches",https://www.certifiedfed.com/,2026-06-11
MYPOINT CREDIT UNION,Credit Union,San Diego,585195,701059,https://www.mypointcu.com,NO,,,"Business checking/savings/loans and Autobooks offered but no business credit card; personal VISA only",,,,,,,"OK - San Diego CA matches",https://www.mypointcu.com/business,2026-06-11
Israel Discount Bank of New York,"Out-of-state bank with CA branches (SOD)",,840384,,https://www.idbny.com,UNCLEAR,,,"Commercial/private bank (middle market); site blocks fetch (HTTP 403); search shows merchant card services and a Visa Signature via private banking but no business credit card product page found",UNKNOWN,"Site inaccessible to fetcher; no card servicer identifiable",UNKNOWN,,,,"OK - NY-HQ bank w/ CA branches, matches SOD entry","https://www.idbny.com/; https://www.idbny.com/commercial-banking",2026-06-11
FIRST U.S. COMMUNITY CREDIT UNION,Credit Union,Sacramento,490051,554171,https://firstus.org,YES,https://firstus.org/business,Not stated,"Business Platinum Visa: no annual fee 1st yr (waived w/ active biz checking or biz loan), no balance transfer fees, no collateral; APR not shown; no 0% intro mentioned",UNKNOWN,"No third-party servicer named on page; apply-online link domain not verified",Online,"https://firstus.org/business (also branch or 800-556-6768)",Not stated on page,Not stated on page,"OK - Sacramento CA matches",https://firstus.org/business,2026-06-11
YOLO FEDERAL CREDIT UNION,Credit Union,Woodland,344210,410982,https://www.yolofcu.org,YES,https://www.yolofcu.org/business-visa,No,"Business Visa: 13.74% variable APR (purchases/BT/CA), no annual fee, no penalty APR, limit up to $20k; no intro rate",SELF,"Own-domain application (yolofcu.org/business-resources-application); apps go to Yolo FCU business lending office in Davis; no third party named",Online,"https://www.yolofcu.org/business-resources-application (also mail/fax/email to BusinessLending@yolofcu.org)",Not stated on page,"Required docs vary by business type (non-profit, sole prop, etc.)","OK - Woodland/Yolo County CA matches",https://www.yolofcu.org/business-visa,2026-06-11
