Institution,ChexSystems,Chex_link,EWS,EWS_link,LexisNexis_SageStream,LN_link,Other_secondary,Other_link,Notes
Altos Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Altura Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
America First Credit Union,Pull: Yes [COMMUNITY-DP (secondary site); 2025-10-21],https://www.crediful.com/chexsystems/america-first-credit-union/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. NEW vs N/M: Crediful (updated 2025-10-21): 'America First Credit Union does use ChexSystems when reviewing new account applications.' (Utah-HQ AFCU, americafirst.com — lends in CA.)"
American Airlines Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
American Business Bank,"Consumer: UNKNOWN — no deposit agreement public; online banking agmt mentions only optional 'review of your credit rating' for bill-pay (own doc, no Chex/EWS named) | BUSINESS: UNKNOWN — corporate/RM channel; no online opener; no DP found [2026-06-11 (searched)]",https://americanbb.bank/online-banking-agreement/,Consumer: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (searched)],https://americanbb.bank/online-banking-agreement/,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_banks (business angle). ❓ UNKNOWN — ask (lean: corporate channel, likely manual review). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN."
American Continental Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
American Express,Yes — consumer checking (Crediful 2025-10-21; DP 2026-04-14); biz checking N/M [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls + reports (DoC list; DP 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. D3 EWS list: Does pull. 2026-05-22: Amex inquiry + Amex Checking reports. Gadget 2024-05-05: personal checking reports to EWS, no inquiry seen (existing CC holder). CONFIRMS existing cells."
American First National Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"American Plus Bank, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
American Riviera Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
American United Federal Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Arrowhead Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Asian Pacific National Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Avidbank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
