Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
"Wells Fargo Bank, National Association",Out-of-state bank with CA branches (SOD),,299560094,,https://www.wellsfargo.com,YES,https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,0% 12 months (purchases),"$0 AF; 2% unlimited cash rewards; 16.74-24.74% var after intro; $500 bonus @ $5K/3mo",SELF,"Hosted on creditcards.wellsfargo.com; WF-issued Signify card; biz credit-cards index 301-redirects straight to Signify page (only new-app card)",Online (also branch by appt),https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,Not visible,Not visible,"LIVE-CONFIRMS (Signify only card for new apps; 0% 12 mo; $0 AF; 2%; live adds $500 SUB and APR band 16.74-24.74%)",OK - wellsfargo.com biz cards URL redirects to creditcards.wellsfargo.com (same bank),https://www.wellsfargo.com/biz/business-credit/credit-cards/ | https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,2026-06-11
BANC OF CALIFORNIA,Bank,Los Angeles,27440681,34642892,https://bancofcal.com,YES,https://bancofcal.com/business-banking/business-credit-cards/,"0% 20 billing cycles purch+BT (third-party; official site 403 to fetcher)","$0 AF; FX fee 2% USD / 3% foreign; ongoing APR not visible live",Elan,"Apply link domain online1.elancard.com (hustlermoneyblog review); Banc of California LAFC card Elan-issued (NerdWallet); official page blocked (HTTP 403)",Online (Elan portal),online1.elancard.com (per review; official page 403 to fetcher),Not visible,Not visible,"LIVE-CONFIRMS (Elan + 0% 20 cycles + $0 AF stand; caveat: bancofcal.com serves 403 to fetcher - verified via search-indexed official page title + third party; card page URL now /business-banking/business-credit-cards/)",OK - bancofcal.com = Banc of California (search-index title match),https://bancofcal.com/business-banking/business-credit-cards/ | https://www.hustlermoneyblog.com/banc-of-california-business-card/,2026-06-11
BANK OF HOPE,Bank,Los Angeles,15771705,18652384,https://www.bankofhope.com,YES,https://www.bankofhope.com/business-banking/credit-cards,Not visible on live page (prior: 0% 9 cycles),"Low-rate / cash-back / rewards buckets; free employee cards; terms behind Elan apply portal",Elan,"Live quote: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""",Online (Elan portal via LEARN MORE),https://www.mycardapply.com/synindex/?ecdma-lc=37106&ecid=OTHE_25940&offertype=0#business,Not visible,Not visible,"LIVE-CONTRADICTS (prior apply=In-person; live LEARN MORE goes to online Elan apply portal mycardapply.com). Elan confirmed; 0% 9 cycles not visible live (prior richer on terms)",OK - bankofhope.com = Bank of Hope (LA),https://www.bankofhope.com/business-banking/credit-cards | https://www.mycardapply.com/synindex/?ecdma-lc=37106&ecid=OTHE_25940&offertype=0#business,2026-06-11
FARMERS AND MERCHANTS BANK OF LONG BEACH,Bank,Long Beach,8938167,11856598,https://www.fmb.com,YES,https://www.fmb.com/business/business-credit-card,"0% 12 billing cycles (Business Cash Preferred, purch+BT; live Elan portal)","Cash Preferred: 17.24-26.24% var; $0 AF; bonus now $25 first-purchase + $100 annual credit. Also Smart Business Rewards ($0/$95 AF) and Real Rewards (0% 6 cyc)",Elan,"Prior apply link creditcardlearnmore.com/11t3/?ecdma-lc=31463 resolves live to Elan business card offers; Elan Program Rules disclosure on portal",Online (Elan portal),https://creditcardlearnmore.com/11t3/index?ecdma-lc=31463&ecid=OTHE_25940,Not visible,Not visible,"LIVE-CONTRADICTS (SUB changed: prior $350 SUB; live Cash Preferred bonus = $25 after first purchase + $100 annual statement credit. Core 0% 12 cyc / 17.24-26.24% / $0 AF CONFIRMED)","OK - fmb.com = F&M Bank Long Beach (main-office Long Beach; investors.fmb.com FMBL). NOT fm.bank / fmbnc.com / fmbanktrust.bank twins",https://www.fmb.com/business/business-credit-card | https://creditcardlearnmore.com/11t3/index?ecdma-lc=31463&ecid=OTHE_25940,2026-06-11
"FIRST AMERICAN TRUST, FSB",Savings Institution (Federal Savings Bank),Santa Ana,7801359,8323217,https://www.firstamtrust.com,NO,,,"Trust/wealth/title-escrow bank: trust services, investments, wealth planning, deposit/treasury only; no credit products",,No card program (nav has zero credit-card mention),No,,,Not applicable,"LIVE-CONFIRMS (no card; trust/escrow bank - product set matches prior)",OK - firstamtrust.com = First American Trust FSB (First American Financial subsidiary),https://www.firstamtrust.com/,2026-06-11
POPPY BANK,Bank,Santa Rosa,6015080,7796215,https://www.poppy.bank,YES,https://www.poppy.bank/business-checking-accounts/#business_credit_cards,Not shown on bank page (prior: 0% 12 cycles via Elan portal),"Low-rate / cash-back / flexible-rewards buckets; no fee employee cards; terms on Elan portal",Elan,"Live quote: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" + myaccountaccess.com manage link (loc=7362)",Online (Elan portal),https://creditcardlearnmore.com/11t3/index?ecdma-lc=07362&ecid=OTHE_25940#business,Not visible,Not visible,"LIVE-CONFIRMS (Elan + identical apply link ecdma-lc=07362; card section moved onto business-checking-accounts page; 0% 12cyc terms live on Elan portal per F&M same-portal check)",OK - poppy.bank = Poppy Bank Santa Rosa CA,https://www.poppy.bank/business-checking-accounts/ | https://www.poppy.bank/sitemap/,2026-06-11
Enterprise Bank & Trust,Out-of-state bank with CA branches (SOD),,4811960,,https://www.enterprisebank.com,YES,https://www.enterprisebank.com/business/credit-cards,No 0% intro (none mentioned live),"Business Rewards $0 AF 1.25x; Business Preferred Rewards $50 AF 1.5x; Commercial Card Solution $0 AF volume credits; all 19.25% (Prime+12.5%)",SELF,"Cards presented as bank's own programs; no third-party issuer/agent disclosure on live page (consistent with prior FIS-rails self-issue inference)",Contact banker (phone/email/form; no online app),tel:833-896-2850 + contact form on card page,Not visible,Not visible,"LIVE-CONFIRMS (19.25% Prime+12.5%; $0/$50 AF; 1.25x/1.5x; Commercial Card Solution; no 0%; relationship apply)",OK - enterprisebank.com = Enterprise Bank & Trust (MO-based; CA SOD branches),https://www.enterprisebank.com/business/credit-cards,2026-06-11
AMERICAN BUSINESS BANK,Bank,Los Angeles,3904079,4371214,https://americanbb.bank,UNCLEAR,https://americanbb.bank/services/relationship-banking/credit-services/,Not visible,"""Corporate Credit Cards"" listed as a credit-services line item only; no card detail, no terms, no product page",UNKNOWN,No issuer named anywhere on live page; no portal links,Contact relationship manager (no online app),https://americanbb.bank/services/relationship-banking/credit-services/,Not visible,Not visible,"LIVE-CONFIRMS (corporate cards mentioned, issuer/terms still not disclosed)",OK - americanbb.bank = American Business Bank LA,https://americanbb.bank/services/relationship-banking/credit-services/,2026-06-11
COMMERCIAL BANK OF CALIFORNIA,Bank,Irvine,3390468,3899410,https://cbcal.com,NO,,,"CBC Payments = merchant acquiring/processing (Merchant Services, ACH, acquiring partners); lending = loans/LOC; zero card-issuing references in nav",,Site differentiates payment processing from issuing; no issued card product exists,No,,,Not applicable,"LIVE-CONFIRMS (merchant acquirer, not issuer)",OK - cbcal.com = Commercial Bank of California (Irvine),https://cbcal.com/,2026-06-11
CALIFORNIA COAST CREDIT UNION,Credit Union,San Diego,3058434,3469511,https://www.calcoastcu.org,NO,,,"Consumer cards only (Platinum/Platinum Rewards/Student/Secured); business = checking/savings/loans + NewtekOne partner services (merchant processing, payroll, web/IT)",,No business card on business-services page; card links all consumer,No,,,Not applicable,"LIVE-CONFIRMS (no business card; consumer cards + NewtekOne business referrals)",OK - calcoastcu.org = California Coast CU San Diego,https://www.calcoastcu.org/business-home-page/business-services/,2026-06-11
