Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
U.S. Bank National Association,Out-of-state bank with CA branches (SOD),,,,114337732,"✅ Triple Cash: 0% 12 cyc, $0 AF, 3% cats; Business Shield/Platinum: 0% UP TO 18 cyc (in-branch) / 12 (online)",https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,Self (U.S. Bank NA),Online,TransUnion-dominant (varies by state) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROXY] vs mentor '(2,PG yes; NO tax returns (cards) | fit:4,https://www.usbank.com/business-banking/business-credit-cards.html
FIRST TECHNOLOGY FEDERAL CREDIT UNION,Credit Union,San Jose,CA,28579914,24592589,"⚠️ Business Credit Mastercard exists but 'existing cardholders only' — no online app, no published terms",—,N/M (self-issues personal cards; business-card issuer undisclosed),In-person,Experian (personal cards; business N/M),N/M (POI required generally) | fit:2,https://www.firsttechfed.com/bank/business
"HSBC Bank USA, National Association",Out-of-state bank with CA branches (SOD),,,,15549922,⚠️ Commercial-only (Corporate World Elite MC / VIP T&E for CMB clients; targets $100M+ revenue); NO small-business cards,—,Self (corporate programs),In-person,N/M,N/M | fit:0,https://www.us.hsbc.com
FIRST FOUNDATION BANK,Bank,Irvine,CA,11343543,8783466,YES (legacy) - Visa/Amex serviced at myaccountaccess.com = Elan; in merger transition,https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards,Elan (NO-GO) + MERGED - no longer a community bank; ~$17B combined,,,Skip - charter gone; any app now routes to Sunflower Bank,
"PNC Bank, National Association",Out-of-state bank with CA branches (SOD),,,,7798464,"✅ Visa Business 0% 13 cyc (best intro); BusinessOptions = SOFT-PULL, up to $250K",https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-businessoptions-visa-signature-credit-card.html,Self (PNC Bank NA),Online,"Hard-pull cards: Experian. BusinessOptions: SOFT pull, Equifax (NO hard inquiry!) ‖ v7 2026-06-11: b",PG yes; NO tax returns on the no-doc path | fit:4,https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html
KINECTA FEDERAL CREDIT UNION,Credit Union,Manhattan Beach,CA,6443715,5720278,✅ MyPro Business Mastercard: 0% 18 cyc on BALANCE TRANSFERS only; 12.24-18%; $0 AF; 3/2/1% cash back,https://www.kinecta.org/credit-card/mypro,Self (Kinecta FCU; CUNA Mutual/TruStage = forms vendor only),In-person,v7 2026-06-11: bureau verdict [COMMUNITY-DP] vs mentor '(2nd priority)' = n/a (prior DP CONFIRMED). ,PG yes (guaranty section); financials on request | fit:2,https://www.kinecta.org/credit-card/mypro
WESTAMERICA BANK,Bank,San Rafael,CA,5827278,4788155,✅ 0% 12-18 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109,Elan,Online,TransUnion (2 dated DPs; varies),PG yes; no tax returns (<$25K) | fit:3,https://www.westamerica.com
BANK OF STOCKTON,Bank,Stockton,CA,4834846,3754998,✅ 0% 6-12 cycles → 10.49-23.49%; $0/$50 AF,https://www.mycardapply.com/synindex/?ecdma-lc=37171&ecid=OTHE_25940&offertype=0#business,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://bankofstockton.com
ROYAL BUSINESS BANK,Bank,Los Angeles,CA,4186507,3385924,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=27904&ecid=OTHE_25940,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.royalbusinessbankusa.com
PREMIER AMERICA CREDIT UNION,Credit Union,Chatsworth,CA,3313106,2934356,✅ Premier Business Mastercard: NO 0% intro; 14.99% var; $0 AF; no late/over-limit/BT fees; merchant rebates; $5K-$50K li,https://www.premieramerica.com/business/loans/premier-business-mastercard,"Self (Premier America CU — confirmed creditor; Experian BusinessIQ app, no agent bank named)",Online,Personal pull on guarantor (FCRA auth; bureau not named) ‖ v7 2026-06-11: bureau verdict [COMMUNITY-,PG yes (Personal Guarantee Authorization on app); SSN/income collected; no tax returns stated | fit:,https://www.premieramerica.com/business/loans/premier-business-mastercard
PARTNERS FEDERAL CREDIT UNION,Credit Union,Burbank,CA,2799230,2446780,✅ TIB Mastercard business (Preferred Points 1pt/$1 to 10K/mo); no 0%; terms N/M; no online apply,—,TIB,In-person,Experian/TU (TIB; INFERENCE),PG likely (TIB standard); docs N/M | fit:2,https://www.pbofca.com
MidFirst Bank,Out-of-state bank with CA branches (SOD),,,,2259863,✅ Business Credit Card / Business Rewards / Business Secured ($35 AF); terms N/M,https://www.midfirst.com/business-and-commercial/card-solutions/credit,Self (MidFirst Bank — no third-party portal),In-person,N/M,N/M | fit:2,https://www.midfirst.com
