Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
EAST WEST BANK,Bank,Pasadena,CA,82474471,69086073,⚠️ Commercial only — One Card (corporate); terms N/M; no online apply,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments#corporate-card,Elan,In-person,TransUnion (varies EX/EQ) ‖ v7 2026-06-11: bureau verdict [UNKNOWN (likely Elan)] vs mentor '(2nd pr,PG yes (Elan); full commercial underwriting | fit:0,https://www.eastwestbank.com
CATHAY BANK,Bank,El Monte,CA,24035136,20697975,✅ 6-mo intro; 1% cash back; APR N/M,https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940#business,Elan,Online,TransUnion (varies EX/EQ) ‖ v7 2026-06-11: bureau verdict [VERIFIED-disclosure (issuer) + Elan-varia,PG yes; no tax returns (<$25K) | fit:3,https://www.cathaybank.com
Comerica Bank,Out-of-state bank with CA branches (SOD),,,,14908067,✅ Elan Mastercards (Business Cash 0% 12cyc; Smart Business Rewards $95 after yr1),https://branchoffer.com/11t1/smart-business-rewards,Elan,Online,TransUnion-lean (Elan; varies EX/EQ) ‖ v7 2026-06-11: bureau verdict [UNKNOWN] vs mentor '(2nd prior,PG yes; NO tax returns | fit:3,https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html
TRI COUNTIES BANK,Bank,Chico,CA,9946447,8408678,✅ no 0%; APR N/M; $0 AF; 1.5% cash back (Platinum),https://www.tcbk.com/business/credit-cards,"Self (Tri Counties Bank, N.A.)",In-person,N/M (personal pull via PG; bureau not named),PG yes (mandatory guarantor); no tax returns at app (self-reported revenue) | fit:2,https://www.tcbk.com
HANMI BANK,Bank,Los Angeles,CA,7789627,6801918,✅ 0% 18 cycles (Business Zero+); APR/AF N/M,https://www.mycardapply.com/synindex/product?ecdma-lc=36069&ecid=OTHE_25940&offertype=132,Elan,Online,TransUnion (varies EX/EQ) ‖ v7 2026-06-11: bureau verdict [VERIFIED-disclosure (issuer) + Elan-varia,PG yes; no tax returns (<$25K) | fit:3,https://www.hanmi.com
FREMONT BANK,Bank,Fremont,CA,5915963,5269655,✅ 0% 6 mo → 12.49-20.49% var; $0 AF (Business Platinum),https://fremontbank.myapexcard.com,Self (CorServ 'Apex' platform),Online,Experian (inferred from sister personal card),PG likely (N/M); no income-doc evidence | fit:3,https://www.fremontbank.com
EDUCATIONAL EMPLOYEES CREDIT UNION,Credit Union,Fresno,CA,5376699,4616425,❌ business ACCOUNTS exist (open in branch); biz credit card NOT found on site,—,None found (no biz card),In branch,—,n/a | fit:0,https://www.myeecu.org
STANFORD FEDERAL CREDIT UNION,Credit Union,Palo Alto,CA,4800514,3709005,"✅ Business Rewards Visa: to $50K; 1pt/$, 2pts dining/delivery; NO AF/BT/CA/FTX fees; 16.00–17.99% var",https://www.sfcu.org/business/business-credit-card,Self (VERIFIED — sfcu.org hosts own “Business Visa Application and Solicitation Disclosure”; no Elan/TCM/FNBO anywhere),Online (remote),v7 2026-06-11: bureau verdict [UNKNOWN] vs mentor '(2nd priority)' = n/a. No bureau DP found. (DPs n,PG implied via PFS; tax returns not mentioned for the card (LOC likely fuller doc); 640 FICO min | f,https://www.sfcu.org
PROVIDENT CREDIT UNION,Credit Union,Redwood City,CA,3625344,3191602,✅ Business Rewards Visa + Business Share Secured Visa: 6mo intro reduced rate (not 0%); $0 AF; up to $50K; 'qualify with,https://providentcu.org/business/business-credit-cards/apply,Self (Provident CU; Velera/PSCU processing platform),Online,N/M,PG N/M (inferred); account-opening docs (ID/EIN) only | fit:1,https://providentcu.org/business/business-credit-cards
PCB BANK,Bank,Los Angeles,CA,3395119,2898675,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=33608&ecid=OTHE_25940,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.mypcbbank.com
ARROWHEAD FEDERAL CREDIT UNION,Credit Union,Rancho Cucamong,CA,2905839,2404987,❌ No BUSINESS card (consumer Visa only; business = loans/SBA/CRE),—,Self (consumer cards; no business card),No,N/M (free Experian/FICO score to cardholders),N/M | fit:0,https://www.arrowheadcu.org/arrowhead-visa
FIREFIGHTERS FIRST FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,2470349,2221334,⚠️ Business Visa Platinum: 10.75–18.00% var; SELF-issued — but FULL-DOC ('current business income statement and business,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,Self (Firefighters First CU),Online,N/M,PG likely; tax returns REQUIRED | fit:1,https://www.firefightersfirstcu.org
MONTECITO BANK & TRUST,Bank,Santa Barbara,CA,2036398,1793788,✅ no 0%; 16.49-24.49%; $0 AF; 1% cash back; $250 SUB,https://montecito.bank/business/credit-card,Self (Montecito B&T is creditor),Assisted,N/M (personal pull on guarantor),Co-liability/guarantor; tax returns N/M | fit:2,https://montecito.bank
BAY FEDERAL CREDIT UNION,Credit Union,Capitola,CA,1892475,1693650,"✅ Business Visa to $50K: $0 AF, BayREWARDS, 2,500-pt signup, employee cards",https://www.bayfed.com/business/visa-credit,"Self (INFERRED-strong — issued directly by Bay Federal per product page; no agent named, 2026-06-10)",Contact/branch,—,UNKNOWN — docs not published | fit:—,https://www.bayfed.com/business/visa-credit
FFB BANK,Bank,Fresno,CA,1571464,1345950,✅ no 0%; APR N/M; no AF,https://www.ffb.bank/home/business/loans-credit/credit-cards/,TIB,Online,Experian (infer; single 2021 DP; TIB variable),PG typical (N/M); income docs N/M | fit:3,https://www.ffb.bank
AMERICAN FIRST CREDIT UNION,Credit Union,Brea,CA,1310342,1155644,❌ No business card (debit only),—,None,No,N/M,N/M | fit:0,https://www.afnb.com
"PROVIDENT SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Riverside,CA,1217531,901388,✅ Elan biz cards (Cash Preferred / Smart / Real Rewards); terms N/M,https://creditcardlearnmore.com/11t3/index?ecdma-lc=10028&ecid=OTHE_25940,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.myprovident.com
FIRST CITY CREDIT UNION,Credit Union,Pasadena,CA,952449,818167,❌ No BUSINESS card (consumer Visa only),—,N/M (consumer card; issuer unverified; lone 'Elan' hit unconfirmed),No,N/M,N/M | fit:0,https://www.firstcitycu.org/loans-credit/credit-cards
RIVER VALLEY COMMUNITY BANK,Bank,Yuba City,CA,764212,670456,✅ Elan biz Visa (low rate / cash back / rewards); terms N/M,https://www.mycardapply.com/synindex/?ecdma-lc=33345&ecid=OTHE_25940&offertype=0,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.myrvcb.com
PACIFIC VALLEY BANK,Bank,Salinas,CA,627944,546200,❌ No card (commercial/ag lender; debit Mastercard only),—,None,No,N/M,N/M | fit:0,https://www.pacificvalleybank.com
OneUnited Bank,Out-of-state bank with CA branches (SOD),,,,476360,❌ No business card (consumer UNITY Visa secured only; small-biz lending referred to Lendistry),—,None for business,No,N/M,N/M | fit:0,https://www.oneunited.com
PACIFIC ALLIANCE BANK,Bank,San Gabriel,CA,450670,366529,❌ No card (commercial/SBA lender; Visa debit only),—,None,No,N/M,N/M | fit:0,https://www.pacificalliancebank.com
COMMUNITY COMMERCE BANK,Industrial Loan Company,Claremont,CA,413501,311987,❌ No card (CRE/SBA lender; explicitly 'no unsecured products'),—,None,No,N/M,N/M | fit:0,https://ccombank.com
BANK IRVINE,Bank,Irvine,CA,306521,236001,❌ No card (de novo commercial bank; Mastercard debit only),—,None,No,N/M,N/M | fit:0,https://www.bankirvine.com
HOME BANK OF CALIFORNIA,Bank,San Diego,CA,254901,193199,"✅ TCM business Visa + Company Rewards Charge ($0 AF, 1pt/$1 no cap); terms N/M",https://www.mycommunitycc.com/uJU63OjSlxHb,"TCM Bank, N.A.",Online,Experian (TCM; BBB DPs),PG likely; SBA-eligible only | fit:3,https://www.hbc.bank
BEACH CITIES COMMERCIAL BANK,Bank,Irvine,CA,182473,139564,✅ Elan biz cards incl. Business ZERO+ (extended 0% intro); $0 AF; cash back; tied to select deposit accts,https://www.beachcitiescb.com/Card-Solutions/,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.beachcitiescb.com
LEGACY BANK,Bank,Murrieta,CA,111488,99856,⚠️ Business cards exist (no detail); issuer/terms N/M; no online apply,—,Unknown (not named; likely agent-issued; out-of-state 'Legacy' card data excluded),In-person,N/M,N/M | fit:2,https://www.legacybankca.com
ASIAN PACIFIC NATIONAL BANK,Bank,San Gabriel,CA,57005,45286,❌ No card (commercial bank; debit/prepaid only),—,None,No,N/M,N/M | fit:0,https://www.asianpacificbank.com
First Western Trust Bank,Out-of-state bank with CA branches (SOD),,,,0,⚠️ Elan card via Treasury Mgmt; $250K private-bank deposit gate; terms N/M (Elan storefront 404s),—,Elan,In-person,N/M (mentor 'EQ' uncorroborated — zero public DPs; Elan regional logic governs) ‖ v7 2026-06-11: bur,PG yes; no tax returns (<$25K) | fit:2,https://myfw.com
