Institution,Rec_Rank,Existing_Chex_cell,Existing_EWS_cell,Chex_Pull,Chex_Report,EWS_Pull,EWS_Report,Evidence_grade,DP_date,Source_links,Note
Chase (JPMorgan Chase),1,No — does not pull (DoC list 2025-08-07; Chex-report DP 2026-04-14; biz also no-pull ×4),Yes — pulls + reports (EWS co-owner; DPs 2026-05-22),No,Yes (per existing cell DP 2026-04-14),Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,DoC Chex: doesn't pull (36) + business doesn't pull (4). EWS: inquiry + reports ACH incl. balance (Dealgamer 2026-05-22). EWS co-owner. CONFIRMS existing cell.
Bank of America,2,"No — does not pull (DoC 2025-08-07, 9 DPs; comment 2026-03-06)",Yes — pulls (EWS co-owner; DoC ×4 DPs),No,UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418,DoC Chex: doesn't pull (9). EWS: inquiry + reports ACH w/ state field (2026-05-22); on Gadget 2022-11-20 EWS-reporter list. CONFIRMS existing cell.
Wells Fargo,3,"No — mostly (DoC 'mixed' 34-no vs 1-yes, 2025-08-07; DP 2026-04-14)","Yes — pulls (EWS co-owner; BIZ app hits owner's EWS, DP 2019-01-12)",No (mostly),UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,DoC Chex mixed 34-no/1-yes. EWS: inquiry + reports ACH incl. balance (2026-05-22); biz app hits owner EWS (2019 DP). CONFIRMS existing cell.
U.S. Bank (direct),4,"Yes — pulls, incl. business (Chex-report DP 2025-05/2026-05-08; biz DP 2025-10-17, not sensitive)",Yes — pulls (EWS co-owner; 'US Bank & Elan' inquiries DP 2026-05-22),Yes (mixed 8y/21n; branch signs say they use Chex),Yes (per existing cell DP),Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,EWS: 'US Bank & Elan' inquiry + reports ACH (2026-05-22). NOT Chex-inquiry-sensitive (DoC sens list). CONFIRMS existing cell.
PNC Bank,5,Yes — mixed DPs (DoC 2025-08-07; Crediful 2025-10-22),Yes — pulls (EWS co-owner; DoC ×5 DPs),Mixed (8 yes / 23 no in-branch),UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-628472; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1518872,"EWS-SENSITIVE: in-branch denial letter citing EWS (Jay 2018-08-10 #628472); Gadget 2022-12-26: 'other than PNC, not many EWS-sensitive banks'. EWS inquiry + reports ACH incl. balance (2026-05-22). Chex sens page: denied 30+/3yr. CONFIRMS project-log 'PNC = EWS-not-Chex' for practical purposes; EWS is the binding constraint."
American Express,6,Yes — consumer checking (Crediful 2025-10-21; DP 2026-04-14); biz checking N/M,Yes — pulls + reports (DoC list; DP 2026-05-22),Yes (consumer checking; HYS savings does NOT pull),UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1840412,"D3 EWS list: Does pull. 2026-05-22: Amex inquiry + Amex Checking reports. Gadget 2024-05-05: personal checking reports to EWS, no inquiry seen (existing CC holder). CONFIRMS existing cells."
Capital One,7,No — consumer 360 (Crediful 2025-10-18; DoC mixed 9/9),Yes — pulls + reports (EWS co-owner; denial DP 2025-08-15),Mixed (360: 9 yes / 9 no — no pull if existing checking),UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,D3 EWS list: Does pull (x3 + 360). 2026-05-22: reports w/ balance info 'at all times'. CONFIRMS existing cells.
Citi (Citibank),8,Yes — but approves with FROZEN Chex (DoC 2025-08-07 31 DPs; freeze-OK DPs 2026-04-14 + 2026-06-04),Yes — pulls (DoC ×3; DP 2026-05-22),Yes (31 DPs; approves with FROZEN Chex),UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"EWS inquiry incl. Citi Retail + reports ACH (2026-05-22). Chex sens page: declined 9-10/4mo, approved 23/7mo — mildly sensitive. CONFIRMS existing cell."
BMO Bank,9,"Yes — pulls (DoC 2025-08-07, 18+ DPs; Crediful 2025-10-22); historically NOT inquiry-sensitive",N/M (not on DoC EWS list),Yes (18+ DPs; NOT inquiry-sensitive),"Yes (biz reported to business Chex — comment #1840439, 2024-05-05)",UNKNOWN,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418,UPGRADE vs existing EWS=N/M: BMO reports ACH to EWS (Dealgamer 2026-05-22) and is on Gadget 2022-11-20 EWS-reporter list (as BMO Harris/Harris Trust); D5 appendix: 'EWS in addition to Chex'. No EWS-inquiry DP. Chex sens page: NOT sensitive (approved 13+).
California Bank & Trust,10,"Yes — pulls (Zions charter-wide Deposit Agreement names ChexSystems, file 2024-02-08; Crediful-Zions 2025-10-08)",N/M screening — but FURNISHES to EWS (Zions disclosure: 'may report... to ChexSystems or Early Warning Services'),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,No new DPs found; existing Zions-disclosure cell stands.
America First Credit Union,11,N/M,N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,COMMUNITY-DP (secondary site),2025-10-21,https://www.crediful.com/chexsystems/america-first-credit-union/,"NEW vs N/M: Crediful (updated 2025-10-21): 'America First Credit Union does use ChexSystems when reviewing new account applications.' (Utah-HQ AFCU, americafirst.com — lends in CA.)"
Los Angeles Federal Credit Union (LAFCU),12,"Yes — pulls + hard credit pull (own membership page verbatim, 2026-06-09); 2nd-chance if Chex balances paid",N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing VERIFIED cell (own membership page) stands.
San Diego County Credit Union (SDCCU),13,"Yes — uses/furnishes (own FAQ 'bad credit or ChexSystems list... visit a branch' + hosts Chex dispute form, 2026-06-09)",N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing cell stands; EWS searched 2026-06-10 — no data.
