CERT,Institution,HQ_City,HQ_State,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_Branches_6cty,Deposits_6cty_$K,Counties,Priority,v5_status,Match_note,Source_link
628,"JPMorgan Chase Bank, National Association",Columbus,OH,Yes,244,37,43,90,20,83,517,175435943,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: JPMorgan Chase Bank, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
3510,"Bank of America, National Association",Charlotte,NC,Yes,200,28,37,76,18,57,416,149328122,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: Bank of America, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
3511,"Wells Fargo Bank, National Association",Sioux Falls,SD,Yes,182,30,40,75,23,73,423,127080632,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: Wells Fargo Bank, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
17281,City National Bank,Los Angeles,CA,No,30,1,1,5,2,4,43,54116891,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: City National Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
6548,U.S. Bank National Association,Cincinnati,OH,Yes,129,34,38,66,13,70,350,47884001,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: U.S. Bank National Association,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
7213,"Citibank, National Association",Sioux Falls,SD,Yes,98,7,9,27,7,16,164,41420000,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: Citibank, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
31628,East West Bank,Pasadena,CA,No,37,3,0,5,0,1,46,38825200,Los Angeles; San Bernardino; Orange; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: East West Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
24045,Banc of California,Los Angeles,CA,No,27,5,6,13,4,15,70,20732236,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Banc of California,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
35546,Axos Bank,San Diego,CA,No,0,0,0,0,0,1,1,19216254,San Diego,OUTLIER,IN_V5,Name match in v5 list: Axos Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
16571,BMO Bank National Association,Chicago,IL,Yes,44,3,1,18,2,5,73,13059759,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: BMO Bank National Association,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
