Name,Type,City,State,Assets,Deposits,ibanknet_URL,v5_status,Match_note,Regulator,Source_note,Retrieval_date
CITY NATIONAL BANK,Bank,Los Angeles,CA,99947369,81067113,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_63069,IN_V5,exact: City National Bank,OCC,,2026-06-10
EAST WEST BANK,Bank,Pasadena,CA,82474471,69086073,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_197478,IN_V5,exact: East West Bank,FED,,2026-06-10
SCHOOLSFIRST FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,36737429,31586618,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_937898,IN_V5,exact: SchoolsFirst Federal Credit Union,NCUA,,2026-06-10
BANC OF CALIFORNIA,Bank,Los Angeles,CA,34642892,27440681,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_494261,IN_V5,exact: Banc of California,FED,,2026-06-10
FIRST TECHNOLOGY FEDERAL CREDIT UNION,Credit Union,San Jose,CA,28579914,24592589,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_483386,IN_V5,"Same institution as v5 ""First Tech Federal Credit Union"" (legal name First Technology FCU)",NCUA,,2026-06-10
AXOS BANK,Savings Institution (Federal Savings Bank),San Diego,CA,28237712,22684696,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2917317,IN_V5,exact: Axos Bank,OCC,,2026-06-10
CATHAY BANK,Bank,El Monte,CA,24035136,20697975,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_595869,IN_V5,exact: Cathay Bank,FDIC,,2026-06-10
THE GOLDEN 1 CREDIT UNION,Credit Union,Sacramento,CA,21737187,19512114,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_959395,IN_V5,exact: Golden 1 Credit Union,NCUA,,2026-06-10
MECHANICS BANK,Bank,Walnut Creek,CA,21403986,18251541,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_936462,IN_V5,exact: Mechanics Bank,FDIC,,2026-06-10
BANK OF HOPE,Bank,Los Angeles,CA,18652384,15771705,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_671464,IN_V5,exact: Bank of Hope,FDIC,,2026-06-10
"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",Bank,Ontario,CA,15511016,12002449,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_933966,IN_V5,core match: Citizens Business Bank,OCC,,2026-06-10
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",Bank,San Francisco,CA,15126000,12639000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1443266,IN_V5,"core match: Bank of America California, N.A.",OCC,,2026-06-10
FARMERS AND MERCHANTS BANK OF LONG BEACH,Bank,Long Beach,CA,11856598,8938167,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_871769,IN_V5,exact: Farmers and Merchants Bank of Long Beach,FED,,2026-06-10
FIRST FOUNDATION BANK,Bank,Irvine,CA,11343543,8783466,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3637685,IN_V5,exact: First Foundation Bank,FDIC,,2026-06-10
REDWOOD CREDIT UNION,Credit Union,Santa Rosa,CA,9946470,8560969,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_238791,IN_V5,exact: Redwood Credit Union,NCUA,,2026-06-10
TRI COUNTIES BANK,Bank,Chico,CA,9946447,8408678,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_100562,IN_V5,exact: Tri Counties Bank,FDIC,,2026-06-10
LOGIX FEDERAL CREDIT UNION,Credit Union,Valencia,CA,9716130,8192822,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_284378,IN_V5,exact: Logix Federal Credit Union,NCUA,,2026-06-10
PATELCO CREDIT UNION,Credit Union,Dublin,CA,9617000,8288036,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_461496,IN_V5,exact: Patelco Credit Union,NCUA,,2026-06-10
STAR ONE CREDIT UNION,Credit Union,Sunnyvale,CA,9584478,8244608,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_472988,IN_V5,exact: Star One Credit Union,NCUA,,2026-06-10
SAN DIEGO COUNTY CREDIT UNION,Credit Union,San Diego,CA,9382858,7569256,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_301190,IN_V5,exact: San Diego County Credit Union (SDCCU),NCUA,,2026-06-10
"FIRST AMERICAN TRUST, FSB",Savings Institution (Federal Savings Bank),Santa Ana,CA,8323217,7801359,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1883321,IN_V5,"exact: First American Trust, FSB",OCC,,2026-06-10
POPPY BANK,Bank,Santa Rosa,CA,7796215,6015080,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3232204,IN_V5,exact: Poppy Bank,FDIC,,2026-06-10
HANMI BANK,Bank,Los Angeles,CA,7789627,6801918,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_657365,IN_V5,exact: Hanmi Bank,FDIC,,2026-06-10
SMBC MANUBANK,Bank,Los Angeles,CA,7728868,6731415,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_930965,IN_V5,exact: SMBC MANUBANK,FDIC,,2026-06-10
PREFERRED BANK,Bank,Los Angeles,CA,7655086,6432233,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1918344,IN_V5,exact: Preferred Bank,FDIC,,2026-06-10
MISSION FEDERAL CREDIT UNION,Credit Union,San Diego,CA,7232363,6318213,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_133186,IN_V5,exact: Mission Federal Credit Union (Mission Fed),NCUA,,2026-06-10
WESCOM CENTRAL CREDIT UNION,Credit Union,Pasadena,CA,6472794,4397749,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_344692,IN_V5,core match: WESCOM CENTRAL,NCUA,,2026-06-10
KINECTA FEDERAL CREDIT UNION,Credit Union,Manhattan Beach,CA,6443715,5720278,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_277473,IN_V5,exact: Kinecta Federal Credit Union,NCUA,,2026-06-10
RIVER CITY BANK,Bank,Sacramento,CA,6047747,5386542,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_253468,IN_V5,exact: River City Bank,FDIC,,2026-06-10
FREMONT BANK,Bank,Fremont,CA,5915963,5269655,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_739560,IN_V5,exact: Fremont Bank,FDIC,,2026-06-10
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Bank,Lodi,CA,5836466,5120775,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_808260,IN_V5,exact: Farmers & Merchants Bank of Central California,FDIC,,2026-06-10
WESTAMERICA BANK,Bank,San Rafael,CA,5827278,4788155,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_697763,IN_V5,exact: Westamerica Bank,FED,,2026-06-10
TRAVIS CREDIT UNION,Credit Union,Vacaville,CA,5687904,4734336,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_212586,IN_V5,exact: Travis Credit Union,NCUA,,2026-06-10
