Charter#,Credit_Union,HQ_City,HQ_State,Assets_$,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_6cty,Counties,Priority,v5_status,Match_note,Source_link
5536,NAVY FEDERAL CREDIT UNION,Vienna,VA,203558954708,Y,4,5,6,4,3,27,49,LA+SB+Riv+OC+Ventura+SD,PRIORITY-4CTY,IN_V5,charter match: NAVY FEDERAL CREDIT UNION,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24212,SCHOOLSFIRST,Santa Ana,CA,36737428874,,21,7,9,26,1,2,66,LA+SB+Riv+OC+Ventura+SD,PRIORITY-4CTY,IN_V5,charter match: SCHOOLSFIRST,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
23521,FIRST TECHNOLOGY,San Jose,CA,28579913967,,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24694,AMERICA FIRST,Riverdale,UT,24729579208,Y,0,1,0,0,0,0,1,SB,PRIORITY-4CTY,IN_V5,charter match: AMERICA FIRST,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
61650,THE GOLDEN 1,Sacramento,CA,21737187207,,0,1,0,0,0,0,1,SB,PRIORITY-4CTY,IN_V5,charter match: THE GOLDEN 1,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
5913,GLOBAL,Anchorage,AK,12863315758,Y,0,6,0,0,0,0,6,SB,PRIORITY-4CTY,IN_V5,charter match: GLOBAL,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
1999,LOGIX,Valencia,CA,9716129809,,14,0,0,0,5,0,19,LA+Ventura,PRIORITY-4CTY,IN_V5,charter match: LOGIX,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
23957,AMERICAN AIRLINES,Fort Worth,TX,9448440753,Y,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: AMERICAN AIRLINES,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
61004,SAN DIEGO COUNTY,San Diego,CA,9382858048,,0,0,3,5,0,32,40,Riv+OC+SD,PRIORITY-4CTY,IN_V5,charter match: SAN DIEGO COUNTY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
15732,COMMUNITYAMERICA,Lenexa,KS,8983073793,Y,11,0,0,4,2,0,17,LA+OC+Ventura,PRIORITY-4CTY,IN_V5,charter match: COMMUNITYAMERICA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
14384,MISSION,San Diego,CA,7232363156,,0,0,0,0,0,36,36,SD,OUTLIER,POSSIBLE_MATCH,~ L. A. MISSION,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68187,BAXTER,Vernon Hills,IL,6501796742,Y,1,0,0,1,1,0,3,LA+OC+Ventura,PRIORITY-4CTY,IN_V5,charter match: BAXTER,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
66703,WESCOM CENTRAL,Pasadena,CA,6472794298,,12,2,2,9,3,0,28,LA+SB+Riv+OC+Ventura,PRIORITY-4CTY,IN_V5,charter match: WESCOM CENTRAL,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
4142,KINECTA,Manhattan Beach,CA,6443715004,,16,0,0,4,1,0,21,LA+OC+Ventura,PRIORITY-4CTY,IN_V5,charter match: KINECTA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24326,CHEVRON,Concord,CA,5440106627,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: CHEVRON,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24980,CALIFORNIA,Glendale,CA,5413638046,,13,0,0,1,0,12,26,LA+OC+SD,PRIORITY-4CTY,IN_V5,charter match: CALIFORNIA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24983,"CREDIT UNION OF SOUTHERN CA, A",Anaheim,CA,3942853719,,15,3,1,7,0,0,26,LA+SB+Riv+OC,PRIORITY-4CTY,IN_V5,"charter match: CREDIT UNION OF SOUTHERN CA, A",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
