CERT,Institution,Branches(4cty),"Deposits($K,4cty)",Counties,HQ-local,Status,Note,In main table? (v5)
34775,"EverBank, National Association",7,570430,Los +Oran+San ,N,GAP — never evaluated,→ screening queue,"✓ covered — EverBank, N.A."
24387,"Industrial and Commercial Bank of China USA, National Association",5,433614,Los ,N,GAP — never evaluated,→ screening queue,"✓ covered — ICBC USA, N.A."
57890,"HSBC Bank USA, National Association",3,9911674,Los +Oran,N,GAP — never evaluated,→ queue. NOTE: HSBC exited US mass-retail 2021; commercial/premier focus — verify biz-card channel,✓ covered — HSBC Bank USA
34656,American First National Bank,3,419284,Los ,N,GAP — never evaluated,→ screening queue,✓ covered — American First National Bank
26223,"Golden Bank, National Association",3,369290,Los +Oran,N,GAP — never evaluated,→ screening queue,"✓ covered — Golden Bank, N.A."
19977,Israel Discount Bank of New York,2,840384,Los ,N,GAP — never evaluated,→ screening queue,✓ covered — Israel Discount Bank of New York (IDB)
25093,Habib American Bank,2,612187,Los ,N,GAP — never evaluated,→ screening queue,✓ covered — Habib American Bank (HAB)
23966,OneUnited Bank,2,476360,Los ,N,GAP — never evaluated,→ screening queue,✓ covered — OneUnited Bank
34319,Southwestern National Bank,2,140273,Los +Oran,N,GAP — never evaluated,→ screening queue,✓ covered — Southwestern National Bank
34998,First IC Bank,1,31528,Los ,N,GAP — never evaluated,→ screening queue,✓ covered — First IC Bank
2270,"Zions Bancorporation, N.A.",39,8677803,Los +Oran+Rive+San ,N,ALIAS — covered,= California Bank & Trust (CB&T branches report under the Zions Bancorporation N.A. charter),✓ covered — California Bank & Trust (Zions division)
4767,"Sunflower Bank, National Association",1,127386,Los ,N,ALIAS — covered,= First Foundation Bank's new charter (merger 2026-04-01),"✓ covered — Sunflower Bank, N.A."
913,The Northern Trust Company,3,1137498,Los +Oran,N,NON-TARGET,Custody/wealth trust bank — no retail biz cards,✓ covered — The Northern Trust Company
34069,"Wilmington Trust, National Association",3,0,Los +Oran,N,NON-TARGET,Trust company — no retail biz cards,"✓ covered — Wilmington Trust, N.A."
7946,"BNY Mellon, National Association",2,0,Los +Oran,N,NON-TARGET,Trust company,"✓ covered — BNY Mellon, N.A."
