CU#,Credit Union,Assets($),Branches(4cty),Counties,Status,Note,In main table? (v5)
24694,AMERICA FIRST,24729579208,1,San ,GAP — never evaluated,⭐ SCREEN FIRST: $24.7B; major business-card CU (UT) — top screen,✓ covered — America First Credit Union
15732,COMMUNITYAMERICA,8983073793,15,Los +Oran,GAP — never evaluated,⭐ SCREEN FIRST: ex-UNIFY 15 LA/OC branches; has biz banking,✓ covered — CommunityAmerica Credit Union (ex-UNIFY)
24877,FIREFIGHTERS FIRST,2470349300,6,Los +Oran+Rive+San ,GAP — never evaluated,"⭐ SCREEN FIRST: 6 br, all 4 counties; fire-family biz services",✓ covered — Firefighters First Credit Union
24802,SELF-HELP,2405735320,2,Los ,GAP — never evaluated,⭐ SCREEN FIRST: CDFI business lender,✓ covered — Self-Help Federal Credit Union
97068,CHRISTIAN COMMUNITY,1443573352,2,Los +Oran,GAP — never evaluated,⭐ SCREEN FIRST: San Dimas; biz lending (Chex-puller per DoC),✓ covered — Christian Community Credit Union (AdelFi)
68485,AMERICAN FIRST,1310342468,5,Oran+Rive,GAP — never evaluated,⭐ SCREEN FIRST: Brea; OC+Riverside,✓ covered — American First National Bank
9230,CERTIFIED,919973315,10,Los +Oran+San ,GAP — never evaluated,⭐ SCREEN FIRST: 10 branches,— not in main table
24875,THE FIRST FINANCIAL,746455820,8,Los +San ,GAP — never evaluated,⭐ SCREEN FIRST: 8 branches LA+SB,— not in main table
8187,AMERICAN UNITED,394236316,3,Rive,GAP — never evaluated,⭐ SCREEN FIRST: Riverside x3,✓ covered — American United Federal Credit Union
68483,MATADORS COMMUNITY,359947577,1,Los ,GAP — never evaluated,⭐ SCREEN FIRST: CSUN-area,— not in main table
11870,DOWNEY,331199402,3,Los ,GAP — never evaluated,⭐ SCREEN FIRST: 3 br LA,— not in main table
60024,PRIORITY ONE,205736783,3,Los ,GAP — never evaluated,⭐ SCREEN FIRST: 3 br LA,— not in main table
23957,AMERICAN AIRLINES,9448440753,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,✓ covered — American Airlines Credit Union
68187,BAXTER,6501796742,2,Los +Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,✓ covered — Baxter Credit Union (BCU)
24326,CHEVRON,5440106627,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
62715,TOGETHER,2722399325,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,✓ covered — Together Credit Union
6681,CALTECH EMPLOYEES,2176332001,4,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24808,SKYLA,1656044095,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24292,NORTHROP GRUMMAN,1653497637,8,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24235,OPERATING ENGINEERS LOCAL UNION #3,1650775391,2,Los +Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
17623,HONDA,1204192574,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
64171,UNIVERSITY,1187569456,3,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,✓ covered — University Credit Union (LA)
151,JUSTICE,1158996534,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
