Rec Rank,Rec Pick #,Bank,Type,SoCal Priority,Meets Gold?,ChexSystems (deposit),EWS (deposit),Mentor List,Card Category,Est. Credit Limit,Assets,Deposits,CA Footprint,CA Presence,Self-UW?,Business Card?,Underwriter,Apply,How to Apply,Website,Biz Card Link,HP Bureau,Reports To (biz bureaus),Approval Info & Limits (+link),No-Doc Fit (/5),PG / Tax Returns,Other No-Doc Funding,Deposit Acct?,Best For,Card Products,Region / Metro,City (HQ),Asset Rank,Confidence / Date,Sources
1,1,Chase (JPMorgan Chase),National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,No — does not pull (DoC list 2025-08-07; Chex-report DP 2026-04-14; biz also no-pull ×4),Yes — pulls + reports (EWS co-owner; DPs 2026-05-22),,A — Self-UW (online),$5K–$36K (2mo biz→$5K; $500K rev→$16K)  [myFICO #6803261],~$4.9T (largest US bank),~$2.7T,National; extensive CA retail + business presence,Major CA (branches + lending),Yes,"✅ Ink Cash/Unlimited: 0% 12 mo, $0 AF; Ink Preferred $95; Ink Premier $195",Self (JPMorgan Chase Bank NA),Online,Online — apply at https://creditcards.chase.com/business-credit-cards/ink/cash,https://creditcards.chase.com/business-credit-cards,https://creditcards.chase.com/business-credit-cards/ink/cash,Experian-lean (CA mixed EX/EQ; verify) ‖ v7 2026-06-11: bureau verdict [COMMUNITY-DP (large n; mostly consumer)] vs mentor '(2nd priority)' = n/a. DoC state chart - California: Experian 44 (EX+TU 1) / TransUnion 1 / Equifax 11 + occasional multi-bureau. WalletHub: Chase biz cards mainly Experian per CS. Strong: expect EX in CA. (DPs aggregated through 2025). Action: use as-is (EX in CA),"Personal: only on default (Ink doesn't ADD to 5/24). Business: per-product, conflicting -> N/M","5/24 GATE: 5+ new personal cards/24mo = denied; but Ink doesn't add to the count. 'Ink train': ~1 Ink per 90 days (wait 4-6mo); 4 open Inks -> ~0% odds. Limits $5K-$36K; 2mo-old biz->$5K, $500K rev->$16K. myfico.com #6803261 / #6823313",3,PG yes; NO tax returns (cards),"Chase Business Line of Credit (existing customers; data-only path ~$100K+ rev, FICO 660+)",No (Business LOC path needs Chase deposit acct),★ The 'Ink train' — stack multiple Inks,"Ink Business Cash, Ink Business Unlimited, Ink Business Preferred ($95), Ink Business Premier ($195)",National — branches + biz banking statewide in CA,"New York, NY",Natl,HIGH self/lineup/terms/5-24/Ink-train/personal-default-only; N/M per-product business reporting. 2026-05-28,"creditcards.chase.com/business-credit-cards/ink; doctorofcredit.com (5/24, Chase pull); thepointsguy.com; myfico.com #6803261 ‖ v7 2026-06-11: bureau: https://www.doctorofcredit.com/knowledge-base/which-credit-bureau-does-chase-pull/ | https://wallethub.com/answers/cc/do-chase-business-credit-cards-pull-from-experian-2140861112/"
2,2,Bank of America,National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,"No — does not pull (DoC 2025-08-07, 9 DPs; comment 2026-03-06)",Yes — pulls (EWS co-owner; DoC ×4 DPs),,A — Self-UW (online),$8K–$16K typ.; up to $39.5K instant  [myFICO #6510094],"~$3.41T ‖ v7 2026-06-11: $2.67T (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:3510)","v7 2026-06-11: $2.13T (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:3510)","~1,065 CA financial centers (most of any state)",Major CA (branches + lending),Yes,"✅ Business Advantage Cash/Travel: 0% 7-9 cyc, $0 AF; + secured",Self (Bank of America NA),Online,Online — apply at https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,https://business.bankofamerica.com/en/credit-cards,https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,Experian-dominant in CA (DoC CA: 15 EX / 6 TU / 4 EQ) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROXY] vs mentor '(2nd priority)' = n/a. DoC issuer list: normally Experian; sometimes TU or EQ. (DPs aggregated through 2025). Action: expect EX; confirm at application,Personal: only on serious delinquency. Business: SBFE (D&B indirect),"7/12 rule (personal); BUSINESS cards largely EXEMPT + don't add to personal 5/24 -> known workaround. Limits $8-16K typical, up to $39.5K instant. Existing BofA/Merrill relationship is the big lever. Preferred Rewards for Business +25/50/75% rewards. CLI request = hard pull. myfico.com #6510094 / #6816689",3,PG yes (SSN); NO tax returns for cards (large/recon requests may ask 2yr returns),"Unsecured Business LOC (2yr, $100K rev — full-doc, NOT no-doc); Cash-Secured LOC easier",No (unsecured),★ No-doc 0% card — apply online,"Business Advantage Customized Cash Rewards, Unlimited Cash Rewards, Travel Rewards, + Secured",National — LARGEST CA branch network,"Charlotte, NC",Natl,HIGH self/lineup/SBFE/personal-default-only/CA-footprint/7-12-exempt; MED exact 0% length (7 vs 9). 2026-05-28,"business.bankofamerica.com cards; doctorofcredit.com (BofA pull CA, 7/12); wallethub.com; myfico.com #6510094 ‖ v7 2026-06-11: bureau: https://www.doctorofcredit.com/credit-bureaus/which-credit-bureau-does-each-card-issuer-pull/"
3,3,Wells Fargo,National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,"No — mostly (DoC 'mixed' 34-no vs 1-yes, 2025-08-07; DP 2026-04-14)","Yes — pulls (EWS co-owner; BIZ app hits owner's EWS, DP 2019-01-12)",,A — Self-UW (online),Signify $15K–$60K ($2.5K min guaranteed)  [myFICO #6773132],"~$2.21T ‖ v7 2026-06-11: $1.85T (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:3511)","v7 2026-06-11: $1.52T (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:3511)",HQ San Francisco; extensive statewide CA branches,Major CA (branches + lending),Yes,"✅ Signify Business Cash: 0% 12 mo, $0 AF, 2% (ONLY card open to new apps)",Self (Wells Fargo Bank NA),Online,Online — apply at https://www.wellsfargo.com/biz/business-credit/credit-cards/signify-business-cash-credit-card-terms-conditions/,https://www.wellsfargo.com/biz/business-credit/credit-cards/,https://www.wellsfargo.com/biz/business-credit/credit-cards/signify-business-cash-credit-card-terms-conditions/,CA = Experian-dominant (DoC CA: 9 EX / 2 TU / 1 EQ) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROXY] vs mentor '(2nd priority)' = n/a. DoC issuer list: depends on state - normally Experian or TransUnion; no CA biz-specific DP found. (DPs aggregated through 2025). Action: expect EX or TU; confirm at application,Personal: NEVER (does not report to consumer bureaus). Business: SBFE,"1/6 rule (loosely enforced w/ relationship); biz cards separate track, don't count to 5/24. Signify limits $15K-$60K ($2,500 min guaranteed). Online path favors existing WF customers (~60-day acct DP). myfico.com #6773132 / #6756650",4,PG yes (Account Guarantor); NO tax returns (cards),BusinessLine LOC (Prime+1.75-9.75%; usually 2yr returns — not no-doc by default),"No (WF account optional, for overdraft)",★ Never reports to personal (CA-HQ),Signify Business Cash (OPEN); Business Elite Signature + Business Platinum (CLOSED to new apps),National — HQ in CA; huge CA branch network,"San Francisco, CA",Natl,HIGH self/Signify-terms/SBFE/personal-NEVER/CA-HQ; MED only-Signify-open. 2026-05-28,"wellsfargo.com Signify T&C + agreement (SBFE, PG); doctorofcredit.com (WF pull CA); myfico.com #6773132 ‖ v7 2026-06-11: bureau: https://www.doctorofcredit.com/credit-bureaus/which-credit-bureau-does-each-card-issuer-pull/"
4,4,U.S. Bank (direct),National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,"Yes — pulls, incl. business (Chex-report DP 2025-05/2026-05-08; biz DP 2025-10-17, not sensitive)",Yes — pulls (EWS co-owner; 'US Bank & Elan' inquiries DP 2026-05-22),,A — Self-UW (online),$3K–$10K typ.; $20K–$35K strong/long-relationship  [myFICO #6845780],"~$695B (5th-largest US bank) ‖ v7 2026-06-11: $683.38B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:6548)","v7 2026-06-11: $539.84B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:6548)",National; large West/CA branch network,Major CA (branches + lending),Yes,"✅ Triple Cash: 0% 12 cyc, $0 AF, 3% cats; Business Shield/Platinum: 0% UP TO 18 cyc (in-branch) / 12 (online)",Self (U.S. Bank NA),Online,Online — apply at https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,https://www.usbank.com/business-banking/business-credit-cards.html,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,TransUnion-dominant (varies by state) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROXY] vs mentor '(2nd priority)' = n/a. DoC issuer list: depends on state - TransUnion most common. (USB owns Elan.) (DPs aggregated through 2025). Action: expect TU; confirm at application,Personal: NEVER in good standing. Business: D&B + SBFE only (NOT Experian-Biz/Equifax-Biz),"DISTINCT from Elan (US Bank's agent arm) — counted as SEPARATE issuers (one applicant: US Bank-direct $20K + Elan SouthState $15K same profile). Limits $3-10K typical, $20-35K strong/long-relationship. Soft-pull CLIs reported. myfico.com #6845780 / #6608888",4,PG yes; NO tax returns (cards),Cash Flow Manager LOC <=$250K (may request returns — not truly no-doc) ‖ v6 2026-06-10: GOLD INTEL VERIFIED usbank.com 2026-06-10: Cash Flow Manager lines UNDER $50K — “financial statements are not normally required”; >$50K = last FY tax return; decision up to $250K; $150/yr fee ≤$50K ($0 above); PG required; online or branch → apply at $49K to stay in the no-financials tier,No,★ 0% up to 18 cyc + never reports personal,"Triple Cash Rewards, Business Leverage ($95), Business Altitude Connect/Power, Business Platinum/Shield",National — branches + biz banking in CA,"Minneapolis, MN",Natl,HIGH self/disclosures/terms/D&B+SBFE/personal-NEVER; MED HP-map. DISTINCT from Elan agent program. 2026-05-28 ‖ v6 2026-06-10: v6 2026-06-10: Cash Flow Manager <$50K no-financials tier VERIFIED on bank site,usbank.com business cards (creditor disclosures) + KB0096233 (D&B+SBFE); ir.usbank.com (18-cyc); myfico.com #6845780 ‖ v6 2026-06-10: usbank.com/business-banking/business-lending/business-lines-of-credit/cash-flow-manager.html + KB0209629 (VERIFIED 2026-06-10) ‖ v7 2026-06-11: bureau: https://www.doctorofcredit.com/credit-bureaus/which-credit-bureau-does-each-card-issuer-pull/
5,5,PNC Bank,National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,Yes — mixed DPs (DoC 2025-08-07; Crediful 2025-10-22),Yes — pulls (EWS co-owner; DoC ×5 DPs),EXP #1 (mentor ✓ matches our EX-cards data),A — Self-UW (online),"BusinessOptions/LOC $25K–$100K (soft-pull, no tax returns)  [myFICO #6589727]","~$574B ‖ v7 2026-06-11: $567.95B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:6384)","v7 2026-06-11: $441.51B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:6384)","~2,200 branches / 27 states; CA via BBVA USA western branches",Major CA (branches + lending),Yes,"✅ Visa Business 0% 13 cyc (best intro); BusinessOptions = SOFT-PULL, up to $250K",Self (PNC Bank NA),Online,Online — apply at https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-businessoptions-visa-signature-credit-card.html,https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html,https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-businessoptions-visa-signature-credit-card.html,"Hard-pull cards: Experian. BusinessOptions: SOFT pull, Equifax (NO hard inquiry!) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROXY] vs mentor 'Experian' = AGREES-WEAKLY. WalletHub: cards mainly Experian (anecdotal); CreditSuite/DoC: biz card = hard pull on personal but no personal reporting; bureau mix EX-leaning for cards vs EQ for deposit products. No CA-specific biz DP found. (DPs 2023-2025 (aggregate)). Action: ask banker; expect soft-EQ first then possible EX hard",Personal: never (normal use). Business: D&B + Experian-Biz + Equifax-Biz + SBFE,"STANDOUT no-doc combo: BusinessOptions card + Small Business LOC = SOFT pull, NO tax returns up to $100K, no personal reporting. Approvals $25K-$100K. SOFT-PULL CLIs every ~6mo (grown to $52.5K). (BusinessOptions card itself is phone-apply.) myfico.com #6589727 / #6509179",4,PG yes; NO tax returns on the no-doc path,"PNC Small Business LOC: SOFT pull, no financials up to $100K, ~10% of gross-revenue sizing — strong no-doc",No (cards); functionally helps BusinessOptions/LOC,★ Soft-pull no-doc LOC to $100K — SoCal branches (BBVA legacy); mentor EXP #1,"Visa Business (0% 13cyc), Cash Rewards Visa Signature, points Visa, BusinessOptions Visa Signature (<=$250K)",National — CA presence via 2021 BBVA acquisition (thinner),"Pittsburgh, PA",Natl,HIGH self/lineup/SOFT-pull-BusinessOptions/no-doc-LOC/soft-CLI/business-bureaus; MED CA branch density. 2026-05-28,pnc.com business credit cards + rate PDFs; myfico.com #6589727 / #6509179 (soft-pull no-doc); creditsuite.com ‖ v7 2026-06-11: bureau: https://wallethub.com/answers/cc/what-credit-bureau-does-pnc-bank-pull-from-1000625-2140778226/ | https://www.creditsuite.com/blog/does-pnc-business-credit-card-report-to-personal-credit/ | https://ficoforums.myfico.com/t5/Business-Credit/PNC-119K-in-Approvals/td-p/6509179
6,6,American Express,National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,Yes — consumer checking (Crediful 2025-10-21; DP 2026-04-14); biz checking N/M,Yes — pulls + reports (DoC list; DP 2026-05-22),,A — Self-UW (online),$6K–$20K (Blue Business); charge NPSL $10K–$250K  [myFICO #6507116],"~$300B (Amex Co.) ‖ v7 2026-06-11: $217.57B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:27471)","v7 2026-06-11: $173.98B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:27471)",National online issuer; no branch needed,"Online to CA (pure card issuer, no branch needed)",Yes,"✅ Blue Business Plus/Cash: 0% 12 mo, $0 AF, 2x/2%; Business Platinum/Gold = charge (No Preset Limit)",Self (American Express NB),Online,Online — apply at https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,Experian (~90% of apps; rare TU/EQ) ‖ v7 2026-06-11: bureau verdict [COMMUNITY-DP] vs mentor '(2nd priority)' = n/a. DoC issuer list: Amex pulls Experian (rare TU exceptions). Applies to biz cards; Amex famously soft-pulls existing customers. (DPs aggregated through 2025). Action: use as-is (EX),Personal: only on default (60+ days). Business: weak — SBFE/derogatory; positive D&B/EX-Biz NOT reliable,"VELOCITY: 1-in-5-days, 2-in-90 (CHARGE cards EXEMPT), 5-credit-card limit (charge cards don't count) -> stack charge cards. Blue Business limits ~$6-20K (750 FICO->$3K, ~3x grows in ~3mo). Business Platinum NPSL spend-power $10K-$250K by profile. myfico.com #6507116 / #4995093",3,PG yes; NO tax returns (cards). Business LOC verifies via bank-link (no returns),"Amex Business Line of Credit $2K-$250K — doc-free via bank-account link (FICO 660+, 12mo, $3K/mo rev) ‖ v6 2026-06-10: re-verified on issuer site 2026-06-10: Business Blueprint BLOC $2K–$250K, real-time bank-account-link underwriting — NO tax returns/financial statements for most line sizes (>$150K needs existing Amex relationship); 660+ FICO, 12 mo TIB, ~$3K/mo rev; monthly-fee pricing (costlier than bank LOC)",No,★ Highest limits + charge-card velocity,"Business Platinum, Business Gold, Business Green (charge/NPSL); Blue Business Plus, Blue Business Cash (credit)",National — issues/lends in CA,"New York, NY (issuing bank: Salt Lake City, UT)",Natl,HIGH self/lineup/velocity/HP=Experian/personal-default-only; MED business-bureau (weak positive). 2026-05-28,americanexpress.com business cards + Blueprint BLOC; doctorofcredit.com; FDIC cert 27471; myfico.com #6507116 ‖ v6 2026-06-10: americanexpress.com/en-us/business/blueprint/business-line-of-credit/ + help-center applying FAQ (VERIFIED 2026-06-10) ‖ v7 2026-06-11: bureau: https://www.doctorofcredit.com/credit-bureaus/which-credit-bureau-does-each-card-issuer-pull/
7,7,Capital One,National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,No — consumer 360 (Crediful 2025-10-18; DoC mixed 9/9),Yes — pulls + reports (EWS co-owner; denial DP 2025-08-15),,A — Self-UW (online),$5K–$15K new; $20K–$50K est.; $75K–$100K+ strong  [myFICO #5427942],"~$669B (post-Discover) ‖ v7 2026-06-11: $672.01B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:4297)","v7 2026-06-11: $520.79B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:4297)",National card issuer; ~7-state branches (NOT CA); lends nationwide,"Online to CA (pure card issuer, no branch needed)",Yes,"⚠️ Spark Cash Plus (charge, 2%); Spark Cash (2%, $95); Spark Cash Select (1.5%, $0). NO 0% on main cards. REPORTS TO PERSONAL CREDIT",Self (Capital One NA / Bank USA NA),Online,Online — apply at https://www.capitalone.com/small-business/credit-cards/spark-cash-plus/,https://www.capitalone.com/small-business/credit-cards/,https://www.capitalone.com/small-business/credit-cards/spark-cash-plus/,ALL THREE bureaus (EX + EQ + TU triple pull),"Personal: YES, ALWAYS (Spark Cash/Select report ongoing balances) — EXCEPT Spark Cash Plus / Venture X (default-only). Business: weak/none","VELOCITY: 1 Capital One card per 6 MONTHS (all personal + biz combined; else auto-deny, no HP). Soft-pull pre-qual available. Limits $5-15K new, $20-50K established, $75-100K+ strong. CLI usually SOFT pull. myfico.com #5427942 / #6822160",1,PG yes; NO tax returns (stated revenue),None separate (Spark cards ARE the no-doc vehicle — but they report to personal credit),No,★ AVOID for no-doc — reports to personal,"Spark Cash Plus (charge), Spark Cash, Spark Cash Select, Spark Classic; Spark Miles -> now Venture Business",National — issues in CA (no CA branches),"McLean, VA (bank: Glen Allen, VA)",Natl,"HIGH self/triple-pull/REPORTS-TO-PERSONAL/6mo-velocity; MED legal entity, biz-bureau. 2026-05-28",capitalone.com/small-business/credit-cards; uscreditcardguide.com (triple pull); ramp.com (personal reporting); doctorofcredit.com (6mo rule)
8,8,Citi (Citibank),National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,Yes — but approves with FROZEN Chex (DoC 2025-08-07 31 DPs; freeze-OK DPs 2026-04-14 + 2026-06-04),Yes — pulls (DoC ×3; DP 2026-05-22),,A — Self-UW (online),$1.5K–$20K (instant $20K seen)  [myFICO #6155387],"~$1.76T (Citibank NA) ‖ v7 2026-06-11: $1.93T (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:7213)","v7 2026-06-11: $1.50T (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:7213)","~270 CA branches / 171 cities (LA, SF, San Diego, Sacramento)",Major CA (branches + lending),Yes,⚠️ One biz card (AAdvantage Business); NO 0% intro; 19.49-28.49%; $99 AF (waived yr1),Self (Citibank NA),Online,Online — apply at https://www.citi.com/credit-cards/citi-aadvantage-business-credit-card,https://www.citi.com/credit-cards/citi-aadvantage-business-credit-card,https://www.citi.com/credit-cards/citi-aadvantage-business-credit-card,Experian-primary (anecdotal TU/EQ),"Personal: no (except default). Business: D&B + Experian-Biz + Equifax-Biz + SBFE, monthly","8/65 rule (1 Citi card/8 days, 2 per 65 days; personal + biz combined). Doesn't count to Chase 5/24; doesn't report to personal. Limits $1.5K-$20K (instant $20K seen). 700+ FICO. myfico.com #6155387 / #6560887",3,PG yes for small biz (Joint & Several); no-PG 'Corporate Liability' only for $5M+ rev / 2yr firms; NO tax returns,None no-doc (SBA/commercial full-doc). The AAdvantage card is the only no-doc-feeling product,No,★ Doesn't report to personal; no 0%,Citi / AAdvantage Business World Elite Mastercard (CitiBusiness ThankYou DISCONTINUED),National — ~270 CA branches,"Sioux Falls, SD (Citibank NA) / NY (Citigroup)",Natl,HIGH self/single-card/no-0%/business-bureaus/8-65; MED no-tax-return inference. 2026-05-28,citi.com AAdvantage business; creditcards.aa.com (corporate guarantee); doctorofcredit.com (8/65); myfico.com #6155387
9,9,BMO Bank,Regional,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,"Yes — pulls (DoC 2025-08-07, 18+ DPs; Crediful 2025-10-22); historically NOT inquiry-sensitive ‖ v6 2026-06-10: biz accounts reported to BUSINESS Chex (separate file; DP 2024-05-05 #1840439); sens page re-confirms NOT sensitive (approved 13+)",N/M (not on DoC EWS list) ‖ v6 2026-06-10: Reports to EWS (no inquiry DP) (DOC-LIST + COMMUNITY-DP; DP 2026-05-22; v6 2026-06-10),TU #3 (mentor ✓ matches our TU),A — Self-UW (online),"Modest: DPs $1,300–$7,500; grows via CLI  [myFICO #6773916]","~$265B (BMO Bank NA) ‖ v7 2026-06-11: $251.96B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:16571)","v7 2026-06-11: $193.96B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:16571)",600+ branches/10 states incl. CA; ~130 new CA branches planned; 15th-largest US bank,Major CA (branches + lending),Yes,"✅ Business Platinum: 0% 18 mo, $0 AF; Business Platinum Rewards: 0% 9mo, tiered 5/4/3/2%",Self (BMO Bank NA; ex-Bank of the West),Online,Online — apply at https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,https://www.bmo.com/en-us/main/business-banking/credit-cards/,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,TransUnion (varies) ‖ v7 2026-06-11: bureau verdict [COMMUNITY-DP] vs mentor 'TransUnion' = AGREES. FairFigure lists BMO biz card as TU-only; myFICO: BMO BLOC approval DP cites TU FICO8 804; multiple consumer DPs TU. (DPs 2022-2024). Action: use as-is (TU),N/M (BMO-specific; likely default-only),"Limits modest (DPs $1,300-$7,500); TransUnion hard pull, no prequal; CLIs over time. myfico.com #6773916",3,PG yes (INFERENCE); no income docs typical,"Business Line of Credit (relationship-underwritten, not no-doc)",N/M,★ 0% 18 mo + large CA footprint,BMO Business Platinum (0% 18mo); BMO Business Platinum Rewards,National — LARGE CA branches (ex-Bank of the West),"Chicago, IL",Reg,"HIGH self/lineup/18mo-0%; MED rewards, HP; N/M reporting. 2026-05-28",bmo.com/en-us/main/business-banking/credit-cards; supermoney.com; hustlermoneyblog.com; en.wikipedia.org/wiki/BMO_Bank; myfico.com #6773916 ‖ v6 2026-06-10: Chex/EWS v6: BMO reports ACH to EWS (Dealgamer 2026-05-22) and is on Gadget 2022-11-20 EWS-reporter list (as BMO Harris/Harris Trust); D5 appendix: 'EWS in addition to Chex'. No EWS-inquiry DP. | https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-w ‖ v7 2026-06-11: bureau: https://fairfigure.com/blog/business-credit-cards-that-pull-transunion | https://ficoforums.myfico.com/t5/Business-Credit/BMO-Business-Line-of-Credit-Approval/td-p/6728350
10,10,California Bank & Trust,Regional,★ Core SoCal,🥇 GOLD (4/4),"Yes — pulls (Zions charter-wide Deposit Agreement names ChexSystems, file 2024-02-08; Crediful-Zions 2025-10-08)",N/M screening — but FURNISHES to EWS (Zions disclosure: 'may report... to ChexSystems or Early Warning Services'),Branch-verify #1 (mentor; our data: online app exists — verify funding step in branch),A — Self-UW (online),Advertised up to $250K (AmaZing Rate min $500),"~$90B (Zions Bancorporation, N.A. — shared charter) ‖ v7 2026-06-11: $87.96B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:2270)","v7 2026-06-11: $76.93B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:2270)",80+ CA branches; California-only (Zions division),N/M,Yes,✅ AmaZing Cash/Rewards/Rate for Business: 0% 6mo; $0 AF (+$25 rewards-program fee); up to $250K limit,"Self (Zions Bancorporation, N.A.)",Online,Online — apply at https://www.calbanktrust.com/business/business-credit-cards/,https://www.calbanktrust.com,https://www.calbanktrust.com/business/business-credit-cards/,Experian (most-cited; varies by state) ‖ v7 2026-06-11: bureau verdict [UNKNOWN] vs mentor 'BRANCH VERIFY' = AGREES (verify at branch). Confirmed: no public bureau DP exists for CB&T (Zions division) cards; old myFICO Zions thread has the question asked but unanswered. (DPs n/a). Action: ask banker (branch verify),N/M (reporting not confirmed),Advertised limits up to $250K; AmaZing Rate min $500. State-gated: CB&T = California only. Member-reported business DPs N/M.,3,PG likely (INFERENCE); no tax-return requirement advertised for cards,Cards = no-income-doc PG-based; Commercial Card separate. No no-doc loan.,N/M,★ No-doc 0% card — apply online,"AmaZing Cash for Business, AmaZing Rewards for Business, AmaZing Rate for Business",SoCal / San Diego (CA-only bank),"San Diego, CA",Reg,"HIGH self (agreement)/products/terms/online/CA-only; MED HP; N/M reporting, PG. Mentor (2026-06): 'branch verify' — expect in-branch verification/funding step despite online app. 2026-05-28/2026-06-09",calbanktrust.com/business/business-credit-cards + agreement PDFs (issuer=Zions); doctorofcredit.com (state gating); en.wikipedia.org/wiki/California_Bank_and_Trust ‖ v7 2026-06-11: bureau: https://ficoforums.myfico.com/t5/Credit-Cards/Anyone-with-experience-Zion-Bancorp/td-p/1835533 | https://www.calbanktrust.com/business/business-credit-cards/
