Sheet,Row_key,CERT_or_Charter,Assets_value,Deposits_value,As_of_date,Source,Match_method,Note
funding_table,Bank of America,CERT 3510,$2.67T,$2.13T,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:3510,name+city,"FDIC $K: ASSET=2,672,192,000 DEP=2,128,004,000 (Bank of America, National Association, Charlotte, NC)"
funding_table,Wells Fargo,CERT 3511,$1.85T,$1.52T,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:3511,CERT,"FDIC $K: ASSET=1,852,239,000 DEP=1,516,982,000 (Wells Fargo Bank, National Association, Sioux Falls, SD)"
funding_table,U.S. Bank (direct),CERT 6548,$683.38B,$539.84B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:6548,"name+city (FDIC legal HQ: Cincinnati, OH)","FDIC $K: ASSET=683,379,960 DEP=539,835,606 (U.S. Bank National Association, Cincinnati, OH)"
funding_table,PNC Bank,CERT 6384,$567.95B,$441.51B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:6384,"name+city (FDIC legal HQ: Wilmington, DE)","FDIC $K: ASSET=567,948,516 DEP=441,507,226 (PNC Bank, National Association, Wilmington, DE)"
funding_table,American Express,CERT 27471,$217.57B,$173.98B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:27471,CERT,"Figures are issuer bank: American Express National Bank (Sandy, UT), CERT 27471; FDIC $K: ASSET=217,568,586 DEP=173,984,176 (American Express National  Bank, Sandy, UT)"
funding_table,Capital One,CERT 4297,$672.01B,$520.79B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:4297,name+city,"FDIC $K: ASSET=672,010,000 DEP=520,795,000 (Capital One, National Association, Mclean, VA)"
funding_table,Citi (Citibank),CERT 7213,$1.93T,$1.50T,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:7213,CERT,"FDIC $K: ASSET=1,933,622,000 DEP=1,501,029,000 (Citibank, National Association, Sioux Falls, SD)"
funding_table,BMO Bank,CERT 16571,$251.96B,$193.96B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:16571,name+city,"FDIC $K: ASSET=251,964,731 DEP=193,961,053 (BMO Bank National Association, Chicago, IL)"
funding_table,California Bank & Trust,CERT 2270,$87.96B,$76.93B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:2270,CERT,"CB&T is a division of Zions Bancorporation, N.A. (CERT 2270); figures are Zions consolidated; FDIC $K: ASSET=87,956,932 DEP=76,926,168 (Zions Bancorporation, N.A., Salt Lake City, UT)"
funding_table,America First Credit Union,Charter 24694,$24.73B,$21.62B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=24,729,579,208 Acct_018=21,619,689,404 (AMERICA FIRST, RIVERDALE, UT)"
