"0","3422 W Carson St, Torrance, CA, 90503","Match","Exact","3422 W CARSON ST, TORRANCE, CA, 90503","-118.345494553043,33.831115671856","142756680","L"
"1","3500 E 7th St, Long Beach, CA, 90804","Match","Exact","3500 E 7TH ST, LONG BEACH, CA, 90804","-118.151252921318,33.775272873889","141701787","R"
"2","2300 Pacific Coast Hwy, Lomita, CA, 90717","Match","Exact","2300 PACIFIC COAST HWY, LOMITA, CA, 90717","-118.322752308497,33.789485197013","655820944","L"
"3","11660 South St, Ste 101, Artesia, CA, 90701","Match","Exact","11660 SOUTH ST, ARTESIA, CA, 90701","-118.084539768003,33.858379355826","141744391","R"
"4","4040 Atlantic Ave, Long Beach, CA, 90807","Match","Exact","4040 ATLANTIC AVE, LONG BEACH, CA, 90807","-118.184930866511,33.831197076675","141686104","R"
"5","5195 Lakewood Blvd, Lakewood, CA, 90712","Match","Non_Exact","5195 N LAKEWOOD BLVD, LAKEWOOD, CA, 90712","-118.142655072555,33.852046541877","638939702","R"
"6","6200 E Pacific Coast Hwy, Long Beach, CA, 90803","Match","Exact","6200 E PACIFIC COAST HWY, LONG BEACH, CA, 90803","-118.116948088045,33.767267059794","141755338","R"
"7","21503 Hawthorne Blvd, Ste B, Torrance, CA, 90503","Match","Non_Exact","21503 HAWTHORNE BLVD, TORRANCE, CA, 90503","-118.353116584185,33.83370739731","241196685","L"
"8","11545 South Street, Cerritos, CA, 90703","Match","Exact","11545 SOUTH ST, CERRITOS, CA, 90703","-118.087706759796,33.858475773887","647450402","L"
"9","302 Pine Ave, Long Beach, CA, 90802","Match","Exact","302 PINE AVE, LONG BEACH, CA, 90802","-118.192310918674,33.770585558056","647644066","R"
"400","6011 Lincoln Ave Ste B, Buena Park, CA, 90620","Match","Non_Exact","6011 LINCOLN AVE, BUENA PARK, CA, 90620","-118.028029412715,33.831892586463","143999820","L"
"401","4107 Candlewood St, Lakewood, CA, 90712","Match","Exact","4107 CANDLEWOOD ST, LAKEWOOD, CA, 90712","-118.14363283823,33.853849456094","142774579","L"
"402","3738 Bayer Ave Unit 102, Long Beach, CA, 90808","No_Match"
"403","2371 Grand Ave, Long Beach, CA, 90809","Match","Exact","2371 GRAND AVE, LONG BEACH, CA, 90809","-118.148140391077,33.801084116571","642868240","R"
"404","24520 Narbonne Ave, Lomita, CA, 90717","Match","Exact","24520 NARBONNE AVE, LOMITA, CA, 90717","-118.319876868402,33.803011674325","142759389","L"
"405","325 S Santa Fe Ave, Compton, CA, 90221","Match","Exact","325 S SANTA FE AVE, COMPTON, CA, 90221","-118.215833620038,33.893907422974","141682573","R"
"300","15377 Brookhurst St, Westminster, CA, 92683","Match","Exact","15377 BROOKHURST ST, WESTMINSTER, CA, 92683","-117.954964123541,33.739350099444","657928198","R"
"301","11900 Brookhurst St, Garden Grove, CA, 92840","Match","Exact","11900 BROOKHURST ST, GARDEN GROVE, CA, 92840","-117.958661503686,33.78993150341","630667229","L"
"302","19240 Goldenwest St, Huntington Beach, CA, 92648","Match","Exact","19240 GOLDENWEST ST, HUNTINGTON BEACH, CA, 92648","-118.005960546584,33.68143247392","618078755","R"
"303","9669 Chapman Ave, Garden Grove, CA, 92841","Match","Non_Exact","9669 W CHAPMAN AVE, GARDEN GROVE, CA, 92841","-117.964467424069,33.788705764699","657952281","L"
"304","10081 Valley View St, Cypress, CA, 90630","Match","Exact","10081 VALLEY VIEW ST, CYPRESS, CA, 90630","-118.028360829287,33.815921338571","609053666","L"
"305","7552 Edinger Ave, Huntington Beach, CA, 92647","Match","Exact","7552 EDINGER AVE, HUNTINGTON BEACH, CA, 92647","-117.996902409732,33.730021595886","144017244","R"
"306","17011 Beach Blvd, Ste 100, Huntington Beach, CA, 92647","Match","Exact","17011 BEACH BLVD, HUNTINGTON BEACH, CA, 92647","-117.989275273885,33.715376936519","609060067","R"
"307","6812 Katella Ave, Cypress, CA, 90630","Match","Exact","6812 KATELLA AVE, CYPRESS, CA, 90630","-118.014446822949,33.802758863223","608144062","R"
"308","7812 Edinger Ave, Huntington Beach, CA, 92647","Match","Exact","7812 EDINGER AVE, HUNTINGTON BEACH, CA, 92647","-117.992073897853,33.730085763562","631805323","L"
"309","2660 Carson St, LAKEWOOD, CA, 90712","Match","Exact","2660 CARSON ST, LAKEWOOD, CA, 90712","-118.161297927157,33.832350868078","649809706","R"
"310","7812 Edinger Ave, Huntington Beach, CA, 92647","Match","Exact","7812 EDINGER AVE, HUNTINGTON BEACH, CA, 92647","-117.992073897853,33.730085763562","631805323","L"
"311","1419 NORTHWOOD RD, SEAL BEACH, CA, 90740","Match","Exact","1419 NORTHWOOD RD, SEAL BEACH, CA, 90740","-118.087218570303,33.773013238895","658037872","L"
"312","2350 E 223rd St, Carson, CA, 90810","Match","Exact","2350 E 223RD ST, CARSON, CA, 90810","-118.232987232113,33.824238678222","142767315","R"
"313","6547 E Pacific Coast Hwy Ste H7, Long Beach, CA, 90803","Match","Exact","6547 E PACIFIC COAST HWY, LONG BEACH, CA, 90803","-118.110028683262,33.75693667797","633066482","L"
"314","19191 S Vermont Ave, Torrance, CA, 90502","No_Match"
"315","12620 Erickson Ave Ste H, Downey, CA, 90242","Match","Non_Exact","12620 ERICKSON AVE, DOWNEY, CA, 90242","-118.159579303482,33.926525739086","141696499","L"
"316","8530 Stanton Ave, Buena Park, CA, 90620","Match","Exact","8530 STANTON AVE, BUENA PARK, CA, 90620","-117.993476706968,33.838749220949","652143671","L"
"317","11306 South St, Cerritos, CA, 90703","Match","Exact","11306 SOUTH ST, CERRITOS, CA, 90703","-118.093141356005,33.85835186138","641641716","R"
"318","2845 Temple Ave, Signal Hill, CA, 90755","Match","Exact","2845 TEMPLE AVE, SIGNAL HILL, CA, 90755","-118.158986750407,33.808718990707","647647020","L"
"319","2801 Temple Ave, Signal Hill, CA, 90755","Match","Exact","2801 TEMPLE AVE, SIGNAL HILL, CA, 90755","-118.158990908854,33.808111787194","647647020","L"
"320","20101 Hamilton Ave Ste 150, Torrance, CA, 90502","Match","Exact","20101 HAMILTON AVE, TORRANCE, CA, 90502","-118.286092625796,33.848554968674","241252095","R"
"200","16900 Goldenwest St, Huntington Beach, CA, 92647","Match","Exact","16900 GOLDENWEST ST, HUNTINGTON BEACH, CA, 92647","-118.006542291472,33.716726849515","609060303","L"
"321","4055 Hardwick St, Lakewood, CA, 90712","Match","Exact","4055 HARDWICK ST, LAKEWOOD, CA, 90712","-118.144825563382,33.850529721988","241245154","L"
"201","10422 Garden Grove Blvd, Garden Grove, CA, 92843","Match","Exact","10422 GARDEN GROVE BLVD, GARDEN GROVE, CA, 92843","-117.950440343595,33.774022789569","144035239","R"
