Rank_by_distance,Institution,Type,Nearest_branch_address,Distance_miles,CERT_or_Charter,HQ_City_State,Total_Assets_$M,Total_Deposits_$M,Branches_within_8mi,In_v6_table,Found_by,Source_links,Notes
1,"Wells Fargo Bank, N.A.",Bank,"16175 Sierra Lakes Pkwy, Fontana, CA 92336",0.46,3511,"Sioux Falls, SD",1852239.0,1516982.0,11,Yes (Wells Fargo),SOD+OSM+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,
2,"JPMorgan Chase Bank, N.A.",Bank,"16879 Sierra Lakes Pkwy, Fontana, CA 92336",1.18,628,"Columbus, OH",4016571.0,2787994.0,9,Yes (Chase),SOD+OSM+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,
3,Arrowhead Credit Union,Credit Union,"16944 S Highland Ave, Fontana, CA 92336",1.22,24973,"Rancho Cucamonga, CA",2905.8,2405.0,4,Yes,NCUA+OSM+web,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
4,"U.S. Bank, N.A.",Bank,"15222 Summit Ave, Fontana, CA 92336",1.4,6548,"Cincinnati, OH",683380.0,539835.6,7,Yes (U.S. Bank),SOD+OSM+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,
5,"Bank of America, N.A.",Bank,"15092 Summit Ave, Fontana, CA 92336",1.5,3510,"Charlotte, NC",2672192.0,2128004.0,7,Yes,SOD+OSM+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,
6,Credit Union of Southern California,Credit Union,"16014 Foothill Blvd, Fontana, CA 92335",1.83,24983,"Anaheim, CA",3942.9,3110.8,2,Yes (CU SoCal),NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
7,"Citibank, N.A.",Bank,"8501 Sierra Ave, Fontana, CA 92335",2.62,7213,"Sioux Falls, SD",1933622.0,1501029.0,2,Yes (Citi),SOD+OSM,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,
8,Fontana Federal Credit Union,Credit Union,"17235 Arrow Blvd, Fontana, CA 92335",2.82,12898,"Fontana, CA",17.2,15.8,1,No,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,"Small local CU, HQ Fontana"
9,Citizens Business Bank,Bank,"9244 Sierra Ave, Fontana, CA 92335",3.47,21716,"Ontario, CA",15511.0,12002.4,1,Yes,SOD+OSM,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,HQ Ontario CA - hometown Inland Empire business bank
10,Inland Valley Federal Credit Union,Credit Union,"9389 Cherry Ave, Fontana, CA 92335",3.91,5684,"Fontana, CA",54.3,49.5,1,No,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,HQ Fontana
11,Thinkwise Credit Union,Credit Union,"1270 Renaissance Pkwy, Rialto, CA 92376",3.91,7770,"San Bernardino, CA",121.2,107.8,1,No,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
12,Mechanics Bank (ex-HomeStreet),Bank,"9714 Sierra Ave, Ste 101, Fontana, CA 92335",4.04,1768 (was 32489),"Walnut Creek, CA",21404.0,18251.5,1,Yes (both names),SOD,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions,HomeStreet merged into Mechanics Bank 2025; SOD 2025 still lists HomeStreet. Financials = Mechanics Bank (CERT 1768)
13,Alta Vista Credit Union,Credit Union,"2025 N RIVERSIDE AVE, Rialto, CA 92377",4.91,64531,"Redlands, CA",211.7,191.6,1,No,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
