Rank_by_distance,Institution,Type,Nearest_branch_address,Distance_miles,CERT_or_Charter,HQ_City_State,Total_Assets,Total_Deposits,Branches_within_5mi,In_v6_table,Found_by,Source_links
1,Banc of California,Bank,"1 World Trade Ctr, Ste 125, Long Beach, CA 90831",0.0,CERT 24045,"Los Angeles, CA",$34.64B,$27.44B,2,Yes — Banc of California,SOD,"https://api.fdic.gov/banks/institutions?filters=CERT:24045&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json)"
2,"Citibank, National Association",Bank,"1 World Trade Ctr, Ste 100, Long Beach, CA 90831",0.0,CERT 7213,"Sioux Falls, SD",$1.93T,$1.50T,1,Yes — Citi (Citibank),SOD+web,"https://api.fdic.gov/banks/institutions?filters=CERT:7213&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json)"
3,City National Bank,Bank,"100 Oceangate, Long Beach, CA 90802",0.09,CERT 17281,"Los Angeles, CA",$99.95B,$81.07B,2,Yes — City National Bank,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:17281&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/way/385393269"
4,"Zions Bancorporation, N.A.",Bank,"444 W Ocean Blvd, Long Beach, CA 90802",0.12,CERT 2270,"Salt Lake City, UT",$87.96B,$76.93B,1,Yes — California Bank & Trust,SOD+OSM+web,"https://api.fdic.gov/banks/institutions?filters=CERT:2270&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/5638625346"
5,"Wells Fargo Bank, National Association",Bank,"111 W Ocean Blvd, Long Beach, CA 90802",0.37,CERT 3511,"Sioux Falls, SD",$1.85T,$1.52T,7,Yes — Wells Fargo,SOD+OSM+web,"https://api.fdic.gov/banks/institutions?filters=CERT:3511&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/3569409018"
6,"JPMorgan Chase Bank, National Association",Bank,"257 Pine Ave, Long Beach, CA 90802",0.44,CERT 628,"Columbus, OH",$4.02T,$2.79T,10,Yes — Chase (JPMorgan Chase),SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:628&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/5638625549"
7,Farmers and Merchants Bank of Long Beach,Bank,"302 Pine Ave, Long Beach, CA 90802",0.47,CERT 1225,"Long Beach, CA",$11.86B,$8.94B,5,Yes — Farmers & Merchants Bank of Long Beach,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:1225&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/11973889614"
8,"American Plus Bank, N.A.",Bank,"249 E Ocean Blvd, Long Beach, CA 90802",0.56,CERT 58469,"Arcadia, CA",$890.7M,$716.6M,1,"Yes — American Plus Bank, N.A.",SOD+OSM+web,"https://api.fdic.gov/banks/institutions?filters=CERT:58469&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/way/351202548"
9,Comerica Bank,Bank,"301 E Ocean Blvd, Ste 102, Long Beach, CA 90802",0.58,CERT 983,"Dallas, TX",$80.05B,$66.28B,2,Yes — Comerica Bank,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:983&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/3569410924"
10,BMO Bank National Association,Bank,"496 Long Beach Blvd, Long Beach, CA 90802",0.68,CERT 16571,"Chicago, IL",$251.96B,$193.96B,1,Yes — BMO Bank,SOD,"https://api.fdic.gov/banks/institutions?filters=CERT:16571&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json)"
11,U.S. Bank National Association,Bank,"555 E Ocean Blvd, Long Beach, CA 90802",0.8,CERT 6548,"Cincinnati, OH",$683.38B,$539.84B,6,No,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:6548&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/5638625548"
