Bank,CERT,ICBA_member,HQ,"Nearest_to_LB(city, ~mi)","Nearest_to_Fontana(city, ~mi)",Total_Assets,Total_Deposits,Biz_card?,Underwriter_verdict(+evidence),Card_page_URL,No_doc_note,In_v6_table,Source_links
Banner Bank,28489,VERIFIED (ICBA locator 2026-06-11),"Walla Walla, WA","Los Angeles, ~22.9 mi","Rancho Cucamonga, ~4.8 mi","$16,338,071K","$13,928,915K",YES - Business Platinum Mastercard 0% 12mo $0 AF + Business Cash Rewards + commercial,SELF-ISSUER CANDIDATE - self-issues (v6 verified 2026-05-28); note assets >$10B so community-bank in ICBA-member sense only,https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,"No-doc fit 2/5 - full PG underwrite, paper app routed to branch; 8 locator offices in radius",Yes,"https://directory.icba.org/1336/Banner-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Sunwest Bank,20164,VERIFIED (ICBA locator 2026-06-11),"Sandy, UT (ops Irvine/Tustin/San Clemente CA)","Irvine, ~20.8 mi","Tustin, ~30.9 mi","$4,270,088K","$3,453,866K","YES (gated) - Visionary Corporate Card, 1% cash back, $0 AF, EXISTING CLIENTS ONLY",SELF-ISSUER CANDIDATE - self UW on own balance sheet via Torpago/Marqeta rails (v6 2026-06-09); requires deposit relationship first,https://www.sunwestbank.com/visionary-corporate-card/,"No-doc fit 2/5 - clients-only gate; open deposit acct first, then card by relationship",Yes,"https://directory.icba.org/19522/Sunwest-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
American Business Bank,34788,VERIFIED (ICBA locator 2026-06-11),"Los Angeles, CA","Los Angeles, ~19.9 mi","Los Angeles, ~45.3 mi","$4,371,214K","$3,904,079K",PARTIAL - 'Corporate Cards' under commercial credit services; issuer/terms not disclosed,"UNKNOWN-SCREEN-BY-PHONE - no agent-portal tells found, no online apply (v6 2026-05-28)",https://americanbb.bank/services/relationship-banking/credit-services/,No-doc fit 0/5 as published - commercial relationship bank; phone screen could reveal self-issued corporate card,Yes,"https://directory.icba.org/7209/American-Business-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Israel Discount Bank of New York (IDB),19977,VERIFIED (ICBA locator 2026-06-11),"New York, NY","Los Angeles, ~19.6 mi","Los Angeles, ~45.7 mi","$13,986,756K","$11,938,804K",PARTIAL - IDBCARD Visa Commercial on eZBusiness/FIS rails; relationship-based,"UNKNOWN-SCREEN-BY-PHONE - FIS rails suggest self/processor issue, issuer not disclosed; site blocks fetch (v6 2026-06-10)",,No-doc fit 0/5 published - relationship commercial card; >$10B assets,Yes,"https://directory.icba.org/7385/Israel-Discount-Bank-of-New-York | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Poppy Bank,57903,VERIFIED (ICBA locator 2026-06-11),"Santa Rosa, CA","Long Beach, ~4.7 mi","Costa Mesa, ~36.5 mi","$7,796,215K","$6,015,080K","YES - biz card 0% 12 cycles then 17.24-26.24%, $0 AF",Elan (NO-GO) - creditcardlearnmore.com Elan portal (v6 2026-05-28),https://creditcardlearnmore.com/11t3/index?ecdma-lc=07362&ecid=OTHE_25940#business,No-doc fit 3/5 but Elan paper - closest ICBA member to LB WTC (PCH branch 4.7 mi),Yes,"https://directory.icba.org/113341/Poppy-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Royal Business Bank,58816,VERIFIED (ICBA locator 2026-06-11),"Los Angeles, CA","Cerritos, ~8.7 mi","Diamond Bar, ~20.6 mi","$4,186,507K","$3,385,924K","YES - 0% 12 cycles then 17.24-26.24%, $0 AF",Elan (NO-GO) - creditcardlearnmore.com Elan portal (v6 2026-05-28),https://creditcardlearnmore.com/11t3/index?ecdma-lc=27904&ecid=OTHE_25940,No-doc fit 3/5 but Elan paper; 18 locator offices in radius (densest ICBA footprint here),Yes,"https://directory.icba.org/10852/Royal-Business-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Beach Cities Commercial Bank,59290,VERIFIED (ICBA locator 2026-06-11),"Irvine, CA","Irvine, ~28.2 mi","Irvine, ~35.0 mi","$182,473K","$139,564K","YES - Elan suite incl. Business ZERO+ (extended 0% intro), $0 AF; tied to select deposit accts",Elan (NO-GO) - own footer disclosure (v6 2026-05-29),https://www.beachcitiescb.com/Card-Solutions/,No-doc fit 3/5 but Elan paper + deposit-tied,Yes,"https://directory.icba.org/115522/Beach-Cities-Commercial-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
GBC International Bank,22366,VERIFIED (ICBA locator 2026-06-11),"Los Angeles, CA","Westminster, ~13.3 mi","City of Industry, ~25.6 mi","$676,588K","$522,816K","YES - TCM business Visa, terms N/M",TCM agent (NO-GO) - mycommunitycc.com portal + mycardstatement.com decode (v6 2026-05-29),https://www.mycommunitycc.com/k7OgnYPt1fSE,"No-doc fit 3/5 but TCM (ICBA agent rail) underwrites, not the bank",Yes,"https://directory.icba.org/7603/GBC-International-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Mega Bank,58401,VERIFIED (ICBA locator 2026-06-11),"San Gabriel, CA","Hacienda Heights, ~21.5 mi","Rowland Heights, ~25.9 mi","$515,129K","$437,435K","YES - TCM business + personal Visa, terms N/M",TCM agent (NO-GO) - own page 'Administered by TCM Bank' (v6 2026-05-29),https://www.mycommunitycc.com/vsqcwJmaxwd7,No-doc fit 3/5 but TCM paper,Yes,"https://directory.icba.org/18305/Mega-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Mission Valley Bank,57101,VERIFIED (ICBA locator 2026-06-11),"Sun Valley, CA","Sun Valley, ~33.7 mi","Sun Valley, ~52.6 mi","$772,560K","$632,141K","YES - TCM business Visa, terms at app",TCM agent (NO-GO) - own page quote (v6 2026-05-29),https://www.mycommunitycc.com/A0oVKGkHmrYt,No-doc fit 3/5 but TCM paper; farthest of the set from both addresses,Yes,"https://directory.icba.org/12598/Mission-Valley-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Woori America Bank,24920,VERIFIED (ICBA locator 2026-06-11),"New York, NY","Los Angeles (Wilshire), ~21.2 mi","Los Angeles, ~48.0 mi","$4,041,585K","$3,467,016K","YES - Business Rewards + Secured Rewards Visa, terms N/M",TCM agent (NO-GO) - mycardstatement.com decode + ScoreCard rewards (v6 2026-06-10),https://www.wooriamericabank.com/Business-Credit-Cards,"No-doc fit 2/5 - branch apply, TCM paper",Yes,"https://directory.icba.org/5340/Woori-America-Bank-Wilshire | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
