Institution,Type,Charter_or_CERT,Nearest_address_distance,Joinable_from_addresses,Biz_card_or_LOC,Products,Underwriter(+evidence),Est_limit,Doc_requirements,Apply,Chex_EWS_note,Bureau_note,Verdict,Confidence,Source_links
"American Plus Bank, N.A. (dba International City Bank, Long Beach)",Bank,CERT 58469,"249 E Ocean Blvd, Long Beach 90802 — 0.56 mi from 1 World Trade Ctr","YES — it's a bank, open to public; LB branch acquired from United Fidelity/ICB May 2025","YES (card) + commercial loans","Visa Charge Company Rewards (business charge card); Visa Platinum Cash Rewards (consumer); commercial loans, small business loans, CRE, construction; biz LOC not explicitly listed (commercial lending in-house)","Cards = TCM Bank, N.A. (ICBA agent program). Evidence: bankaplus.com/Credit-Cards links card compare/apply to mycommunitycc.com, which is TCM Bank's online application platform (TCM servicing portal = cardaccount.net). Commercial loans = self-underwritten",UNKNOWN (TCM program; limits not published),UNKNOWN — contact branch; standard bank commercial underwriting expected,"Branch (562-436-9800) or online card app via mycommunitycc.com",UNKNOWN,UNKNOWN (TCM card program bureau pull not published),"TARGET — 0.56 mi from WTC, real business bank ($891M), business charge card exists; note card credit decision is TCM's not APB's",Medium-High,"https://bankaplus.com/Credit-Cards; https://www.mycommunitycc.com/; https://www.tcmbank.com/; https://www.businesswire.com/news/home/20250507527350/en/"
Southland Credit Union,CU,Charter 68415,"1050 Linden Ave, Long Beach 90813 — 1.14 mi","YES from Long Beach 90802 (live/work/worship/school in LA or Orange County); NO from Fontana 92336 (San Bernardino Co.)","PARTIAL — business accounts + commercial loans confirmed; dedicated biz CC/LOC unverified","Business checking (small + higher-volume tiers), business savings, commercial loans (equipment, inventory, expansion); consumer Enjoy! Rewards Visa (0% 12mo intro)","Self — ""issued by Southland Credit Union pursuant to a license from Visa USA Inc.""; no Elan/TCM tells anywhere on site","$25,000 max total unsecured (published consumer card cap); commercial loan limits unpublished","Business Account Application PDF published (sole prop/LLC/corp/nonprofit/HOA); loan docs unpublished",Branch or business account application PDF; site partially blocks bots (403) so phone likely needed,"ChexSystems — confirmed: ""All new accounts are verified through ChexSystems and may be subject to credit approval""",UNKNOWN,"TARGET (Long Beach only) — $1.29B community-charter CU 1.1 mi out, biz banking real; phone-confirm whether a true business CC/LOC exists vs consumer card cap $25K",Medium,"https://www.southlandcu.org/business-banking/checking-(1)/; https://www.southlandcu.org/southlandcu/media/PDF-Form/account_application_business.pdf; https://www.southlandcu.org/borrow/credit-cards/; https://www.southlandcu.org/faq/"
Rize Credit Union (ex-SCE FCU),CU,Charter 7835,"975 N Haven Ave, Ontario 91764 — 7.88 mi from Fontana 92336","YES — SEG (incl. Southern California Edison), select communities, OR free American Consumer Council membership; CA residents fine (only ID/UT/LA/TX excluded)","YES — business Visa","Business Visa Platinum (no annual fee, employee cards w/ custom limits, card controls); business checking; business loans","Likely self — no Elan/myaccountaccess/TCM/cardaccount.net tells; cards serviced in own digital banking (banking.rizecu.com); rates via own loan consultants","$5,000–$50,000 published range on business Visa",UNKNOWN — ""speak with a loan consultant""; business inquiry form,"Business banking team via inquiry form or phone 800-866-6474; rates/terms not published",UNKNOWN,UNKNOWN,"TARGET — joinable from both addresses via ACC, published $50K business card ceiling, $1.3B CU; ex-SCE FCU rebrand (OSM still tagged SCE)",Medium-High,"https://rizecu.com/business-visa/; https://rizecu.com/open-an-account/; https://rizecu.com/visa/"
Alta Vista Credit Union,CU,Charter 64531,"2025 N Riverside Ave, Rialto 92377 — 4.91 mi from Fontana 92336","YES from Fontana 92336 — community charter: live/work/worship in San Bernardino County (+ Riverside County residents/employees + SEGs); NO from Long Beach 90802","PARTIAL — small business checking + commercial lending; no biz CC found","Small Business Checking, Commercial Lending, Small Business Digital Services, small business investment services; consumer credit cards","UNKNOWN — no Elan/TCM tells on site; consumer cards appear in-house",UNKNOWN — commercial lending limits unpublished,UNKNOWN,Branch (Redlands HQ / Rialto) 909-809-3838,UNKNOWN,UNKNOWN,"REFERENCE/secondary target — joinable from Fontana, has commercial lending but no business credit card surfaced; $212M ex-Norton AFB CU",Medium,"https://altavistacu.org/; https://www.creditunionsonline.com/credit-union-3325.html"
Thinkwise Credit Union,CU,Charter 7770,"1270 Renaissance Pkwy, Rialto 92376 — 3.91 mi from Fontana 92336","CONDITIONAL — gate: opener already a member (school employees, SB/Orange/Riverside Co.) OR business HQ'd in the 3 counties AND demonstrably supports the educational sector; plain Fontana 92336 residence does NOT qualify","YES — business credit cards AND business LOC","Business credit cards, business LOC, business checking/savings; restricted industries: cannabis, gambling, MSB, adult","UNKNOWN — no third-party tells found; small ($121M) so agent program possible but unverified",UNKNOWN,"Best-documented in cohort: govt ID for signers/beneficial owners (25%+), EIN/SSN, FinCEN BO certification, formation docs, business license/Home Occupation Permit, $25 deposit","Pre-review via mybusiness@thinkwisecu.org or 909-474-8448, or online interest form",UNKNOWN,UNKNOWN,"REFERENCE (conditional target) — full biz CC+LOC menu and clear doc list, but education-sector FOM gate blocks address-only eligibility",Medium-High,"https://www.thinkwisecu.org/business-membership; https://www.thinkwisecu.org/who-we-are"
Navy Federal Credit Union,CU,Charter 5536,"4190 E 4th St Ste A, Ontario 91764 — 7.18 mi from Fontana 92336","NO from address alone — military affiliation required: active duty/retiree/veteran, immediate family or household member, or DoD civilian; ALL business owners must be NFCU members","YES — business credit cards","GO BIZ Rewards (Visa or Mastercard), business checking/savings, business loans/LOC; largest CU in US ($203.6B)","Self — Navy Federal issues and services its own cards (navyfederal.org program description PDF nfcu_825cc.pdf)","UNKNOWN published max; reviewers cite ~750 score expectation; business membership + 1 yr individual membership or ~2 yrs in business cited","Application + beneficial owner form, wet signature required (no digital), upload via business credentials; income/credit review, supporting docs on request","Paper app scanned + submitted online through Navy Federal business account",UNKNOWN (uses ChexSystems for consumer accounts per community reports — UNVERIFIED),"Community-reported TransUnion and/or Equifax pulls for NFCU credit decisions (well-documented in DoC/myFICO communities, not official) — UNVERIFIED officially","REFERENCE — strong products, but employer/affiliation-gated like CAHP; only actionable if a principal has military/DoD affiliation",High,"https://www.navyfederal.org/services/business/credit-cards.html; https://www.navyfederal.org/services/business/faqs.html; https://www.navyfederal.org/content/dam/nfculibs/pdfs/business-solutions/nfcu_825cc.pdf; https://fitsmallbusiness.com/navy-federal-go-biz-rewards-credit-card-review/"
Chaffey Federal Credit Union,CU,Charter 16030,"11563 Foothill Blvd Ste 101, Rancho Cucamonga 91730 — 5.82 mi from Fontana 92336","PROBABLY — community charter: live/work/school/worship in select SW San Bernardino + E LA County communities (Upland, Rancho Cucamonga, San Bernardino listed; Fontana not named but surrounded — UNVERIFIED)","NO business products found","Consumer Visa Rewards (low fixed rates, no annual fee), checking, auto, HSA; no business accounts on site","UNKNOWN — no Elan/TCM tells; likely self",UNKNOWN,N/A,Branch 833-282-1033,UNKNOWN,UNKNOWN,"SKIP — likely joinable but no business card/LOC offering surfaced; $229M consumer shop",Medium,"https://www.chaffey.com/; https://chaffey.com/checkingaccounts"
Fontana Federal Credit Union,CU,Charter 12898,"17235 Arrow Blvd, Fontana 92335 — 2.82 mi","Likely YES (Fontana-area FOM) but moot","NO","Savings, checking, certificates, Visa DEBIT only, auto/signature loans — no credit card of any kind, no business products; $17M, ~1,800 members","N/A",N/A,N/A,Branch 909-822-4487,UNKNOWN,UNKNOWN,SKIP — no credit cards at all and no business products,High,"https://www.fontanafcu.org/loan-products.html; https://www.creditunionsonline.com/credit-union-services-5272.html"
Inland Valley Federal Credit Union,CU,Charter 5684,"9389 Cherry Ave, Fontana 92335 — 3.91 mi","UNKNOWN/doubtful — SEG-based FOM serving metal-manufacturing industry employers (Kaiser-steel heritage, est. 1948); not a community charter","NO business products found","Personal savings/checking/loans/mortgages only per site and service listings; $54M, ~3,500 members","N/A",N/A,N/A,Branch 909-822-1810,UNKNOWN,UNKNOWN,SKIP — SEG-gated and no business offerings,Medium-High,"https://www.ivfcu.org/; https://www.creditunionsonline.com/credit-union-services-5978.html"
Long Beach City Employees Federal Credit Union,CU,Charter 1438,"2801 Temple Ave, Signal Hill 90755 — 3.65 mi","NO — City of Long Beach employees (+family); employer-gated","NO","Consumer credit card (as low as 10.75% APR), auto, savings/checking; explicitly does not report offering business services","Likely self (consumer card)",UNKNOWN,N/A,Branch 562-595-4725,UNKNOWN,UNKNOWN,SKIP — employer-gated and no business services,High,"https://www.lbcefcu.org/borrow/credit-cards/; https://www.creditunionsonline.com/credit-union-services-1051.html"
