name,reg,city,dep,ast,url
"ASSOCIATED BANK, NATIONAL ASSOCIATION",OCC,Green Bay,35800709,45537550,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_917742
NICOLET NATIONAL BANK,OCC,Green Bay,13114848,15548303,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2941068
JOHNSON BANK,FED,Racine,5836686,7008117,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_58243
"BANK FIRST, N.A.",OCC,Manitowoc,5133172,6064567,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_594947
"TOWN BANK, NATIONAL ASSOCIATION",OCC,Hartland,3719776,4515383,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2693264
FIRST BUSINESS BANK,FDIC,Madison,3571989,4320998,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_537449
LAKE RIDGE BANK,FDIC,Monona,2764955,3334131,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_525549
NATIONAL EXCHANGE BANK AND TRUST,OCC,Fond Du Lac,2317148,2933056,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_722544
BANK FIVE NINE,FDIC,Oconomowoc,2174252,2609889,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_806846
NORTH SHORE BANK,FDIC,Brookfield,2163064,2590607,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_376273
ONE COMMUNITY BANK,FED,Oregon,1997100,2545338,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_247140
NATIONAL BANK OF COMMERCE,OCC,Superior,1840777,2205753,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_775456
INCREDIBLEBANK,FDIC,Wausau,1775232,2058919,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_163549
TRI CITY NATIONAL BANK,OCC,Oak Creek,1768019,1969645,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_242444
