name,reg,city,dep,ast,url
SUMMIT CREDIT UNION,NCUA,Madison,6666744,8303664,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_734499
LANDMARK CREDIT UNION,NCUA,Brookfield,6328126,7726423,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_572495
COMMUNITY FIRST CREDIT UNION,NCUA,Appleton,5776929,6661498,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_813394
UNIVERSITY OF WISCONSIN CREDIT UNION,NCUA,Madison,5727632,6604711,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_789097
ROYAL CREDIT UNION,NCUA,Eau Claire,5209093,5899323,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_961295
CONNEXUS CREDIT UNION,NCUA,Wausau,3627189,4149071,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_987697
COVANTAGE CREDIT UNION,NCUA,Antigo,3494199,4185377,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_989794
EDUCATORS CREDIT UNION,NCUA,Racine,3313241,3891207,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_915298
FOX COMMUNITIES CREDIT UNION,NCUA,Appleton,2630120,3348269,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_941699
ALTRA FEDERAL CREDIT UNION,NCUA,Onalaska,2566174,3094644,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_855497
CAPITAL CREDIT UNION,NCUA,Green Bay,2358636,2843545,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_721994
WESTCONSIN CREDIT UNION,NCUA,Menomonie,1904361,2197547,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_591599
"VERVE, A CREDIT UNION",NCUA,Oshkosh,1374873,1586461,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_607799
BLACKHAWK COMMUNITY CREDIT UNION,NCUA,Janesville,828512,931719,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_663692
WESTBY CO-OP CREDIT UNION,NCUA,Westby,817301,1002786,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_142692
MARINE CREDIT UNION,NCUA,La Crosse,812721,1104836,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_209595
KOHLER CREDIT UNION,NCUA,Sheboygan,666492,762077,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_50993
SUPERIOR CHOICE CREDIT UNION,NCUA,Superior,623871,725804,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_595793
HEARTLAND CREDIT UNION,NCUA,Madison,573107,656721,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_117896
CO-OP CREDIT UNION,NCUA,Black River Fal,540621,614972,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_808998
SIMPLICITY CREDIT UNION,NCUA,Marshfield,475134,533439,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_852599
PCM CREDIT UNION,NCUA,Green Bay,413066,511308,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_798790
FIRST COMMUNITY CU OF BELOIT CREDIT UNION,NCUA,Beloit,359949,421254,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_914796
FORT COMMUNITY CREDIT UNION,NCUA,Fort Atkinson,336421,419258,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_664194
PARK CITY CREDIT UNION,NCUA,Merrill,333208,390009,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_910891
PROSPERA CREDIT UNION,NCUA,Appleton,323157,378816,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1002597
UNISON CREDIT UNION,NCUA,Kaukauna,318079,388948,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_792499
CLOVERBELT CREDIT UNION,NCUA,Wausau,304550,349813,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_850492
UNITEDONE CREDIT UNION,NCUA,Manitowoc,282611,336548,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_947990
VALLEY COMMUNITIES CREDIT UNION,NCUA,Mosinee,262897,304603,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_199397
GUARDIAN CREDIT UNION,NCUA,Oak Creek,257333,291228,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_101390
1ST COMMUNITY CREDIT UNION,NCUA,Sparta,253179,284790,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_203294
GLACIER HILLS CREDIT UNION,NCUA,West Bend,250894,284031,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_65894
NORTHWESTERN MUTUAL CREDIT UNION,NCUA,Milwaukee,246439,292305,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_21993
RIPCO CREDIT UNION,NCUA,Rhinelander,168383,188812,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_713896
N.E.W. CREDIT UNION,NCUA,Oconto Falls,151026,172085,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_943796
WINNEBAGO COMMUNITY CREDIT UNION,NCUA,Oshkosh,148538,173202,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_205391
SENTRY CREDIT UNION,NCUA,Stevens Point,147488,170062,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_857295
MEMBERS' ADVANTAGE CREDIT UNION,NCUA,Wisconsin Rapid,146753,183518,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_993698
PRIME FINANCIAL CREDIT UNION,NCUA,Cudahy,137588,161977,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_540896
SHORELINE CREDIT UNION,NCUA,Two Rivers,122320,153115,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_745196
ARCADIA CREDIT UNION,NCUA,Arcadia,122096,141973,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_282897
OAKDALE CREDIT UNION,NCUA,Oakdale,115071,133456,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_886594
PREMIER FINANCIAL CREDIT UNION,NCUA,New Holstein,111679,130334,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_54094
FIREFIGHTERS CREDIT UNION,NCUA,Onalaska,108607,130694,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_854995
TOMAH AREA CREDIT UNION,NCUA,Tomah,107268,123712,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_604097
GOVERNMENTAL EMPLOYEES CREDIT UNION,NCUA,La Crosse,106784,119276,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_958996
