Bank,CERT,City,Deposits_$K,Assets_$K,Offices
"Associated Bank, National Association",5296,Green Bay,35800709,45537550,218
Nicolet National Bank,57038,Green Bay,13114848,15548303,119
Johnson Bank,20296,Racine,5836686,7008117,32
"Bank First, N.A.",5304,Manitowoc,5133172,6064567,45
"Town Bank, National Association",34717,Hartland,3719776,4515383,26
First Business Bank,15229,Madison,3571989,4320998,5
Lake Ridge Bank,15091,Middleton,2764955,3334131,20
National Exchange Bank and Trust,10044,Fond Du Lac,2317148,2933056,34
Bank Five Nine,12517,Oconomowoc,2174252,2609889,19
North Shore Bank,28679,Brookfield,2163064,2590607,44
One Community Bank,22334,Oregon,1997100,2545338,20
National Bank of Commerce,14266,Superior,1840777,2205753,21
IncredibleBank,19772,Wausau,1775232,2058919,19
Tri City National Bank,18922,Oak Creek,1768019,1969645,28
CCFBank National Association,57265,Altoona,1588094,1820156,22
"WaterStone Bank, SSB",28513,Wauwatosa,1465485,2252598,16
Horicon Bank,11236,Horicon,1443770,1675596,19
"John Deere Financial, f.s.b.",35237,Middleton,1358969,4106696,1
Waukesha State Bank,16160,Waukesha,1267880,1633576,15
The Park Bank,19608,Madison,1247870,1527658,10
Peoples State Bank,18569,Wausau,1200181,1494913,12
Forward Bank,28530,Marshfield,1001728,1205618,15
Citizens Bank,13055,Mukwonago,992753,1173908,11
The Port Washington State Bank,8698,Port Washington,922861,1003271,8
Bank of Wisconsin Dells,15136,Wisconsin Dells,918457,1073149,3
Bankers' Bank,23537,Madison,904853,1446572,1
Security Financial Bank,14222,Durand,822715,1021358,8
The Farmers & Merchants Bank,15779,Berlin,822608,949001,2
River Bank,14995,Stoddard,795014,1052694,13
Peoples State Bank,12814,Prairie Du Chien,792043,973263,19
Farmers and Merchants Union Bank,14445,Columbus,783784,903793,13
Bank Cmg,11623,Madison,781816,899766,10
Prevail Bank,29294,Medford,757718,1012360,9
Royal Bank,13454,Elroy,716539,808607,21
Westbury Bank,28400,Waukesha,706433,780209,9
Bank of Prairie du Sac,14660,Prairie Du Sac,654407,755328,2
Dairy State Bank,17162,Rice Lake,644588,749618,12
The Bank of New Glarus,10378,New Glarus,644021,824180,8
Bank of Luxemburg,13264,Luxemburg,631259,724896,9
"Great Midwest Bank, S.S.B.",29657,Brookfield,616915,1058168,9
Community State Bank,9536,Union Grove,606540,651945,7
Ixonia Bank,12514,Ixonia,602665,959880,7
Hiawatha National Bank,13058,Hager City,596152,773117,8
The Stephenson National Bank and Trust,5306,Marinette,595960,684088,7
Bank of Sun Prairie,13565,Sun Prairie,587550,716609,8
Fortifi Bank,5286,Berlin,583932,722966,10
DMB Community Bank,14769,Madison,580196,830880,2
Northwestern Bank,2468,Chippewa Falls,577225,711952,7
WOODTRUST BANK,5335,Wisconsin Rapids,574444,707460,7
AbbyBank,19795,Abbotsford,565305,650667,9
Chippewa Valley Bank,12322,Hayward,556456,735498,13
Citizens State Bank of La Crosse,1513,La Crosse,531107,652985,4
Community First Bank,11595,Boscobel,530940,637644,10
Unity Bank,8714,Augusta,516775,587615,14
Capitol Bank,34074,Madison,497652,589397,3
Baraboo State Bank,12788,Baraboo,496839,575159,7
Premier Community Bank,15799,Marion,495374,562240,10
Mound City Bank,9037,Platteville,470816,545892,6
PremierBank,5295,Fort Atkinson,456623,585975,7
First State Bank,15271,New London,456425,553584,8
State Bank Financial,10383,La Crosse,451824,537110,5
State Bank of Chilton,12331,Chilton,433403,512527,5
Coulee Bank,18361,La Crosse,426700,524341,8
Citizens State Bank,6194,Hudson,411208,488081,5
Farmers Savings Bank,13025,Mineral Point,405960,457746,5
"PyraMax Bank, FSB",29120,Greenfield,402723,595181,6
Bank of Lake Mills,8695,Lake Mills,401023,530089,2
Oak Bank,35333,Fitchburg,397575,462129,1
Woodford State Bank,10011,Monroe,393758,509650,6
BLC Community Bank,11608,Little Chute,387184,475359,1
Oostburg State Bank,10380,Oostburg,380755,429931,4
First Citizens State Bank,11228,Whitewater,370088,511423,8
American National Bank - Fox Cities,33812,Appleton,366383,434410,1
Bank of Mauston,12327,Mauston,362417,419823,6
FORTE BANK,5297,Hartford,346227,407402,4
The Peoples Community Bank,15046,Mazomanie,344681,393818,6
The Bank of Brodhead,2455,Brodhead,336872,416677,4
Spring Bank,58780,Brookfield,329337,441881,1
Sterling Bank,6195,Barron,318906,355833,4
Shell Lake State Bank,14911,Shell Lake,309896,357524,5
Wolf River Community Bank,34240,Hortonville,307443,378146,4
First National Community Bank,5357,New Richmond,304143,336799,5
Fox Valley Savings Bank,29188,Fond Du Lac,304022,383905,3
Waumandee State Bank,10384,Waumandee,303517,350631,8
"The Equitable Bank, S.S.B.",28614,Wauwatosa,296086,326863,6
Northern State Bank,15242,Ashland,295604,328842,7
The First National Bank of River Falls,5364,River Falls,287909,325888,3
"Clare Bank, National Association",1022,Platteville,286713,342755,8
Citizens First Bank,13032,Viroqua,282194,344168,6
West Pointe Bank,34162,Oshkosh,266044,374108,1
Laona State Bank,11601,Laona,265231,289711,7
"Cumberland Federal Bank, FSB",29293,Cumberland,262145,328621,2
State Bank of Newburg,9529,Newburg,259788,330893,2
Bay Bank,34052,Green Bay,259308,312693,3
The Peshtigo National Bank,5317,Peshtigo,257112,299354,6
Collins State Bank,14914,Collins,254468,288247,6
Citizens State Bank of Loyal,6186,Loyal,242765,307286,5
The Farmers State Bank of Waupaca,13033,Waupaca,242233,275930,3
Nekoosa Port Edwards State Bank,2482,Nekoosa,241762,283680,3
The First National Bank of Bangor,5337,Bangor,223904,359371,5
Bank of Deerfield,2477,Deerfield,223733,261522,2
Ergo Bank,10004,Markesan,221684,263059,6
East Wisconsin Savings Bank,30313,Kaukauna,219780,262951,4
Partners Bank of Wisconsin,12513,Marshfield,218216,286808,3
First Federal Bank of Wisconsin,30422,Waukesha,211664,278732,5
Security Bank,10015,New Auburn,204562,241081,4
Cleveland State Bank,9517,Cleveland,203884,239576,3
Alliance Bank,12511,Mondovi,202592,254060,4
Pillar Bank,5336,Baldwin,194972,266827,7
Citizens State Bank,2467,Cadott,194657,242606,6
Community Bank of Cameron,12349,Cameron,193214,221020,3
Bank of Milton,11232,Milton,193050,222207,2
Crossbridge Community Bank,30516,Tomahawk,186417,215458,2
Farmers & Merchants State Bank,13242,Waterloo,183746,245569,3
Marathon Bank,29745,Wausau,181373,248552,5
The Portage County Bank,10012,Almond,176573,212581,4
"Paper City Savings Bank, S.A.",29676,Wisconsin Rapids,174001,212977,3
Badger Bank,2469,Fort Atkinson,172949,208831,4
Great North Bank,15146,Florence,170360,221818,3
Bank of Alma,26689,Alma,168499,339278,4
Bristol Morgan Bank,9523,Oakfield,150800,192921,4
Farmers & Merchants Bank & Trust,10382,Marinette,146621,173633,3
First Community Bank,11225,Milton,146145,162747,1
The Bank of Kaukauna,15228,Kaukauna,144249,166911,1
State Bank of Reeseville,14960,Reeseville,132458,157864,3
GreenLeaf Bank,12661,Greenleaf,131580,154344,2
The Pineries Bank,9526,Stevens Point,131324,149428,1
Waldo State Bank,8700,Waldo,126964,153406,1
Bank of Cashton,12325,Cashton,126026,144667,1
River Falls State Bank,16840,River Falls,125735,141035,1
Bluff View Bank,8693,Galesville,120393,153837,3
Oakwood Bank,13030,Pigeon Falls,119470,151370,4
Bonduel State Bank,11235,Bonduel,112245,130666,1
Security State Bank,9036,Iron River,110077,140565,3
Conservation First Bank,14316,Benton,101231,123074,3
Headwaters State Bank,9035,Land O' Lakes,100361,119616,2
Union State Bank,14560,West Salem,99001,119073,2
Richland County Bank,15092,Richland Center,95822,113602,1
KeySavings Bank,29691,Wisconsin Rapids,95223,127080,2
The International Bank of Amherst,14907,Amherst,85674,100125,1
Black River Country Bank,15152,Black River Falls,85424,100734,2
Community First Bank,12512,Rosholt,83412,101355,3
Superior Savings Bank,28790,Superior,76900,93881,1
Independence State Bank,10741,Independence,73564,85884,3
Ladysmith Federal Savings and Loan Association,28983,Ladysmith,70604,91880,1
Bank of Ontario,21085,Ontario,67996,80553,3
Mayville Savings Bank,30585,Mayville,66988,77774,1
