CERT,Bank,Deposits_$K,Assets_$K,CardLoans_LNCRCD_$K
5296,ASSOCIATED BANK NA,35800709,45537550,194730
57038,NICOLET NATIONAL BANK,13114848,15548303,14802
20296,JOHNSON BANK,5836686,7008117,18064
5304,BANK FIRST N A,5133172,6064567,6203
34717,TOWN BANK NATIONAL ASSN,3719776,4515383,0
15229,FIRST BUSINESS BANK,3571989,4320998,92
15091,LAKE RIDGE BANK,2764955,3334131,7081
10044,NATIONAL EXCHANGE BANK&TRUST,2317148,2933056,3230
12517,BANK FIVE NINE,2174252,2609889,284
28679,NORTH SHORE BANK,2163064,2590607,0
22334,ONE COMMUNITY BANK,1997100,2545338,1824
14266,NATIONAL BANK OF COMMERCE,1840777,2205753,0
19772,INCREDIBLEBANK,1775232,2058919,0
18922,TRI CITY NATIONAL BANK,1768019,1969645,0
57265,CITIZENS CMTY FEDERAL NA,1588094,1820156,0
28513,WATERSTONE BANK SSB,1465485,2252598,718
11236,HORICON BANK,1443770,1675596,790
35237,JOHN DEERE FINANCIAL FSB,1358969,4106696,509004
16160,WAUKESHA STATE BANK,1267880,1633576,5925
19608,PARK BANK,1247870,1527658,5019
18569,PEOPLES STATE BANK,1200181,1494913,0
28530,FORWARD BANK,1001728,1205618,293
13055,CITIZENS BANK,992753,1173908,0
8698,PORT WASHINGTON STATE BANK,922861,1003271,2785
15136,BANK OF WISCONSIN DELLS,918457,1073149,0
23537,BANKERS BANK,904853,1446572,13685
14222,SECURITY FINANCIAL BANK,822715,1021358,0
15779,FARMERS&MERCHANTS BANK,822608,949001,1061
14995,RIVER BANK,795014,1052694,0
12814,PEOPLES STATE BANK,792043,973263,0
14445,FARMERS&MERCHANTS UNION BANK,783784,903793,0
11623,BANK CMG,781816,899766,62
29294,PREVAIL BANK,757718,1012360,0
13454,ROYAL BANK,716539,808607,358
28400,WESTBURY BANK,706433,780209,0
14660,BANK OF PRAIRIE DU SAC,654407,755328,583
17162,DAIRY STATE BANK,644588,749618,162
10378,BANK OF NEW GLARUS,644021,824180,367
13264,BANK OF LUXEMBURG,631259,724896,0
29657,GREAT MIDWEST BANK SSB,616915,1058168,47
9536,COMMUNITY STATE BANK,606540,651945,0
12514,IXONIA BANK,602665,959880,234
13058,HIAWATHA NATIONAL BANK,596152,773117,0
5306,STEPHENSON NB&T,595960,684088,603
13565,BANK OF SUN PRAIRIE,587550,716609,0
5286,FORTIFI BANK,583932,722966,0
14769,DMB COMMUNITY BANK,580196,830880,0
2468,NORTHWESTERN BANK,577225,711952,140
5335,WOODTRUST BANK,574444,707460,1561
19795,ABBYBANK,565305,650667,0
12322,CHIPPEWA VALLEY BANK,556456,735498,0
1513,CITIZENS STB OF LA CROSSE,531107,652985,1429
11595,COMMUNITY FIRST BANK,530940,637644,181
8714,UNITY BANK,516775,587615,0
34074,CAPITOL BANK,497652,589397,0
12788,BARABOO STATE BANK,496839,575159,180
15799,PREMIER COMMUNITY BANK,495374,562240,266
9037,MOUND CITY BANK,470816,545892,0
5295,PREMIERBANK,456623,585975,0
15271,FIRST STATE BANK,456425,553584,840
10383,STATE BANK FINANCIAL,451824,537110,0
12331,STATE BANK OF CHILTON,433403,512527,172
18361,COULEE BANK,426700,524341,0
6194,CITIZENS STATE BANK,411208,488081,0
13025,FARMERS SAVINGS BANK,405960,457746,0
29120,PYRAMAX BANK FSB,402723,595181,0
8695,BANK OF LAKE MILLS,401023,530089,0
35333,OAK BANK,397575,462129,619
10011,WOODFORD STATE BANK,393758,509650,0
11608,BLC COMMUNITY BANK,387184,475359,0
10380,OOSTBURG STATE BANK,380755,429931,0
11228,FIRST CITIZENS STATE BANK,370088,511423,0
33812,AMERICAN NB FOX CITIES,366383,434410,0
12327,BANK OF MAUSTON,362417,419823,0
5297,FORTE BANK,346227,407402,0
15046,PEOPLES COMMUNITY BANK,344681,393818,1141
2455,BANK OF BRODHEAD,336872,416677,0
58780,SPRING BANK,329337,441881,0
6195,STERLING BANK,318906,355833,0
14911,SHELL LAKE STATE BANK,309896,357524,76
34240,WOLF RIVER COMMUNITY BANK,307443,378146,0
5357,FIRST NATIONAL CMTY BANK,304143,336799,0
29188,FOX VALLEY SAVINGS BANK,304022,383905,78
10384,WAUMANDEE STATE BANK,303517,350631,317
28614,EQUITABLE BANK SSB,296086,326863,60
15242,NORTHERN STATE BANK,295604,328842,64
5364,FIRST NB OF RIVER FALLS,287909,325888,64
1022,CLARE BANK NATIONAL ASSN,286713,342755,239
13032,CITIZENS FIRST BANK,282194,344168,355
34162,WEST POINTE BANK,266044,374108,0
11601,LAONA STATE BANK,265231,289711,0
29293,CUMBERLAND FEDERAL BANK FSB,262145,328621,0
9529,STATE BANK OF NEWBURG,259788,330893,368
34052,BAY BANK,259308,312693,488
5317,PESHTIGO NATIONAL BANK,257112,299354,0
14914,COLLINS STATE BANK,254468,288247,25
6186,CITIZENS STATE BANK OF LOYAL,242765,307286,0
13033,FARMERS STB OF WAUPACA,242233,275930,44
2482,NEKOOSA PORT EDWARDS STB,241762,283680,28
5337,FIRST NB OF BANGOR,223904,359371,0
2477,BANK OF DEERFIELD,223733,261522,157
10004,ERGO BANK,221684,263059,0
30313,EAST WISCONSIN SAVINGS BANK,219780,262951,0
12513,PARTNERS BANK OF WISCONSIN,218216,286808,67
30422,FIRST FEDERAL BANK OF WI,211664,278732,0
10015,SECURITY BANK,204562,241081,40
9517,CLEVELAND STATE BANK,203884,239576,64
12511,ALLIANCE BANK,202592,254060,44
5336,PILLAR BANK,194972,266827,0
2467,CITIZENS STATE BANK,194657,242606,0
12349,COMMUNITY BANK OF CAMERON,193214,221020,0
11232,BANK OF MILTON,193050,222207,72
30516,CROSSBRIDGE COMMUNITY BANK,186417,215458,0
13242,FARMERS&MERCHANTS STATE BANK,183746,245569,0
29745,MARATHON BANK,181373,248552,0
10012,PORTAGE COUNTY BANK,176573,212581,254
29676,PAPER CITY SAVINGS BANK SA,174001,212977,0
2469,BADGER BANK,172949,208831,0
15146,GREAT NORTH BANK,170360,221818,0
26689,BANK OF ALMA,168499,339278,28
9523,BRISTOL MORGAN BANK,150800,192921,396
10382,FARMERS&MERCHANTS BANK&TRUST,146621,173633,0
11225,FIRST COMMUNITY BANK,146145,162747,279
15228,BANK OF KAUKAUNA,144249,166911,25
14960,STATE BANK OF REESEVILLE,132458,157864,0
12661,GREENLEAF BANK,131580,154344,0
9526,PINERIES BANK,131324,149428,206
8700,WALDO STATE BANK,126964,153406,0
12325,BANK OF CASHTON,126026,144667,0
16840,RIVER FALLS STATE BANK,125735,141035,58
8693,BLUFF VIEW BANK,120393,153837,0
13030,OAKWOOD BANK,119470,151370,0
10374,BANNER BANKS,114920,131598,26
11235,BONDUEL STATE BANK,112245,130666,75
9036,SECURITY STATE BANK,110077,140565,22
14316,CONSERVATION FIRST BANK,101231,123074,9
9035,HEADWATERS STATE BANK,100361,119616,0
14560,UNION STATE BANK,99001,119073,0
15092,RICHLAND COUNTY BANK,95822,113602,0
29691,KEYSAVINGS BANK,95223,127080,1
14907,INTERNATIONAL BK OF AMHERST,85674,100125,0
15152,BLACK RIVER COUNTRY BANK,85424,100734,63
12512,COMMUNITY FIRST BANK,83412,101355,465
28790,SUPERIOR SAVINGS BANK,76900,93881,0
10741,INDEPENDENCE STATE BANK,73564,85884,0
28983,LADYSMITH FS&LA,70604,91880,0
21085,BANK OF ONTARIO,67996,80553,0
30585,MAYVILLE SAVINGS BANK,66988,77774,0
13054,PARK BANK NATIONAL ASSN,62873,75444,184
12354,HUSTISFORD STATE BANK,55750,78061,38
57093,NORTHWESTERN MUTUAL WEALTH M,50500,521260,0
6198,HIGHLAND STATE BANK,40899,46978,25
14400,FIRST NB IN TIGERTON,26520,30580,0
28480,COLUMBIA SAVINGS&LOAN ASSN,19718,21202,0
34799,THRIVENT TRUST CO,2000,15233,0
27102,ASSOCIATED TRUST CO NA,0,81491,0
