TIER,WEIGHT,Bank,City,CERT,Deposits_$K,CardLoans_$K,RAIL,Card_products,Application_link,Apply_method,BizCard_page_URL,Confidence,Rail_evidence,Source_links
1. SELF-UNDERWRITTEN (card loans on own books),90,Nicolet National Bank,Green Bay,57038,13114848,14802,SELF,Nicolet Bank Business Credit Card (SpendTrack platform); personal: Classic/Nicolet/Rewards,https://nicolet.my.salesforce-sites.com/creditcardapplication,Online self-serve or branch,https://www.nicoletbank.com/nicolet-bank-spendtrack-digital-platform,INFERRED,"Own-brand cards; own page states ""Nicolet Bank Business Credit Cards feature the SpendTrack Digital Platform"" (SpendTrack = Fiserv commercial-card platform used by self-issuing banks); online application hosted on bank's own Salesforce portal nicolet.my.salesforce-sites.com; no third-party issuer named",https://www.nicoletbank.com/nicolet-bank-spendtrack-digital-platform | https://www.nicoletbank.com/personal-banking/credit-cards
1. SELF-UNDERWRITTEN (card loans on own books),85,"Bank First, N.A.",Manitowoc,5304,5133172,6203,SELF,First Business Rewards; First Business Rewards Elite,,"Branch/Relationship Manager (""contact a Relationship Manager at your local office"") - no online app",https://bankfirst.com/business-credit-cards.html,VERIFIED-own-page,"Own-page names Bank First as creditor: ""Bank First N.A. account relationship(s) are considered for qualifications for credit card products."" Card portal onlinebanking.firstdata.com/ecs/bank-first (Fiserv) + UChooseRewards.com. No TCM/TIB/Elan/CorServ anywhere.",https://bankfirst.com/business-credit-cards.html | https://bankfirst.com/credit-cards.html
1. SELF-UNDERWRITTEN (card loans on own books),100,Lake Ridge Bank,Middleton,15091,2764955,7081,SELF,"VISA Business Credit Card (no-annual-fee, 0% intro 6 mo, cash back or points)",https://lrb.onlineportalnow.com/#/login/email,online,https://www.lakeridge.bank/business/accounts-and-cards/accounts/credit-cards/,VERIFIED-own-page,No TCM/mycommunitycc reference. 'Apply Online Today' button -> https://lrb.onlineportalnow.com/#/login/email (bank-branded subdomain); card management via https://spendtrack.fiservapp.com/lake-ridge-bank/login (Fiserv SpendTrack). No third-party issuer disclosure on page.,https://www.lakeridge.bank/business/accounts-and-cards/accounts/credit-cards/ | https://www.lakeridge.bank/business/accounts-and-cards/accounts/credit-cards/spendtrack/
1. SELF-UNDERWRITTEN (card loans on own books),75,National Exchange Bank and Trust,Fond Du Lac,10044,2317148,3230,SELF,Business Visa Credit Card; Business Visa CheckCard (ScoreCard Rewards),None - branch/phone only (920-921-7700),Branch/phone,https://nebat.com/business-card-services.html,VERIFIED-own-page,"Own page offers ""Business Visa Credit Card"" with ScoreCard Rewards and eZCard/ezbusiness card management (Fiserv self-issuer stack); no TCM/Elan/TIB/CorServ reference anywhere; apply = ""Contact your local office!""",https://nebat.com/business-card-services.html | https://nebat.com/credit-cards.html | https://nebat.com/sft1798/nebat_businessvisacreditcardprogram.pdf
1. SELF-UNDERWRITTEN (card loans on own books),71,One Community Bank,Oregon,22334,1997100,1824,SELF,Business VISA credit card (ScoreCard rewards); VISA Platinum (consumer),NOT-FOUND (contact bank; no online application published),Branch/contact-us (608-838-3141) - no online self-serve application,https://onecommunity.bank/business/other-services/,INFERRED,No TCM/Elan/TIB domain or disclosure anywhere; cardholder servicing at mycardstatement.com and rewards at scorecardrewards.com (Fiserv) = bank's own agent program. No third-party apply domain found.,https://onecommunity.bank/business/other-services/ | https://onecommunity.bank/personal/consumer-loans/credit-cards/
1. SELF-UNDERWRITTEN (card loans on own books),96,Horicon Bank,Horicon,11236,1443770,790,SELF,HB Rewards Credit Card (Visa Business; ScoreCard Rewards),https://www.horiconbank.com/sft1492/businesscreditcardapplication.pdf,PDF application - secure message to CreditCard@horiconbank.com / drop off / mail (no online self-serve),https://www.horiconbank.com/business-credit-cards.html,VERIFIED-own-page,Own biz card page names no third-party issuer; links only to mycardstatement.com and scorecardrewards.com (Fiserv) and a Horicon-hosted PDF application. No mycommunitycc.com / cardaccount.net / Elan text.,https://www.horiconbank.com/business-credit-cards.html
1. SELF-UNDERWRITTEN (card loans on own books),92,The Farmers & Merchants Bank,Berlin,15779,822608,1061,SELF,Farmers & Merchants Bank Visa Credit Card (no separate business card advertised),https://loans.fmberlin.com/default.aspx,Online self-serve (bank's own loan portal) / branch,https://www.fmberlin.com/loans/credit-cards/,VERIFIED-own-page,"Own credit-card page markets only ""Farmers & Merchants Bank Visa Credit Card"" serviced at mycardstatement.com + scorecardrewards.com (Fiserv self-issuer stack); apply link is bank's own loans.fmberlin.com portal; no TCM/Elan/TIB/CorServ reference; NOTE: no dedicated BUSINESS credit card product advertised on site",https://www.fmberlin.com/loans/credit-cards/ | https://www.fmberlin.com/services/card-services/
1. SELF-UNDERWRITTEN (card loans on own books),77,Bank of Prairie du Sac,Prairie Du Sac,14660,654407,583,SELF,Secure Freedom Visa Business credit card,,Branch/phone (in-office application; 608.643.3393) - no online application,https://bankpds.com/business-credit-cards.html,VERIFIED-own-page,"Own business-card page names no third-party issuer; cardholder servicing at mycardstatement.com (Fiserv/First Data portal used for bank-issued programs). Page states ""Applications, servicing, and payments are all offered in our office."" No mycommunitycc.com / TCM Bank / TIB / Elan / CorServ reference.",https://bankpds.com/business-credit-cards.html | https://bankpds.com/credit-cards.html
1. SELF-UNDERWRITTEN (card loans on own books),67,WOODTRUST BANK,Wisconsin Rapids,5335,574444,1561,SELF,Corporate credit cards; Classic and Gold credit cards (consumer); ScoreCard rewards,NOT-FOUND (no online application; call Banking Services 715.423.7600),Branch/phone - no online self-serve application,https://www.woodtrust.com/business-banking/,INFERRED,"Own site markets ""corporate credit cards"" in Business Banking with no third-party issuer disclosure; Card Services Support page links only scorecardrewards.com (Fiserv) and gives in-house credit card service line 800.221.5920. Consumer card rates quoted as Prime+5.9%/+4.9% (bank-set pricing). No mycommunitycc.com / TCM Bank text / Elan / cardaccount.net anywhere.",https://www.woodtrust.com/business-banking/ | https://woodtrust.com/card_services_support.asp
1. SELF-UNDERWRITTEN (card loans on own books),92,Citizens State Bank of La Crosse,La Crosse,1513,531107,1429,SELF,Citizens State Bank Visa Business Credit Card,https://citizensstatebank.us/business-visa-credit-card-application-form,Online self-serve (own form) or PDF/branch,https://citizensstatebank.us/business-banking/lending/credit-cards,VERIFIED-own-page,"Own business-card page markets ""Citizens State Bank Visa Credit Card"" (business version) with online application hosted on bank's own domain (/business-visa-credit-card-application-form) plus downloadable PDF; servicing via mycardstatement.com + scorecardrewards.com + Card Suite Pro (FIS/Fiserv self-issuer stack); no TCM/Elan/TIB/CorServ named",https://citizensstatebank.us/business-banking/lending/credit-cards | https://citizensstatebank.us/personal-banking/lending/credit-cards
