Bank,CERT,City,Deposits_$K,Assets_$K,Offices
Johnson Bank,20296,Racine,5836686,7008117,32
Bank Five Nine,12517,Oconomowoc,2174252,2609889,19
CCFBank National Association,57265,Altoona,1588094,1820156,22
Forward Bank,28530,Marshfield,1001728,1205618,15
River Bank,14995,Stoddard,795014,1052694,13
Westbury Bank,28400,Waukesha,706433,780209,9
Community State Bank,9536,Union Grove,606540,651945,7
DMB Community Bank,14769,Madison,580196,830880,2
Community First Bank,11595,Boscobel,530940,637644,10
PremierBank,5295,Fort Atkinson,456623,585975,7
Farmers Savings Bank,13025,Mineral Point,405960,457746,5
Oostburg State Bank,10380,Oostburg,380755,429931,4
The Bank of Brodhead,2455,Brodhead,336872,416677,4
Fox Valley Savings Bank,29188,Fond Du Lac,304022,383905,3
Citizens First Bank,13032,Viroqua,282194,344168,6
The Peshtigo National Bank,5317,Peshtigo,257112,299354,6
Bank of Deerfield,2477,Deerfield,223733,261522,2
Cleveland State Bank,9517,Cleveland,203884,239576,3
Crossbridge Community Bank,30516,Tomahawk,186417,215458,2
Great North Bank,15146,Florence,170360,221818,3
State Bank of Reeseville,14960,Reeseville,132458,157864,3
Bluff View Bank,8693,Galesville,120393,153837,3
Union State Bank,14560,West Salem,99001,119073,2
Superior Savings Bank,28790,Superior,76900,93881,1
Hustisford State Bank,12354,Hustisford,55750,78061,1
