Bank,CERT,City,Deposits_$K,Card_issuer_rail(TCM/TIB/Elan/CorServ/SELF/NO-CARD/UNKNOWN),Rail_evidence,BizCard_page_URL,Application_link,Card_products,Apply_method,Confidence(VERIFIED-own-page/INFERRED/UNKNOWN),Source_links,Screen_date
"Bank First, N.A.",5304,Manitowoc,5133172,SELF,"Own-page names Bank First as creditor: ""Bank First N.A. account relationship(s) are considered for qualifications for credit card products."" Card portal onlinebanking.firstdata.com/ecs/bank-first (Fiserv) + UChooseRewards.com. No TCM/TIB/Elan/CorServ anywhere.",https://bankfirst.com/business-credit-cards.html,,First Business Rewards; First Business Rewards Elite,"Branch/Relationship Manager (""contact a Relationship Manager at your local office"") - no online app",VERIFIED-own-page,https://bankfirst.com/business-credit-cards.html | https://bankfirst.com/credit-cards.html,2026-07-26
North Shore Bank,28679,Brookfield,2163064,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply via mycardapply.com; servicing myaccountaccess.com",https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards,https://www.mycardapply.com/synindex/?ecdma-lc=12201&ecid=OTHE_25940&offertype=0#business,Visa Business credit cards (low rate / cash back / flexible rewards); Business Travel Card,Online self-serve (Elan mycardapply.com),VERIFIED-own-page,https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards,2026-07-26
"WaterStone Bank, SSB",28513,Wauwatosa,1465485,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply via mycardapply.com",https://www.wsbonline.com/business/business-cards/business-credit-cards/,https://www.mycardapply.com/synindex/?ecdma-lc=01649&ecid=OTHE_25940&offertype=0,Business credit cards (low rate / cash back / rewards; names not listed),Online self-serve (Elan mycardapply.com),VERIFIED-own-page,https://www.wsbonline.com/business/business-cards/business-credit-cards/,2026-07-26
Citizens Bank,13055,Mukwonago,992753,Elan,"Own-page Cards & Payments disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc."" Apply link on creditcardlearnmore.com (Elan)",https://www.citizensbankwi.bank/business/cards-and-payments,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00285&ecid=OTHE_25940,Visa Business Credit Card (low rate / cash back / flexible rewards),Online self-serve (Elan creditcardlearnmore.com),VERIFIED-own-page,https://www.citizensbankwi.bank/business/cards-and-payments,2026-07-26
Peoples State Bank,12814,Prairie Du Chien,792043,Elan,"Own-page disclosure: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc. and Mastercard International Incorporated."" Apply mycardapply.com; servicing myaccountaccess.com",https://peoplesfinancial.com/business-credit-cards.html,https://www.mycardapply.com/synindex/?ecdma-lc=36115&ecid=OTHE_25940&offertype=0#business,"Business credit cards (Elan suite; expense reporting, employee spend limits)",Online self-serve (Elan mycardapply.com),VERIFIED-own-page,https://peoplesfinancial.com/business-credit-cards.html,2026-07-26
Bank of Prairie du Sac,14660,Prairie Du Sac,654407,SELF,"Own business-card page names no third-party issuer; cardholder servicing at mycardstatement.com (Fiserv/First Data portal used for bank-issued programs). Page states ""Applications, servicing, and payments are all offered in our office."" No mycommunitycc.com / TCM Bank / TIB / Elan / CorServ reference.",https://bankpds.com/business-credit-cards.html,,Secure Freedom Visa Business credit card,Branch/phone (in-office application; 608.643.3393) - no online application,VERIFIED-own-page,https://bankpds.com/business-credit-cards.html | https://bankpds.com/credit-cards.html,2026-07-26
Ixonia Bank,12514,Ixonia,602665,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply link on creditcardlearnmore.com (Elan)",https://www.ixoniabank.com/commercial/business-loan-products/credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=X00396&ecid=OTHE_25940,Business credit cards (low rate / cash back / flexible rewards; names not listed),Online self-serve (Elan creditcardlearnmore.com),VERIFIED-own-page,https://www.ixoniabank.com/commercial/business-loan-products/credit-cards/,2026-07-26
Northwestern Bank,2468,Chippewa Falls,577225,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply creditcardlearnmore.com; servicing myaccountaccess.com",https://www.northwesternbank.com/business/borrow/business-credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00201&ecid=OTHE_25940#business,Business credit cards (low rate / cash back / flexible rewards; names not listed),Online self-serve (Elan creditcardlearnmore.com),VERIFIED-own-page,https://www.northwesternbank.com/business/borrow/business-credit-cards/,2026-07-26
Unity Bank,8714,Augusta,516775,TCM,"Own business-card page states verbatim: ""Credit cards are issued by TCM Bank, NA. Subjected to credit approval. See the card application's important Disclosures for current terms, rates, and fees."" Apply button goes to https://www.mycommunitycc.com/06dc5c2c880a; servicing mycardstatement.com; rewards crewardscard.com",https://unitybanking.com/business-credit-cards.html,https://www.mycommunitycc.com/06dc5c2c880a,Business Visa Credit Cards (Select Business rewards card - unlimited reward points),Online self-serve (TCM mycommunitycc.com application portal),VERIFIED-own-page,https://unitybanking.com/business-credit-cards.html | https://directory.icba.org/18711/Unity-Bank,2026-07-26
First State Bank,15271,New London,456425,SELF,"No third-party issuer anywhere on own card pages. Bank credit card application PDF is titled ""First State Bank Personal Credit Card Application Disclosures"" and instructs: ""Please return completed application to your local First State Bank office or mail to First State Bank, PO Box 268, New London, WI 54961."" Servicing mycardstatement.com + ScoreCardRewards.com (Fiserv). No TCM/mycommunitycc.com, no TIB/cardaccount.net, no Elan.",https://www.bankfirststate.com/business/loans/credit-cards,,Visa Platinum Business Cash Rewards; Visa Platinum Business Rewards; Visa Platinum Business,"Branch/phone (contact a Business Banker, 800-994-2500; paper application) - no online application",VERIFIED-own-page,https://www.bankfirststate.com/business/loans/credit-cards | https://www.bankfirststate.com/assets/files/wDfRteoQ,2026-07-26
